Judul,Ringkasan Perubahan Apbd Menurut Urusan Pemerintahan Daerah Dan Organisasi
Daerah,Kabupaten Kulon Progo
Tahun,2014
Kode Organisasi
Kolom


Kode,Urusan Pemerintahan Daerah,Pendapatan,,,,Belanja,,,,,,,
,,Sebelum Perubahan,Setelah Perubahan,Bertambah / Berkurang,,Sebelum Perubahan,,,Setelah Perubahan,,,Bertambah / berkurang,
,,,,,,Tidak Langsung,Langsung,Jumlah Belanja,Tidak Langsung,Langsung,Jumlah Belanja
1,Urusan Wajib ,1029599814453.75,1087475861561.41,57876047107.66,5.62,692967610192.49,311606910558.00,1004574520750.49,745555973245.61,385806585370.00,1131362558615.61,126788037865.12,12.62
1.01,Pendidikan ,0.00,0.00,0.00,0.00,461517135587.00,34699592911.00,496216728498.00,497602010927.00,36171618010.00,533773628937.00,37556900439.00,7.57
1.01 . 1.01.01 ,Dinas Pendidikan ,0.00,0.00,0.00,0.00,461517135587.00,34699592911.00,496216728498.00,497602010927.00,36171618010.00,533773628937.00,37556900439.00,7.57
1.02,Kesehatan ,52354466657.00,84956850903.00,32602384246.00,62.27,55220744073.00,76366184643.00,131586928716.00,57231577993.00,130330074670.00,187561652663.00,55974723947.00,42.54
1.02 . 1.02.01 ,Dinas Kesehatan ,10889932388.00,26328739000.00,15438806612.00,141.77,37458579595.00,31541488374.00,69000067969.00,39055340353.00,57824798645.00,96880138998.00,27880071029.00,40.41
1.02 . 1.02.02 ,Rumah Sakit Umum Daerah Wates ,41464534269.00,58628111903.00,17163577634.00,41.39,17762164478.00,44824696269.00,62586860747.00,18176237640.00,72505276025.00,90681513665.00,28094652918.00,44.89
1.03,Pekerjaan Umum ,602995000.00,982495000.00,379500000.00,62.94,6368414812.00,123230379506.00,129598794318.00,6304767100.00,133410368161.00,139715135261.00,10116340943.00,7.81
1.03 . 1.03.01 ,Dinas Pekerjaan Umum ,602995000.00,982495000.00,379500000.00,62.94,6368414812.00,123230379506.00,129598794318.00,6304767100.00,133410368161.00,139715135261.00,10116340943.00,7.81
1.04,Perumahan ,0.00,0.00,0.00,0.00,0.00,10401605801.00,10401605801.00,0.00,10700074665.00,10700074665.00,298468864.00,2.87
1.04 . 1.03.01 ,Dinas Pekerjaan Umum ,0.00,0.00,0.00,0.00,0.00,10401605801.00,10401605801.00,0.00,10700074665.00,10700074665.00,298468864.00,2.87
1.05,Penataan Ruang ,0.00,0.00,0.00,0.00,0.00,639641275.00,639641275.00,0.00,553041275.00,553041275.00,-86600000.00,-13.54
1.05 . 1.06.01 ,Badan Perencanaan Pembangunan Daerah ,0.00,0.00,0.00,0.00,0.00,639641275.00,639641275.00,0.00,553041275.00,553041275.00,-86600000.00,-13.54
