"Judul","Ringkasan Perubahan Apbd Menurut Urusan Pemerintahan Daerah Dan Organisasi",,,,,,,,,,,,
"Daerah","Kabupaten Kulon Progo",,,,,,,,,,,,
"Tahun",2014,,,,,,,,,,,,
"Kode Organisasi","1 - Pemda Kulon Progo",,,,,,,,,,,,
"Kolom",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Kode","Urusan Pemerintahan Daerah","Pendapatan",,,,"Belanja",,,,,,,
,,"Sebelum Perubahan","Setelah Perubahan","Bertambah / Berkurang",,"Sebelum Perubahan",,,"Setelah Perubahan",,,"Bertambah / berkurang",
,,,,,,"Tidak Langsung","Langsung","Jumlah Belanja","Tidak Langsung","Langsung","Jumlah Belanja",,
1,"Urusan Wajib ",1029599814453.75,1087475861561.41,57876047107.66,5.62,692967610192.49,311606910558,1004574520750.49,745555973245.61,385806585370,1131362558615.61,126788037865.12,12.62
1.01,"Pendidikan ",0,0,0,0,461517135587,34699592911,496216728498,497602010927,36171618010,533773628937,37556900439,7.57
"1.01 . 1.01.01 ","Dinas Pendidikan ",0,0,0,0,461517135587,34699592911,496216728498,497602010927,36171618010,533773628937,37556900439,7.57
1.02,"Kesehatan ",52354466657,84956850903,32602384246,62.27,55220744073,76366184643,131586928716,57231577993,130330074670,187561652663,55974723947,42.54
"1.02 . 1.02.01 ","Dinas Kesehatan ",10889932388,26328739000,15438806612,141.77,37458579595,31541488374,69000067969,39055340353,57824798645,96880138998,27880071029,40.41
"1.02 . 1.02.02 ","Rumah Sakit Umum Daerah Wates ",41464534269,58628111903,17163577634,41.39,17762164478,44824696269,62586860747,18176237640,72505276025,90681513665,28094652918,44.89
1.03,"Pekerjaan Umum ",602995000,982495000,379500000,62.94,6368414812,123230379506,129598794318,6304767100,133410368161,139715135261,10116340943,7.81
"1.03 . 1.03.01 ","Dinas Pekerjaan Umum ",602995000,982495000,379500000,62.94,6368414812,123230379506,129598794318,6304767100,133410368161,139715135261,10116340943,7.81
1.04,"Perumahan ",0,0,0,0,0,10401605801,10401605801,0,10700074665,10700074665,298468864,2.87
"1.04 . 1.03.01 ","Dinas Pekerjaan Umum ",0,0,0,0,0,10401605801,10401605801,0,10700074665,10700074665,298468864,2.87
1.05,"Penataan Ruang ",0,0,0,0,0,639641275,639641275,0,553041275,553041275,-86600000,-13.54
"1.05 . 1.06.01 ","Badan Perencanaan Pembangunan Daerah ",0,0,0,0,0,639641275,639641275,0,553041275,553041275,-86600000,-13.54
1.06,"Perencanaan Pembangunan ",0,0,0,0,2878279517,1807370249,4685649766,2774583536,2038167749,4812751285,127101519,2.71
