Judul,Penjabaran APBD,,,,
Daerah,Kabupaten Kulon Progo,,,,
Tahun,2015,,,,
Kode Organisasi,1.19.01,,,,
Nama Organisasi,Kantor Satuan Polisi Pamong Praja,,,,
Kolom,4,,,,
,,,,,
No. Rekening,Uraian,Jumlah,Keterangan,,
1.19 . 1.19.02 . 00 . 00 . 5 ,BELANJA ,5429811290,,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,2458403830,,,
1.19 . 1.19.02 . 00 . 00 ,Non Kegiatan ,2458403830,Sumber Dana : ,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,2458403830,,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,2458403830,,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,1950439720,,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,186044705,,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,44460000,,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,115060400,,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,131059507,,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,31306825,,,
1.19 . 1.19.02 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,32673,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,2971407460,,,
1.19 . 1.19.02 . 01 ,Program Pelayanan Administrasi Perkantoran ,218714800,,,
1.19 . 1.19.02 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,134321000,Sumber Dana : ,,
,,,Lokasi Kegiatan : Kabupaten Kulon Progo,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,125073000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,125073000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,125073000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,9248000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,4583000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,3343000,,,
"1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,""Belanja Perangko  Materai Dan Benda Pos Lainnya "",840000,,,"
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 . 01 . 08 ,Belanja Pengisian Tabung Gas ,400000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,840000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,840000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,3825000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,1800000,,,
1.19 . 1.19.02 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,2025000,,,
1.19 . 1.19.02 . 01 . 27 ,Penyediaan Jasa  keuangan ,18000000,Sumber Dana : ,,
,,,Lokasi Kegiatan : Kabupaten Kulon Progo,,
1.19 . 1.19.02 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,18000000,,,
1.19 . 1.19.02 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,18000000,,,
1.19 . 1.19.02 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,18000000,,,
"1.19 . 1.19.02 . 01 . 28 ,""Penyediaan Rapat-Rapat Konsultasi dan Koordinasi "",66393800,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,,"
1.19 . 1.19.02 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,66393800,,,
1.19 . 1.19.02 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,10639000,,,
1.19 . 1.19.02 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,10639000,,,
1.19 . 1.19.02 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,55754800,,,
1.19 . 1.19.02 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2910000,,,
1.19 . 1.19.02 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,52844800,,,
1.19 . 1.19.02 . 11 ,Program Peningkatan Sarana dan Prasarana Perkantoran ,2273128610,,,
1.19 . 1.19.02 . 11 . 01 ,Pengadaan Sarana dan Prasarana Perkantoran ,2178138610,Sumber Dana : ,,
,,,Lokasi Kegiatan : Kabupaten Kulon Progo,,
