Judul,Penjabaran APBD,,,
Daerah,Kabupaten Kulon Progo,,,
Tahun,2015,,,
Kode Organisasi,1.15.01,,,
Nama Organisasi,Dinas Koperasi dan Usaha Mikro Kecil Menengah,,,
Kolom,4,,,
,,,,
No. Rekening,Uraian,Jumlah,Keterangan,
1.15 . 1.15.01 . 00 . 00 . 4 ,PENDAPATAN ,186000000,,
1.15 . 1.15.01 . 00 . 00 . 4 . 1 ,PENDAPATAN ASLI DAERAH ,186000000,,
1.15 . 1.15.01 . 00 . 00 . 4 . 1 . 4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,186000000,,
1.15 . 1.15.01 . 00 . 00 . 4 . 1 . 4 . 25 ,Pendapatan Bunga Penguatan Modal ,186000000,,
"1.15 . 1.15.01 . 00 . 00 . 4 . 1 . 4 . 25 . 01 ,Penguatan Modal bagi Koperasi ,186000000,""Peraturan Daerah Kabupaten Kulon Progo Nomor 7 Tahun 2009 tentang Penyertaan Modal Pemerintah Daerah kepada Koperasi Kredit """"Pinunjul"""" Koperasi KUB KUD Se Kulon Progo dan Koperasi Unit Desa""""""""""""Sedyo """"Rahayu"""", Lembaran Daerah Kabupaten Kulon Progo Tahun 2009 Nomor 4 Seri E"""
1.15 . 1.15.01 . 00 . 00 . 5 ,BELANJA ,2462440229,,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,1832156154,,
1.15 . 1.15.01 . 00 . 00 ,Non Kegiatan ,1832156154,Sumber Dana : ,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,1832156154,,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,1832156154,,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,1416323564,,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,126707617,,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,137085000,,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,41366325,,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,66525927,,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,44125535,,
1.15 . 1.15.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,22186,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,630284075,,
1.15 . 1.15.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,94767025,,
1.15 . 1.15.01 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,25902025,Sumber Dana : Lokasi Kegiatan : Dinas Koperasi dan UMKM,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,9100000,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,9100000,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,9100000,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,16802025,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,7714000,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,6934000,,
"1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,""Belanja Perangko Materai Dan Benda Pos Lainnya "",660000,,"
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 . 01 . 09 ,Belanja Peralatan Pendukung Kantor ,120000,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,1140000,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,1140000,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,7948025,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,1756000,,
1.15 . 1.15.01 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,6192025,,
1.15 . 1.15.01 . 01 . 27 ,Penyediaan Jasa  keuangan ,15300000,Sumber Dana : Lokasi Kegiatan : Dinas Koperasi dan UMKM,
1.15 . 1.15.01 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,15300000,,
1.15 . 1.15.01 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,15300000,,
1.15 . 1.15.01 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,15300000,,
"1.15 . 1.15.01 . 01 . 28 ,""Penyediaan Rapat-Rapat  Konsultasi dan Koordinasi "",53565000,Sumber Dana : Lokasi Kegiatan : Dinas Koperasi dan UMKM,"
1.15 . 1.15.01 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,53565000,,
1.15 . 1.15.01 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,5400000,,
