Judul,"Rincian Apbd Menurut Urusan Pemerintahan Daerah, Organisasi, Pendapatan, Belanja Dan Pembiayaan",,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,1.03.01,,
Nama Organisasi,Dinas Pekerjaan Umum,,
Kolom,4,,
,,,
No. Rekening,Uraian,Jumlah,Keterangan
1.03 . 1.03.01 . 00 . 00 . 4,PENDAPATAN,2291484000.00,
1.03 . 1.03.01 . 00 . 00 . 4 . 1,PENDAPATAN ASLI DAERAH,2291484000.00,
1.03 . 1.03.01 . 00 . 00 . 4 . 1 . 2,Hasil Retribusi Daerah,2282844000.00,"Peraturan Daerah Kabupaten Kulon Progo Nomor 5 Tahun 2012 tentang Retribusi Pelayanan Persampahan/Kebersihan, Lembaran Daerah Kabupaten Kulon Progo Tahun 2012 Nomor 5
Peraturan Daerah Kabupaten Kulon Progo Nomor 10 Tahun 2011 tentang Retribusi Pemakaian Kekayaan Daerah, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 4 Seri C sebagaimana telah diubah dengan Peraturan Daerah Kabupaten Kulon Progo Nomor 8 Tahun 2014, Lembaran Daerah Kabupaten Kulon Progo Tahun 2014 Nomor 8, TLD Nomor 18
Peraturan Daerah Kabupatan Kulon Progo Nomor 15 Tahun 2011 tentang Retribusi Izin Mendirikan Bangunan, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 6 Seri C"
1.03 . 1.03.01 . 00 . 00 . 4 . 1 . 4,Lain-lain Pendapatan Asli Daerah yang Sah,8640000.00,"Peraturan Daerah Kabupaten Kulon Progo Nomor 5 Tahun 2015 tentang Lain-Lain Pendapatan Asli Daerah Yang Sah, Lembaran Daerah Kabupaten Kulon Progo Tahun 2015 Nomor 5"
1.03 . 1.03.01 . 00 . 00 . 5,BELANJA,192796978498.45,
1.03 . 1.03.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,7276119573.00,
1.03 . 1.03.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,7276119573.00,
1.03 . 1.03.01 . 01 . 26 . 5 . 2,BELANJA LANGSUNG,185520858925.45,
1.03 . 1.03.01 . 01,Program Pelayanan Administrasi Perkantoran,277616000.00,
1.03 . 1.03.01 . 01 . 26,Penyediaan Jasa dan Peralatan Perkantoran,92210500.00,
1.03 . 1.03.01 . 01 . 26 . 5 . 2 . 1,Belanja Pegawai,4550000.00,
1.03 . 1.03.01 . 01 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,87660500.00,
1.03 . 1.03.01 . 01 . 27,Penyediaan Jasa  keuangan,49091500.00,
1.03 . 1.03.01 . 01 . 27 . 5 . 2 . 1,Belanja Pegawai,48996000.00,
1.03 . 1.03.01 . 01 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,95500.00,
1.03 . 1.03.01 . 01 . 28,"Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi",136314000.00,
1.03 . 1.03.01 . 01 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,136314000.00,
1.03 . 1.03.01 . 11,Program Peningkatan Sarana dan Prasarana Perkantoran,1448865000.00,
1.03 . 1.03.01 . 11 . 01,Pengadaan Sarana dan Prasarana Perkantoran,263602000.00,
1.03 . 1.03.01 . 11 . 01 . 5 . 2 . 3,Belanja Modal,263602000.00,
1.03 . 1.03.01 . 11 . 02,Pemeliharaan Sarana dan Prasarana Perkantoran,1185263000.00,
1.03 . 1.03.01 . 11 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,1185263000.00,
1.03 . 1.03.01 . 12,"Program Perencanaan, Pengendalian dan Evaluasi Kinerja",51125000.00,
1.03 . 1.03.01 . 12 . 01,Penyusunan Perencanaan Kinerja SKPD,12660000.00,
1.03 . 1.03.01 . 12 . 01 . 5 . 2 . 1,Belanja Pegawai,2610000.00,
1.03 . 1.03.01 . 12 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,10050000.00,
1.03 . 1.03.01 . 12 . 02,Penyusunan Laporan Keuangan,25625000.00,
1.03 . 1.03.01 . 12 . 02 . 5 . 2 . 1,Belanja Pegawai,9135000.00,
