Judul,Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,1.08.01,,
Nama Organisasi,Kantor Lingkungan Hidup,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.08 . 1.08.01 . 00 . 00 . 4,PENDAPATAN,215708000.00,
1.08 . 1.08.01 . 00 . 00 . 4 . 1,PENDAPATAN ASLI DAERAH,215708000.00,
1.08 . 1.08.01 . 00 . 00 . 4 . 1 . 2,Hasil Retribusi Daerah,215708000.00,"Peraturan Daerah Kabupatan Kulon Progo Nomor 8 Tahun 2012 tentang Retribusi Izin Gangguan, Lembaran Daerah Kabupaten Kulon Progo Tahun 2012 Nomor 8"
1.08 . 1.08.01 . 00 . 00 . 5,BELANJA,2663569677.00,
1.08 . 1.08.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,986805602.00,
1.08 . 1.08.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,986805602.00,
1.08 . 1.08.01 . 01 . 26 . 5 . 2,BELANJA LANGSUNG,1676764075.00,
1.08 . 1.08.01 . 01,Program Pelayanan Administrasi Perkantoran,76132000.00,
1.08 . 1.08.01 . 01 . 26,Penyediaan Jasa dan Peralatan Perkantoran,28304500.00,
1.08 . 1.08.01 . 01 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,28304500.00,
1.08 . 1.08.01 . 01 . 27,Penyediaan Jasa  keuangan,19595500.00,
1.08 . 1.08.01 . 01 . 27 . 5 . 2 . 1,Belanja Pegawai,19500000.00,
1.08 . 1.08.01 . 01 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,95500.00,
1.08 . 1.08.01 . 01 . 28,"Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi",28232000.00,
1.08 . 1.08.01 . 01 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,28232000.00,
1.08 . 1.08.01 . 11,Program Peningkatan Sarana dan Prasarana Perkantoran,117637000.00,
1.08 . 1.08.01 . 11 . 01,Pengadaan Sarana dan Prasarana Perkantoran,38599000.00,
1.08 . 1.08.01 . 11 . 01 . 5 . 2 . 3,Belanja Modal,38599000.00,
1.08 . 1.08.01 . 11 . 02,Pemeliharaan Sarana dan Prasarana Perkantoran,79038000.00,
1.08 . 1.08.01 . 11 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,79038000.00,
1.08 . 1.08.01 . 12,"Program Perencanaan, Pengendalian dan Evaluasi Kinerja",4599800.00,
1.08 . 1.08.01 . 12 . 01,Penyusunan Perencanaan Kinerja SKPD,1000000.00,
1.08 . 1.08.01 . 12 . 01 . 5 . 2 . 1,Belanja Pegawai,279000.00,
1.08 . 1.08.01 . 12 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,721000.00,
1.08 . 1.08.01 . 12 . 02,Penyusunan Laporan Keuangan,1099900.00,
1.08 . 1.08.01 . 12 . 02 . 5 . 2 . 1,Belanja Pegawai,279000.00,
1.08 . 1.08.01 . 12 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,820900.00,
1.08 . 1.08.01 . 12 . 03,"Pengendalian, Evaluasi dan Pelaporan Kinerja",2499900.00,
1.08 . 1.08.01 . 12 . 03 . 5 . 2 . 1,Belanja Pegawai,372000.00,
1.08 . 1.08.01 . 12 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,2127900.00,
1.08 . 1.08.01 . 13,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD,6000000.00,
1.08 . 1.08.01 . 13 . 03,Pendidikan dan Pelatihan Non Formal,6000000.00,
1.08 . 1.08.01 . 13 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,6000000.00,
1.08 . 1.08.01 . 16,Program Pengendalian Pencemaran dan Perusakan Lingkungan Hidup,556723400.00,
1.08 . 1.08.01 . 16 . 03,Pemantauan Kualitas Lingkungan,129914900.00,
1.08 . 1.08.01 . 16 . 03 . 5 . 2 . 1,Belanja Pegawai,14624000.00,
1.08 . 1.08.01 . 16 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,81365900.00,
1.08 . 1.08.01 . 16 . 03 . 5 . 2 . 3,Belanja Modal,33925000.00,
