Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Kulon Progo,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.02.01,,,,,
Nama Organisasi,Dinas Kesehatan,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.02 . 1.02.01 . 00.00 . 4 ,PENDAPATAN ,10889932388.00,26328739000.00,15438806612.00,141.77,
1.02 . 1.02.01 . 00.00 . 4.1 ,PENDAPATAN ASLI DAERAH ,10889932388.00,26328739000.00,15438806612.00,141.77,
1.02 . 1.02.01 . 00.00 . 4.1.2 ,Hasil Retribusi Daerah ,10889932388.00,1083416290.00,-9806516098.00,-90.05,
1.02 . 1.02.01 . 00.00 . 4.1.2.01 ,Retribusi Jasa Umum ,10889932388.00,1083416290.00,-9806516098.00,-90.05,
1.02 . 1.02.01 . 00.00 . 4.1.2.01.01 ,Retribusi Pelayanan Kesehatan ,10889932388.00,1083416290.00,-9806516098.00,-90.05,"Peraturan Daerah Kabupaten Kulon Progo Nomor 4 Tahun 2012 tentang Retribusi Pelayanan Kesehatan Pada UPT Dinas Kesehatan Kabupaten Kulon Progo, Lembaran Daerah Kabupaten Kulon Progo Tahun 2012 Nomor 4"
1.02 . 1.02.01 . 00.00 . 4.1.4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,0.00,25245322710.00,25245322710.00,0.00,
1.02 . 1.02.01 . 00.00 . 4.1.4.16 ,Pendapatan dari Badan Layanan Umum Daerah ,0.00,25245322710.00,25245322710.00,0.00,
1.02 . 1.02.01 . 00.00 . 4.1.4.16.07 ,Jasa Layanan Kesehatan UPTD Puskesmas ,0.00,25238445050.00,25238445050.00,0.00,"Peraturan Bupati Kulon Progo Nomor 84 Tahun 2013 tentang Tarif Pelayanan Pada Badan Layanan Umum Daerah UPTD Puskesmas Kabupaten Kulon Progo, Berita Daerah Kabupaten Kulon Progo Tahun 2013 Nomor 84"
1.02 . 1.02.01 . 00.00 . 4.1.4.16.08 ,Lain-lain Pendapatan Badan Layanan Umum Daerah yang Sah,0.00,6877660.00,6877660.00,0.00,
1.02 . 1.02.01 . 00.00 . 5 ,BELANJA ,69000067969.00,96880138998.00,27880071029.00,40.41,
1.02 . 1.02.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,37458579595.00,39055340353.00,1596760758.00,4.26,
1.02 . 1.02.01 . 00.00 ,Non Kegiatan ,37458579595.00,39055340353.00,1596760758.00,4.26,Sumber Dana : 
1.02 . 1.02.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,37458579595.00,39055340353.00,1596760758.00,4.26,
1.02 . 1.02.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,37327659595.00,38924420353.00,1596760758.00,4.28,
1.02 . 1.02.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,29189329158.00,29765810146.00,576480988.00,1.97,
1.02 . 1.02.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,2501915425.00,2655554407.00,153638982.00,6.14,
1.02 . 1.02.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,500565000.00,512655000.00,12090000.00,2.42,
1.02 . 1.02.01 . 00.00 . 5.1.1.01.04 ,Tunjangan Fungsional ,2287492916.00,2636883500.00,349390584.00,15.27,
1.02 . 1.02.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,626195829.00,637057988.00,10862159.00,1.73,
1.02 . 1.02.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,1667728146.00,1956667657.00,288939511.00,17.33,
1.02 . 1.02.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,553946772.00,759237647.00,205290875.00,37.06,
1.02 . 1.02.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,486349.00,554008.00,67659.00,13.91,
1.02 . 1.02.01 . 00.00 . 5.1.1.02 ,Tambahan Penghasilan PNS ,130920000.00,130920000.00,0.00,0.00,
1.02 . 1.02.01 . 00.00 . 5.1.1.02.01 ,Tambahan Penghasilan Berdasarkan Beban Kerja ,120120000.00,120120000.00,0.00,0.00,
1.02 . 1.02.01 . 00.00 . 5.1.1.02.07 ,Tambahan Penghasilan Berdasarkan Resiko Kerja ,10800000.00,10800000.00,0.00,0.00,
1.02 . 1.02.01 . 01.01 . 5.2 ,BELANJA LANGSUNG ,31541488374.00,57824798645.00,26283310271.00,83.33,
1.02 . 1.02.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,744919871.00,571325303.00,-173594568.00,-23.30,
1.02 . 1.02.01 . 01.01 ,Penyediaan Jasa Surat Menyurat ,1651000.00,1191500.00,-459500.00,-27.83,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo "
1.02 . 1.02.01 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,1651000.00,1191500.00,-459500.00,-27.83,
1.02 . 1.02.01 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1651000.00,1191500.00,-459500.00,-27.83,
1.02 . 1.02.01 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya",1651000.00,1191500.00,-459500.00,-27.83,
1.02 . 1.02.01 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",181880000.00,153880000.00,-28000000.00,-15.39,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.02 . 1.02.01 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,176880000.00,153880000.00,-23000000.00,-13.00,
