Judul,"Ringkasan Perubahan APBD Berdasarkan Rincian Obyek Pendapatan, Belanja dan Pembiayaan",,,,,
Daerah,Kabupaten Kulon Progo,,,,,
Tahun,2014,,,,,
Kode Organisasi,0,,,,,
Nama Organisasi,Kabupaten Kulon Progo,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
4,PENDAPATAN ,1031123944253.75,1088812577061.41,57688632807.66,5.59,
4 . 1 ,PENDAPATAN ASLI DAERAH ,92815160162.01,131892992136.75,39077831974.74,42.10,
4 . 1 . 1 ,Pendapatan Pajak Daerah ,17122527801.66,20447388961.66,3324861160.00,19.42,
4 . 1 . 1 . 01 ,Pajak Hotel ,110126150.00,82250000.00,-27876150.00,-25.31,
4 . 1 . 1 . 01 . 09 ,Hotel Melati Satu ,49151400.00,16000000.00,-33151400.00,-67.45,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 01 . 12 ,Losmen/Rumah Penginapan/Pesanggraha/Hostel/Rumah Kos ,60974750.00,66250000.00,5275250.00,8.65,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 02 ,Pajak Restoran ,458929754.00,505445500.00,46515746.00,10.14,
4 . 1 . 1 . 02 . 02 ,Rumah Makan ,237390024.00,299750500.00,62360476.00,26.27,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 02 . 05 ,Katering ,221539730.00,205695000.00,-15844730.00,-7.15,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 03 ,Pajak Hiburan ,7725000.00,7725000.00,0.00,0.00,
4 . 1 . 1 . 03 . 02 ,Pagelaran Kesenian/Musik/Tari/Busana ,4050000.00,1448300.00,-2601700.00,-64.24,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 03 . 05 ,Pameran ,1825000.00,4552400.00,2727400.00,149.45,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Nomor 1 Seri B"
4 . 1 . 1 . 03 . 14 ,Balap Kendaraan Bermotor ,1850000.00,1724300.00,-125700.00,-6.79,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 04 ,Pajak Reklame ,539144993.16,540144993.16,1000000.00,0.19,
4 . 1 . 1 . 04 . 01 ,Reklame Papan/Bill Board/Videotron/Megatron ,503235693.16,515235693.16,12000000.00,2.38,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 04 . 02 ,Reklame Kain ,33241050.00,22241050.00,-11000000.00,-33.09,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 04 . 03 ,Reklame Melekat/Stiker ,2668250.00,2668250.00,0.00,0.00,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 05 ,Pajak Penerangan Jalan ,4552857150.00,5496000000.00,943142850.00,20.72,
4 . 1 . 1 . 05 . 01 ,Pajak Penerangan Jalan PLN ,4552857150.00,5496000000.00,943142850.00,20.72,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 07 ,Pajak Parkir ,14202000.00,14400250.00,198250.00,1.40,
4 . 1 . 1 . 07 . 01 ,Pajak Parkir ,14202000.00,14400250.00,198250.00,1.40,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
4 . 1 . 1 . 08 ,Pajak Air Tanah ,4000000.00,8215000.00,4215000.00,105.38,
4 . 1 . 1 . 08 . 01 ,Pajak Air Tanah ,4000000.00,8215000.00,4215000.00,105.38,"Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah, tanggal 30 Juni 2011, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B"
