Judul,"Ringkasan APBD Berdasarkan Rincian Obyek Pendapatan, Belanja Dan Pembiayaan",,
Daerah,Kabupaten Kulon Progo,,
Tahun,2015,,
Kode Organisasi,0,,
Nama Organisasi,Kabupaten Kulon Progo,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
4,PENDAPATAN ,1242007552099.06,
4 . 1 ,PENDAPATAN ASLI DAERAH ,187802916833.82,
4 . 1 . 1 ,Pendapatan Pajak Daerah ,35342785434.6,
4 . 1 . 1 . 01 ,Pajak Hotel ,99900000,
4 . 1 . 1 . 01 . 09 ,Hotel Melati Satu ,20000000,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 01 . 12 ,Losmen/Rumah Penginapan/Pesanggrahan/Hostel/Rumah Kos ,79900000,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 02 ,Pajak Restoran ,580000000,
4 . 1 . 1 . 02 . 02 ,Rumah Makan ,350129016,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 02 . 05 ,Katering ,229870984,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 03 ,Pajak Hiburan ,8070500,
4 . 1 . 1 . 03 . 02 ,Pagelaran Kesenian/Musik/Tari/Busana ,4252500,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 03 . 05 ,Pameran ,1875500,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 03 . 14 ,Balap Kendaraan Bermotor ,1942500,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 04 ,Pajak Reklame ,550262948.6,
4 . 1 . 1 . 04 . 01 ,Reklame Papan/BillBoard/Videotron/Megatron ,514600300,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 04 . 02 ,Reklame Kain ,33905900,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 04 . 03 ,Reklame Melekat/Stiker ,1756748.6,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 05 ,Pajak Penerangan Jalan ,5226897236.3,
4 . 1 . 1 . 05 . 01 ,Pajak Penerangan Jalan PLN ,5226897236.3,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 06 ,Pajak Mineral Bukan Logam dan Batuan ,1500000000,
4 . 1 . 1 . 06 . 04 ,Batu Kapur ,2000000,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 06 . 17 ,Batu Belah/Andesit ,1220398350,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 06 . 28 ,Pasir Pasang Bangunan ,262026650,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 06 . 33 ,Tanah Urug/Permukaan ,15575000,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
4 . 1 . 1 . 07 ,Pajak Parkir ,16785702.2,
4 . 1 . 1 . 07 . 01 ,Pajak Parkir ,16785702.2,Peraturan Daerah Kabupaten Kulon Progo Nomor 6 Tahun 2011  tentang Pajak Daerah  tanggal 30 Juni 2011  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 1 Seri B
