Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,
Daerah,Kabupaten Kulonprogo,,,
Tahun,2015,,,
Kode Organisasi,2.05.02,,,
Nama Organisasi,Dinas Kelautan Perikanan dan Peternakan,,,
Kolom,4,,,
No. Rekening,Uraian,Jumlah,Keterangan,
2.05 . 2.05.02 . 00 . 00 . 4 ,PENDAPATAN ,221157500,,
2.05 . 2.05.02 . 00 . 00 . 4 . 1 ,PENDAPATAN ASLI DAERAH ,221157500,,
2.05 . 2.05.02 . 00 . 00 . 4 . 1 . 2 ,Hasil Retribusi Daerah ,221157500,,
2.05 . 2.05.02 . 00 . 00 . 4 . 1 . 2 . 01 ,Retribusi Jasa Umum ,175507500,,
2.05 . 2.05.02 . 00 . 00 . 4 . 1 . 2 . 01 . 45 ,Retribusi Pelayanan Kesehatan Hewan ,175507500,"Peraturan Daerah Kabupaten Kulon Progo Nomor 20 Tahun 2012 tentang Retribusi Pelayanan Kesehatan Pada UPTD Puskeswan Dinas Kelautan Perikanan dan Peternakan Kabupaten Kulon Progo  Lembaran Daerah Kabupaten Kulon Progo Tahun 2012 Nomor 20",
2.05 . 2.05.02 . 00 . 00 . 4 . 1 . 2 . 02 ,Retribusi Jasa Usaha ,45650000,,
2.05 . 2.05.02 . 00 . 00 . 4 . 1 . 2 . 02 . 08 ,Retribusi Tempat Pelelangan Ikan ,20000000,"Peraturan Daerah Kabupaten Kulon Progo Nomor 19 Tahun 2012 tentang Retribusi Tempat Pelelangan pada Tempat Pelelangan Ikan  Lembaran Daerah Kabupaten Kulon Progo Tahun 2012 Nomor 19",
2.05 . 2.05.02 . 00 . 00 . 4 . 1 . 2 . 02 . 26 ,Retribusi Penjualan Produksi Usaha Daerah ,25650000,"Peraturan Daerah Kabupaten Kulon Progo Nomor 13 Tahun 2012 tentang Retribusi Penjualan Produk Usaha Daerah  Lembaran Daerah Kabupaten Kulon Progo Tahun 2012 Nomor 13",
2.05 . 2.05.02 . 00 . 00 . 5 ,BELANJA ,16429898716,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,6352080866,,
2.05 . 2.05.02 . 00 . 00 ,Non Kegiatan ,6352080866,Sumber Dana : ,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,6352080866,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,6341022991,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,4824377883,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,478318901,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,213005000,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,233587250,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,183542450,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,275914752,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,132206080,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,70675,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 06 ,Insentif Pemungutan Retribusi Daerah ,11057875,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 06 . 18 ,Insentif Pemungutan Retribusi Daerah - Tempat Pelelangan ,1000000,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 06 . 26 ,Insentif Pemungutan Retribusi Daerah - Penjualan Produksi Usaha Daerah ,1282500,,
2.05 . 2.05.02 . 00 . 00 . 5 . 1 . 1 . 06 . 34 ,Insentif Pemungutan Retribusi Daerah - Pelayanan Kesehatan Hewan ,8775375,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,10077817850,,
2.05 . 2.05.02 . 01 ,Program Pelayanan Administrasi Perkantoran ,177824500,,
2.05 . 2.05.02 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,38584500,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,13897000,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,13897000,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,13897000,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,24687500,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,12833150,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,12083150,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko  Materai Dan Benda Pos Lainnya ",750000,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,11854350,,
2.05 . 2.05.02 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,5599000,,
