Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Kulonprogo,,,,,
Tahun,2015,,,,,
Kode Organisasi,2.01.01,,,,,
Nama Organisasi,Dinas Pertanian dan Kehutanan,,,,,
Kolom,4,,,,,
No. Rekening,Uraian,Jumlah,Keterangan,,,
2.01 . 2.01.01 . 00 . 00 . 4 ,PENDAPATAN ,"31000000,00",,,,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 ,PENDAPATAN ASLI DAERAH ,"31000000,00",,,,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 ,Hasil Retribusi Daerah ,"31000000,00",,,,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 . 02 ,Retribusi Jasa Usaha ,"31000000,00",,,,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 . 02 . 26 ,Retribusi Penjualan Produksi Usaha Daerah ,"31000000,00","""Peraturan Daerah Kabupaten Kulon Progo Nomor 13 Tahun 2012 tentang Retribusi Penjualan Produk Usaha Daerah"," Lembaran Daerah Kabupaten Kulon Progo Tahun 2012 Nomor 13""",,
2.01 . 2.01.01 . 00 . 00 . 5 ,BELANJA ,"16390039878,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,"4714687789,00",,,,
2.01 . 2.01.01 . 00 . 00 ,Non Kegiatan ,"4714687789,00",Sumber Dana : ,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,"4714687789,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,"4713137789,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,"3609002188,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,"325147137,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,"184925000,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,"165711750,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,"137887750,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,"195727027,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,"94685076,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,"51861,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 06 ,Insentif Pemungutan Retribusi Daerah ,"1550000,00",,,,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 06 . 26 ,Insentif Pemungutan Retribusi Daerah - Penjualan Produksi Usaha Daerah ,"1550000,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,"11675352089,00",,,,
2.01 . 2.01.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,"126282450,00",,,,
2.01 . 2.01.01 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,"24282450,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,"4550000,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"4550000,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,"4550000,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"19732450,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"10975150,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"10615150,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,"""Belanja Perangko  Materai Dan Benda Pos Lainnya ""","360000,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"840000,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,"840000,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"7917300,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,"3413000,00",,,,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"4504300,00",,,,
2.01 . 2.01.01 . 01 . 27 ,Penyediaan Jasa  keuangan ,"24000000,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
2.01 . 2.01.01 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,"24000000,00",,,,
2.01 . 2.01.01 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"24000000,00",,,,
