Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,2.04.01,,
Nama Organisasi,Dinas Pariwisata Pemuda dan Olah Raga,,
Kolom,4,,
No. Rekening,Uraian,Jumah,Keterangan
2.04 . 2.04.01 . 00 . 00 . 4,PENDAPATAN,"2190434000,00",
2.04 . 2.04.01 . 00 . 00 . 4 . 1,PENDAPATAN ASLI DAERAH,"2190434000,00",
2.04 . 2.04.01 . 00 . 00 . 4 . 1 . 2,Hasil Retribusi Daerah,"2190434000,00","Peraturan Daerah Kabupaten Kulon Progo Nomor 10 Tahun 2011 tentang Retribusi Pemakaian Kekayaan Daerah, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 4 Seri C sebagaimana telah diubah dengan Peraturan Daerah Kabupaten Kulon Progo Nomor 8 Tahun 2014, Lembaran Daerah Kabupaten Kulon Progo Tahun 2014 Nomor 8, TLD Nomor 18 . Peraturan Daerah Kabupaten Kulon Progo Nomor 3 Tahun 2011 tentang Retribusi Tempat Khusus Parkir, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 2 Seri C . Peraturan Daerah Kabupaten Kulon Progo Nomor 8 Tahun 2013 tentang Perubahan Atas Peraturan Daerah Kabupaten Kulon Progo Nomor 1 Tahun 2010 tentang Retribusi Tempat Rekreasi dan Olah Raga, Lembaran Daerah Kabupaten Kulon Progo Tahun 2013 Nomor 8"
2.04 . 2.04.01 . 00 . 00 . 5,BELANJA,"5679007861,00",
2.04 . 2.04.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,"3177089726,00",
2.04 . 2.04.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,"3177089726,00",
2.04 . 2.04.01 . 01 . 26 . 5 . 2,BELANJA LANGSUNG,"2501918135,00",
2.04 . 2.04.01 . 01,Program Pelayanan Administrasi Perkantoran,"77877500,00",
2.04 . 2.04.01 . 01 . 26,Penyediaan jasa dan peralatan perkantoran,"25446500,00",
2.04 . 2.04.01 . 01 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,"25446500,00",
2.04 . 2.04.01 . 01 . 27,Penyediaan jasa keuangan,"16948000,00",
2.04 . 2.04.01 . 01 . 27 . 5 . 2 . 1,Belanja Pegawai,"16800000,00",
2.04 . 2.04.01 . 01 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,"148000,00",
2.04 . 2.04.01 . 01 . 28,"Penyediaan rapat-rapat, konsultasi dan koordinasi","35483000,00",
2.04 . 2.04.01 . 01 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,"35483000,00",
2.04 . 2.04.01 . 11,Program Peningkatan Sarana dan Prasarana Perkantoran,"256655580,00",
2.04 . 2.04.01 . 11 . 01,Pengadaan sarana dan prasarana perkantoran,"58134000,00",
2.04 . 2.04.01 . 11 . 01 . 5 . 2 . 3,Belanja Modal,"58134000,00",
2.04 . 2.04.01 . 11 . 02,Pemeliharaan sarana dan prasarana perkantoran,"198521580,00",
2.04 . 2.04.01 . 11 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,"198521580,00",
2.04 . 2.04.01 . 12,"Program Perencanaan, Pengendalian dan Evaluasi Kinerja","10419350,00",
2.04 . 2.04.01 . 12 . 01,Penyusunan perencanaan kinerja SKPD,"5437000,00",
2.04 . 2.04.01 . 12 . 01 . 5 . 2 . 1,Belanja Pegawai,"696000,00",
2.04 . 2.04.01 . 12 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,"4741000,00",
2.04 . 2.04.01 . 12 . 02,Penyusunan laporan keuangan,"3053000,00",
2.04 . 2.04.01 . 12 . 02 . 5 . 2 . 1,Belanja Pegawai,"2356000,00",
2.04 . 2.04.01 . 12 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,"697000,00",
2.04 . 2.04.01 . 12 . 03,"Pengendalian, evaluasi dan pelaporan kinerja","1929350,00",
2.04 . 2.04.01 . 12 . 03 . 5 . 2 . 1,Belanja Pegawai,"440000,00",
2.04 . 2.04.01 . 12 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,"1489350,00",
