Judul;Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah;;;;;
Daerah;Kabupaten Kulon Progo;;;;;
Tahun;2014;;;;;
Kode Organisasi;1.17.01;;;;;
Nama Organisasi;Dinas Pariwisata Pemuda dan Olahraga;;;;;
Kolom;7;;;;;
No Rekening;Uraian;Sebelum;Sesudah;Angka;Prosentase;Keterangan
117  11701  0000  4 ;PENDAPATAN ;1700000000;1737353000;37353000;22;
117  11701  0000  41 ;PENDAPATAN ASLI DAERAH ;1700000000;1737353000;37353000;22;
117  11701  0000  412 ;Hasil Retribusi Daerah ;1700000000;1737353000;37353000;22;
117  11701  0000  41202 ;Retribusi Jasa Usaha ;1700000000;1737353000;37353000;22;
117  11701  0000  4120201 ;Retribusi Pemakaian Kekayaan Daerah ;54900000;54900000;0;0;Peraturan Daerah Kabupaten Kulon Progo Nomor 10 Tahun 2011 tentang Retribusi Pemakaian Kekayaan Daerah. Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 4 Seri C
117  11701  0000  4120205 ;Retribusi Tempat Khusus Parkir ;8100000;8100000;0;0;Peraturan Daerah Kabupaten Kulon Progo Nomor 3 Tahun 2011 tentang Retribusi Tempat Khusus Parkir. Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 2 Seri C
117  11701  0000  4120210 ;Retribusi Tempat Rekreasi dan Olahraga ;1637000000;1674353000;37353000;228;Peraturan Daerah Kabupaten Kulon Progo Nomor 8 Tahun 2013 tentang Perubahan Atas Peraturan Daerah Kabupaten Kulon Progo Nomor 1 Tahun 2010 tentang Retribusi Tempat Rekreasi dan Olah Raga. Lembaran Daerah Kabupaten Kulon Progo Tahun 2013 Nomor 8
117  11701  0000  5 ;BELANJA ;5246978039;5693520745;446542706;851;
117  11701  0000  51 ;BELANJA TIDAK LANGSUNG ;2833898939;2795314670;-38584269;-136;
117  11701  0000 ;Non Kegiatan ;2833898939;2795314670;-38584269;-136;Sumber Dana : 
117  11701  0000  511 ;Belanja Pegawai ;2833898939;2795314670;-38584269;-136;
117  11701  0000  51101 ;Gaji Dan Tunjangan ;2800379189;2761094540;-39284649;-14;
117  11701  0000  5110101 ;Gaji Pokok PNS/Uang Representasi ;2133176930;2072035197;-61141733;-287;
117  11701  0000  5110102 ;Tunjangan Keluarga ;211204968;205091819;-6113149;-289;
117  11701  0000  5110103 ;Tunjangan Jabatan ;206505000;203930000;-2575000;-125;
117  11701  0000  5110105 ;Tunjangan Fungsional Umum ;82020179;83158863;1138684;139;
117  11701  0000  5110106 ;Tunjangan Beras ;125820246;146194706;20374460;1619;
117  11701  0000  5110107 ;Tunjangan PPh/Tunjangan Khusus ;41622078;50647361;9025283;2168;
117  11701  0000  5110108 ;Pembulatan Gaji ;29788;36594;6806;2285;
117  11701  0000  51105 ;Belanja Insentif Pemungutan Pajak/Retribusi Daerah;33519750;34220130;700380;209;
117  11701  0000  5110501 ;Belanja Pemungutan Pajak/Retribusi ;33519750;34220130;700380;209;
117  11701  0101  52 ;BELANJA LANGSUNG ;2413079100;2898206075;485126975;201;
117  11701  01 ;Program Pelayanan Administrasi Perkantoran ;173719950;177864950;4145000;239;
117  11701  0101 ;Penyediaan Jasa Surat Menyurat ;999000;999000;0;0;Sumber Dana : 
"Lokasi Kegiatan : Kabupaten Kulon Progo""";;;;;;
117  11701  0101  522 ;Belanja Barang dan Jasa ;999000;999000;0;0;
117  11701  0101  52201 ;Belanja Bahan Pakai Habis ;999000;999000;0;0;
117  11701  0101  5220104 ;Belanja Perangko. Materai Dan Benda Pos Lainnya;999000;999000;0;0;
117  11701  0102 ;Penyediaan Jasa Komunikasi. Sumber Daya Air dan Listrik;70800000;76495000;5695000;804;Sumber Dana : 
"Lokasi Kegiatan : Kabupaten Kulon Progo""";;;;;;
117  11701  0102  522 ;Belanja Barang dan Jasa ;70800000;76495000;5695000;804;
117  11701  0102  52203 ;Belanja Jasa Kantor ;70800000;76495000;5695000;804;
117  11701  0102  5220301 ;Belanja Telepon ;6000000;6635000;635000;1058;Belanja telepon kantor dan Wisma Sermo  
"Kekurangan pembayaran telepon Desember 2013""";;;;;;
117  11701  0102  5220302 ;Belanja Air ;9600000;10600000;1000000;1042;
117  11701  0102  5220303 ;Belanja Listrik ;55200000;59260000;4060000;736;
117  11701  0106 ;Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional;5730000;5730000;0;0;Sumber Dana : 
"Lokasi Kegiatan : Kabupaten Kulon Progo""";;;;;;
117  11701  0106  522 ;Belanja Barang dan Jasa ;5730000;5730000;0;0;
117  11701  0106  52205 ;Belanja Perawatan Kendaraan Bermotor ;5730000;5730000;0;0;
117  11701  0106  5220504 ;Belanja Jasa KIR ;350000;350000;0;0;Biaya pengujian kendaraan roda 6
117  11701  0106  5220505 ;Belanja Surat Tanda Nomor Kendaraan ;5380000;5380000;0;0;
117  11701  0107 ;Penyediaan Jasa Administrasi Keuangan ;18180000;18180000;0;0;Sumber Dana : 
"Lokasi Kegiatan : Kabupaten Kulon Progo""";;;;;;
117  11701  0107  521 ;Belanja Pegawai ;18180000;18180000;0;0;
117  11701  0107  52101 ;Honorarium PNS ;18180000;18180000;0;0;
117  11701  0107  5210104 ;Honorarium Bendahara/Pengurus Barang ;18180000;18180000;0;0;
117  11701  0108 ;Penyediaan Jasa Kebersihan Kantor ;4303000;4303000;0;0;Sumber Dana : 
"Lokasi Kegiatan : Kabupaten Kulon Progo""";;;;;;
117  11701  0108  522 ;Belanja Barang dan Jasa ;4303000;4303000;0;0;
117  11701  0108  52201 ;Belanja Bahan Pakai Habis ;4303000;4303000;0;0;
