Judul;Anggaran Pendapatan dan Belanja Daerah;;
Daerah;Kabupaten Kulon Progo;;
Tahun;2016;;
Kode Organisasi;1.17.01;;
Nama Organisasi;Dinas Pariwisata Pemuda dan Olahraga;;
Kolom;4;;
No. Rekening;Uraian;Jumlah;Keterangan
1.17 . 1.17.01 . 01 . 26 . 5;BELANJA;1153536170.00;
1.17 . 1.17.01 . 01 . 26 . 5 . 2;BELANJA LANGSUNG;1153536170.00;
1.17 . 1.17.01 . 01;Program Pelayanan Administrasi Perkantoran;169391800.00;
1.17 . 1.17.01 . 01 . 26;Penyediaan Jasa dan Peralatan Perkantoran;43603400.00;
1.17 . 1.17.01 . 01 . 26 . 5 . 2 . 2;Belanja Barang dan Jasa;43603400.00;
1.17 . 1.17.01 . 01 . 27;Penyediaan Jasa  keuangan;40863800.00;
1.17 . 1.17.01 . 01 . 27 . 5 . 2 . 1;Belanja Pegawai;40800000.00;
1.17 . 1.17.01 . 01 . 27 . 5 . 2 . 2;Belanja Barang dan Jasa;63800.00;
1.17 . 1.17.01 . 01 . 28;Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi;84924600.00;
1.17 . 1.17.01 . 01 . 28 . 5 . 2 . 2;Belanja Barang dan Jasa;84924600.00;
1.17 . 1.17.01 . 11;Program Peningkatan Sarana dan Prasarana Perkantoran;963540270.00;
1.17 . 1.17.01 . 11 . 01;Pengadaan Sarana dan Prasarana Perkantoran;601838900.00;
1.17 . 1.17.01 . 11 . 01 . 5 . 2 . 2;Belanja Barang dan Jasa;10000000.00;
1.17 . 1.17.01 . 11 . 01 . 5 . 2 . 3;Belanja Modal;591838900.00;
1.17 . 1.17.01 . 11 . 02;Pemeliharaan Sarana dan Prasarana Perkantoran;361701370.00;
1.17 . 1.17.01 . 11 . 02 . 5 . 2 . 2;Belanja Barang dan Jasa;361701370.00;
1.17 . 1.17.01 . 12;Program Perencanaan, Pengendalian dan Evaluasi Kinerja;10604100.00;
1.17 . 1.17.01 . 12 . 01;Penyusunan Perencanaan Kinerja SKPD;5511000.00;
1.17 . 1.17.01 . 12 . 01 . 5 . 2 . 1;Belanja Pegawai;696000.00;
1.17 . 1.17.01 . 12 . 01 . 5 . 2 . 2;Belanja Barang dan Jasa;4815000.00;
1.17 . 1.17.01 . 12 . 02;Penyusunan Laporan Keuangan;3140500.00;
1.17 . 1.17.01 . 12 . 02 . 5 . 2 . 1;Belanja Pegawai;2436000.00;
1.17 . 1.17.01 . 12 . 02 . 5 . 2 . 2;Belanja Barang dan Jasa;704500.00;
1.17 . 1.17.01 . 12 . 03;Pengendalian, Evaluasi dan Pelaporan Kinerja;1952600.00;
1.17 . 1.17.01 . 12 . 03 . 5 . 2 . 1;Belanja Pegawai;516000.00;
1.17 . 1.17.01 . 12 . 03 . 5 . 2 . 2;Belanja Barang dan Jasa;1436600.00;
1.17 . 1.17.01 . 13;Program Peningkatan Kapasitas Sumber Daya Manusia SKPD;10000000.00;
1.17 . 1.17.01 . 13 . 03;Pendidikan dan Pelatihan Non Formal;10000000.00;
1.17 . 1.17.01 . 13 . 03 . 5 . 2 . 2;Belanja Barang dan Jasa;10000000.00;
;SURPLUS / (DEFISIT);-1153536170.00;
