Judul;Anggaran Pendapatan dan Belanja Daerah;;;;
Daerah;Kabupaten Kulon Progo;;;;
Tahun;2016;;;;
Kode Organisasi;1.19.01;;;;
Nama Organsisasi;Badan Penanggulangan Bencana Daerah;;;;
Kolom;4;;;;
No. Rekening;Uraian;Jumlah;Keterangan;;
1.06 . 1.06.01 . 00 . 00 . 5;BELANJA;7682898517.00;;;
1.06 . 1.06.01 . 00 . 00 . 5 . 1;BELANJA TIDAK LANGSUNG;3359899342.00;;;
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1;Belanja Pegawai;3359899342.00;;;
1.06 . 1.06.01 . 01 . 26 . 5 . 2;BELANJA LANGSUNG;4322999175.00;;;
1.06 . 1.06.01 . 01;Program Pelayanan Administrasi Perkantoran;233095950.00;;;
1.06 . 1.06.01 . 01 . 26;Penyediaan Jasa dan Peralatan Perkantoran;61164450.00;;;
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2;Belanja Barang dan Jasa;61164450.00;;;
1.06 . 1.06.01 . 01 . 27;Penyediaan Jasa  keuangan;19895500.00;;;
1.06 . 1.06.01 . 01 . 27 . 5 . 2 . 1;Belanja Pegawai;19800000.00;;;
1.06 . 1.06.01 . 01 . 27 . 5 . 2 . 2;Belanja Barang dan Jasa;95500.00;;;
1.06 . 1.06.01 . 01 . 28;Penyediaan Rapat-Rapat;  Konsultasi dan Koordinasi;152036000.00;;
1.06 . 1.06.01 . 01 . 28 . 5 . 2 . 2;Belanja Barang dan Jasa;152036000.00;;;
1.06 . 1.06.01 . 11;Program Peningkatan Sarana dan Prasarana Perkantoran;529978300.00;;;
1.06 . 1.06.01 . 11 . 01;Pengadaan Sarana dan Prasarana Perkantoran;277522000.00;;;
1.06 . 1.06.01 . 11 . 01 . 5 . 2 . 3;Belanja Modal;277522000.00;;;
1.06 . 1.06.01 . 11 . 02;Pemeliharaan Sarana dan Prasarana Perkantoran;252456300.00;;;
1.06 . 1.06.01 . 11 . 02 . 5 . 2 . 2;Belanja Barang dan Jasa;252456300.00;;;
1.06 . 1.06.01 . 12;Program Perencanaan; Pengendalian dan Evaluasi Kinerja;25178200.00;;
1.06 . 1.06.01 . 12 . 01;Penyusunan Perencanaan Kinerja SKPD;3978200.00;;;
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 1;Belanja Pegawai;596000.00;;;
1.06 . 1.06.01 . 12 . 01 . 5 . 2 . 2;Belanja Barang dan Jasa;3382200.00;;;
1.06 . 1.06.01 . 12 . 02;Penyusunan Laporan Keuangan;12500000.00;;;
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 1;Belanja Pegawai;5570000.00;;;
1.06 . 1.06.01 . 12 . 02 . 5 . 2 . 2;Belanja Barang dan Jasa;6930000.00;;;
1.06 . 1.06.01 . 12 . 03;Pengendalian; Evaluasi dan Pelaporan Kinerja;8700000.00;;
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 1;Belanja Pegawai;1670000.00;;;
1.06 . 1.06.01 . 12 . 03 . 5 . 2 . 2;Belanja Barang dan Jasa;7030000.00;;;
1.06 . 1.06.01 . 13;Program Peningkatan Kapasitas Sumber Daya Manusia SKPD;23100000.00;;;
1.06 . 1.06.01 . 13 . 03;Pendidikan dan Pelatihan Non Formal;23100000.00;;;
1.06 . 1.06.01 . 13 . 03 . 5 . 2 . 1;Belanja Pegawai;500000.00;;;
1.06 . 1.06.01 . 13 . 03 . 5 . 2 . 2;Belanja Barang dan Jasa;22600000.00;;;
1.23 . 1.06.01 . 15;Program Pengembangan Data/Informasi/Statistik Daerah;688859350.00;;;
1.23 . 1.06.01 . 15 . 08;Penyusunan Database Daerah dan Pengelolaan Sistem Informasi Pembangunan Daerah (SIPD);171336000.00;;;
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 1;Belanja Pegawai;81245000.00;;;
1.23 . 1.06.01 . 15 . 08 . 5 . 2 . 2;Belanja Barang dan Jasa;90091000.00;;;
1.23 . 1.06.01 . 15 . 11;Penyusunan Data Keluarga Miskin;443025000.00;;;
1.23 . 1.06.01 . 15 . 11 . 5 . 2 . 1;Belanja Pegawai;70960000.00;;;
