Judul,Penjabaran Anggaran Pendapatan Belanja Daerah
Daerah,Kabupaten Bantul
Tahun,2015
Kode Organisasi,1.19
Kolom,4


No. Rekening,Uraian,Jumlah,Keterangan
1.19 . 1.19.03 . 00 . 00 . 5 ,BELANJA ,470986518000.00
1.19 . 1.19.03 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,124092400000.00
1.19 . 1.19.03 . 00 . 00 ,Non Kegiatan ,124092400000.00,Sumber Dana : 
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,124092400000.00
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,124092400000.00
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,96092880000.00,Gaji Pokok PNS
,,,Gaji Pokok
,,,"1 th x 960.928.800,00 = 960.928.800,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,9194003000.00,Tunjangan Keluarga
,,,"1 th x 91.940.030,00 = 91.940.030,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,4794400000.00,Tunjangan Jabatan
,,,"1 th x 47.944.000,00 = 47.944.000,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,0.00,Tunjangan Fungsional
,,,"1 th x 0,00 = 0,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,5025540000.00,Tunjangan Fungsional Umum
,,,"1 th x 50.255.400,00 = 50.255.400,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,6899048000.00,Tunjangan Beras
,,,"1 th x 68.990.480,00 = 68.990.480,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,2084865000.00,Tunjangan PPh/Tunjangan Khusus
,,,"1 th x 20.848.650,00 = 20.848.650,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,1664000.00,Pembulatan Gaji
,,,"1 th x 16.640,00 = 16.640,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 09 ,Iuran Asuransi Kesehatan ,0.00,Iuran Asuransi Kesehatan
,,,Iurang Asuransi Kesehatan BPJS
,,,"1 th x 0,00 = 0,00"
,,,Iuran Asuransi Jaminan Kecelakaan Kerja BPJS
,,,"1 th x 0,00 = 0,00"
,,,Iuran Jaminan Kematian BPJS
,,,"1 th x 0,00 = 0,00"
