Judul;Penjabaran Anggaran Pendapatan Belanja Daerah;;;;;
Daerah;Kabupaten Bantul;;;;;
Tahun;2014;;;;;
Kode Organisasi;1.01.02;;;;;
Nama Organisasi;Pendidikan Menengah dan Formal;;;;;
Kolom;7;;;;;
No. Rekening;Uraian;Sebelum;Sesudah;Angka;Prosentase;Keterangan
1.01 . 1.01.02 . 00.00 . 5 ;BELANJA ;261.023.929.403,00;299.383.031.003,00;38.359.101.600,00;14,7;
1.01 . 1.01.02 . 00.00 . 5.1 ;BELANJA TIDAK LANGSUNG ;219.063.359.000,00;247.498.632.400,00;28.435.273.400,00;12,98;
1.01 . 1.01.02 . 00.00 ;Non Kegiatan ;219.063.359.000,00;247.498.632.400,00;28.435.273.400,00;12,98;Sumber Dana : Dana Alokasi Umum (D A U)
1.01 . 1.01.02 . 00.00 . 5.1.1 ;Belanja Pegawai ;219.063.359.000,00;247.498.632.400,00;28.435.273.400,00;12,98;
1.01 . 1.01.02 . 00.00 . 5.1.1.01 ;Gaji Dan Tunjangan ;147.593.622.000,00;144.981.646.000,00;-2.611.976.000,00;-1,77;
1.01 . 1.01.02 . 00.00 . 5.1.1.01.01 ;Gaji Pokok PNS/Uang Representasi ;114.604.363.660,00;113.132.749.524,00;-1.471.614.136,00;-1,28;Gaji Pokok PNS/Uang representasiGaji Pokok/Uang representasi1 th x 113.132.749.524,00 = 113.132.749.524,00
1.01 . 1.01.02 . 00.00 . 5.1.1.01.02 ;Tunjangan Keluarga ;10.535.343.229,00;10.362.409.928,00;-172.933.301,00;-1,64;Tunjangan Keluarga1 th x 10.362.409.928,00 = 10.362.409.928,00
1.01 . 1.01.02 . 00.00 . 5.1.1.01.03 ;Tunjangan Jabatan ;348.276.000,00;329.749.000,00;-18.527.000,00;-5,32;Tunjangan Jabatan1 th x 329.749.000,00 = 329.749.000,00
1.01 . 1.01.02 . 00.00 . 5.1.1.01.04 ;Tunjangan Fungsional ;11.880.169.000,00;11.332.676.500,00;-547.492.500,00;-4,61;Tunjangan Fungsional1 th x 11.332.676.500,00 = 11.332.676.500,00
1.01 . 1.01.02 . 00.00 . 5.1.1.01.05 ;Tunjangan Fungsional Umum ;522.821.000,00;478.682.000,00;-44.139.000,00;-8,44;Tunjangan Fungsional Umum1 th x 478.682.000,00 = 478.682.000,00
1.01 . 1.01.02 . 00.00 . 5.1.1.01.06 ;Tunjangan Beras ;6.669.362.760,00;5.657.502.860,00;-1.011.859.900,00;-15,17;Tunjangan Beras1 th x 5.657.502.860,00 = 5.657.502.860,00
1.01 . 1.01.02 . 00.00 . 5.1.1.01.07 ;Tunjangan PPh/Tunjangan Khusus ;3.030.214.340,00;3.686.202.213,00;655.987.873,00;21,65;Tunjangan PPh/Tunjangan Khusus1 th x 3.686.202.213,00 = 3.686.202.213,00
1.01 . 1.01.02 . 00.00 . 5.1.1.01.08 ;Pembulatan Gaji ;3.072.011,00;1.673.975,00;-1.398.036,00;-45,51;Pembulatan Gaji1 th x 1.673.975,00 = 1.673.975,00
1.01 . 1.01.02 . 00.00 . 5.1.1.01.09 ;Iuran Asuransi Kesehatan ;0;0;0;0;Iuran Asuransi Kesehatan1 thn x 0,00 = 0,00
1.01 . 1.01.02 . 00.00 . 5.1.1.07 ;Tambahan Penghasilan Guru ;71.469.737.000,00;102.516.986.400,00;31.047.249.400,00;43,44;
1.01 . 1.01.02 . 00.00 . 5.1.1.07.01 ;Tunjangan Profesi Guru ;69.945.626.000,00;101.721.569.400,00;31.775.943.400,00;45,43;Tunjangan Profesi Guru1 th x 101.721.569.400,00 = 101.721.569.400,00
1.01 . 1.01.02 . 00.00 . 5.1.1.07.02 ;Tambahan Penghasilan Guru ;1.524.111.000,00;795.417.000,00;-728.694.000,00;-47,81;Tambahan Penghasilan Guru1 th x 795.417.000,00 = 795.417.000,00
1.01 . 1.01.02 . 01.01 . 5.2 ;BELANJA LANGSUNG ;41.960.570.403,00;51.884.398.603,00;9.923.828.200,00;23,65;
1.01 . 1.01.02 . 01 ;Program Pelayanan Administrasi Perkantoran ;332.120.000,00;287.755.000,00;-44.365.000,00;-13,36;
1.01 . 1.01.02 . 01.01 ;Pelayanan Jasa Surat Menyurat ;4.000.000,00;3.800.000,00;-200.000,00;-5;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 01.01 . 5.2.2 ;Belanja Barang dan Jasa ;4.000.000,00;3.800.000,00;-200.000,00;-5;
1.01 . 1.01.02 . 01.01 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;3.400.000,00;3.400.000,00;0;0;
1.01 . 1.01.02 . 01.01 . 5.2.2.01.04 ;Belanja Perangko, Materai Dan Benda Pos Lainnya ;3.400.000,00;3.400.000,00;0;0;Belanja Perangko, Materai dan Benda Pos Lainnya1 Ls x 3.400.000,00 = 3.400.000,00
1.01 . 1.01.02 . 01.01 . 5.2.2.03 ;Belanja Jasa Kantor ;600.000,00;400.000,00;-200.000,00;-33,33;
1.01 . 1.01.02 . 01.01 . 5.2.2.03.07 ;Belanja Paket/Pengiriman ;200.000,00;200.000,00;0;0;Biaya paket/ pengirimanBiaya paket/pengiriman1 Ls x 200.000,00 = 200.000,00
1.01 . 1.01.02 . 01.01 . 5.2.2.03.09 ;Belanja Jasa Transaksi Keuangan ;400.000,00;200.000,00;-200.000,00;-50;Belanja Jasa Transaksi Keuangan1 Ls x 200.000,00 = 200.000,00
