Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,,,,,,,,,,,
Daerah,Kabupaten Bantul,,,,,,,,,,,,,,,
Tahun,2014,,,,,,,,,,,,,,,
Kode Organisasi,1.11.01,,,,,,,,,,,,,,,
Organisasi,Badan Kesejahteraan Keluarga Pemberdayaan Perempuan dan Keluarga Berencana,,,,,,,,,,,,,,,
Kolom,7,,,,,,,,,,,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan,,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5 ,BELANJA ,10904737610.00,10819143610.00,-85594000.00,-0.78,,,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,5829465000.00,5743871000.00,-85594000.00,-1.47,,,,,,,,,,,
1.11 . 1.11.01 . 00.00 ,Non Kegiatan ,5829465000.00,5743871000.00,-85594000.00,-1.47,Sumber Dana : ,,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,5829465000.00,5743871000.00,-85594000.00,-1.47,,,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,5829465000.00,5743871000.00,-85594000.00,-1.47,,,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,4472281300.00,4426306800.00,-45974500.00,-1.03,"Gaji Pokok1 th x 4.426.306.800,00 = 4.426.306.800,00",,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,431207198.00,432166426.00,959228.00,0.22,"Tunjangan Keluarga1 th x 432.166.426,00 = 432.166.426,00",,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,192850000.00,183120000.00,-9730000.00,-5.05,"Tunjangan jabatan1 th x 183.120.000,00 = 183.120.000,00",,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01.04 ,Tunjangan Fungsional ,254704000.00,237936000.00,-16768000.00,-6.58,"Tunjangan Fungsional1 th x 237.936.000,00 = 237.936.000,00",,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,87426000.00,87372000.00,-54.00,-0.06,"Tunjangan Fungsional Umum1 th x 87.372.000,00 = 87.372.000,00",,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,269702720.00,233389060.00,-36313660.00,-13.46,"Tunjangan Beras1 th x 233.389.060,00 = 233.389.060,00",,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,121172560.00,143511436.00,22338876.00,18.44,"Tunjangan PPh/Tunjangan Khusus1 th x 143.511.436,00 = 143.511.436,00",,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,121222.00,69278.00,-51944.00,-42.85,"Pembulatan Gaji1 th x 69.278,00 = 69.278,00",,,,,,,,,,
1.11 . 1.11.01 . 00.00 . 5.1.1.01.09 ,Iuran Asuransi Kesehatan ,0.00,0.00,0.00,0,"Iuran Asuransi Kesehatan1 th x 0,00 = 0,00",,,,,,,,,,
1.11 . 1.11.01 . 01.01 . 5.2 ,BELANJA LANGSUNG ,5075272610.00,5075272610.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,273881700.00,245081700.00,-28800000.00,-10.52,,,,,,,,,,,
1.11 . 1.11.01 . 01.01 ,Penyediaan Jasa Surat Menyurat ,3000000.00,3000000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,3000000.00,3000000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,2580000.00,2580000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya ",2580000.00,2580000.00,0.00,0,"Belanja perangko meterai dan benda pos lainnya
Pembelian materai 6000300 lembar x 6.000,00 = 1.800.000,00
pembelian materai 3000260 lembar x 3.000,00 = 780.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.01 . 5.2.2.03 ,Belanja Jasa Kantor ,420000.00,420000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.01 . 5.2.2.03.07 ,Belanja Paket/Pengiriman ,420000.00,420000.00,0.00,0,"belanja paket/pengiriman
belanja paket pengiriman60 kali x 7.000,00 = 420.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik ",70700000.00,70700000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,70700000.00,70700000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,70700000.00,70700000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,29500000.00,29500000.00,0.00,0,"Belanja jasa telepon
Belanja jasa telepon sekretariat1 ls x 28.300.000,00 = 28.300.000,00
Belanja Jasa telepon sekretariat FPK2PA12 bln x 100.000,00 = 1.200.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.02 . 5.2.2.03.03 ,Belanja Listrik ,41200000.00,41200000.00,0.00,0,"Belanja listrik
Belanja Listrik sekretariat1 ls x 40.000.000,00 = 40.000.000,00
Belanja Listrik sekretariat FPK2PA12 bln x 100.000,00 = 1.200.000,00",,,,,,,,,,
1.11 . 1.11.01 . 01.06 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional ,22500000.00,22500000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 01.06 . 5.2.2 ,Belanja Barang dan Jasa ,22500000.00,22500000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 01.06 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,22500000.00,22500000.00,0.00,0,,,,,,,,,,,
