JUDUL,KANTOR PEMBERDAYAAN MASYARAKAT DAN PEREMPUAN,,
KODE ORGANISASI,1.22.01,,
TAHUN,2015,,
KABUPATEN,KOTA,,
KOLOM,4,,
,,,
KODE REKENING ,URAIAN ,ANGGARAN ,PENJELASAN
1.22.01 ,Kantor Pemberdayaan Masyarakat dan Perempuan ,"7,695,841,882",
1.22.1.22.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,"1,150,708,236",
1.22.1.22.01.000.000.5.1.1 ,BELANJA PEGAWAI ,"1,150,708,236",
1.22.1.22.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,"1,150,708,236",
1.22.1.22.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,"889,063,387",Gaji Pokok PNS/Uang Representasi (DAU) 889063387
1.22.1.22.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,"96,036,606",Tunjangan Keluarga (DAU) 96036606
1.22.1.22.01.000.000.5.1.1.01.03 ,Tunjangan Jabatan Struktural (DAU) ,"45,571,500",Tunjangan Jabatan Struktura  (DAU) 45571500
1.22.1.22.01.000.000.5.1.1.01.05 ,Tunjangan Fungsional Umum (DAU) ,"36,777,000",Tunjangan Fungsional Umum (DAU) 36777000
1.22.1.22.01.000.000.5.1.1.01.06 ,Tunjangan Beras (DAU) ,"63,838,771",Tunjangan Beras (DAU) 63838771
1.22.1.22.01.000.000.5.1.1.01.07 ,Tunjangan  PPh/Tunjangan Khusus (DAU) ,"19,405,235",Tunjangan  PPh/Tunjangan Khusus (DAU) 19405235
1.22.1.22.01.000.000.5.1.1.01.08 ,Pembulatan Gaji (DAU) ,"15,737",Pembulatan Gaji (DAU) 15737
1.22.1.22.01.000.000.5.2 ,BELANJA LANGSUNG ,"6,545,133,646",
1.22.1.22.01.001.000.5.2 ,Program Pelayanan Administrasi Perkantoran ,"333,239,006",
1.22.1.22.01.001.001.5.2 ,Penyediaan jasa surat menyurat ,"3,900,000",
1.22.1.22.01.001.001.5.2.2 ,BELANJA BARANG DAN JASA ,"3,900,000",
1.22.1.22.01.001.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"3,300,000",
1.22.1.22.01.001.001.5.2.2.01.04 ,"Belanja Perangko, Materai, dan Benda Pos ","3,300,000","Belanja Perangko, Materai, dan Benda Pos 3300000"
1.22.1.22.01.001.001.5.2.2.03 ,Belanja Jasa Kantor ,"600,000",
1.22.1.22.01.001.001.5.2.2.03.07 ,Belanja Paket/Pengiriman ,"600,000",Belanja Paket/Pengiriman 600000
1.22.1.22.01.001.006.5.2 ,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasinoal ,"2,085,000",
1.22.1.22.01.001.006.5.2.2 ,BELANJA BARANG DAN JASA ,"2,085,000",
