Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,
Daerah,Kabupaten Bantul,,,
Tahun,2015,,,
Kode Organisasi,1.22.01,,,
Organisasi,Pemberdayaan MAsyarakat,,,
Kolom,4,,,
No. Rekening,Uraian,Jumlah,Keterangan,
1.22 . 1.22.01 . 00 . 00 . 5  , BELANJA  ,9453975600,,
1.22 . 1.22.01 . 00 . 00 . 5 . 1  , BELANJA TIDAK LANGSUNG  ,1767821000,,
1.22 . 1.22.01 . 00 . 00  , Non Kegiatan  ,1767821000, Sumber Dana : ,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1  , Belanja Pegawai  ,1767821000,,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01  , Belanja Gaji dan Tunjangan  ,1767821000,,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01  , Gaji Pokok PNS/Uang Representasi  ,1410115200," Gaji Pokok PNSGaji Pokok1 th x 1.410.115.200,00 = 1.410.115.200,00",
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02  , Tunjangan Keluarga  ,120774654," Tunjangan Keluarga1 th x 120.774.654,00 = 120.774.654,00",
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03  , Tunjangan Jabatan  ,47944000," Tunjangan Jabatan1 th x 47.944.000,00 = 47.944.000,00",
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04  , Tunjangan Fungsional  ,0," Tunjangan Fungsional1 th x 0,00 = 0,00",
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05  , Tunjangan Fungsional Umum  ,66846975," Tunjangan Fungsional Umum1 th x 66.846.975,00 = 66.846.975,00",
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06  , Tunjangan Beras  ,83250180," Tunjangan Beras1 th x 83.250.180,00 = 83.250.180,00",
