Judul,PENJABARAN APenjabaran Anggaran Pendaptan dan Belanja DaerahPBD,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.12.01,,
Organisasi,"Badan Kesejahteraan Keluarga, Pemberdayaan Perempuan dan Keluarga Berencana",,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.12 . 1.12.01 . 00 . 00 . 5,BELANJA,11858809850,
1.12 . 1.12.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,6626989300,
1.12 . 1.12.01 . 00 . 00,Non Kegiatan,6626989300,Sumber Dana : 
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,6626989300,
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01,Belanja Gaji dan Tunjangan,6626989300,
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01,Gaji Pokok PNS/Uang Representasi,5057883720," Gaji Pokok1 th x 5.057.883.720,00 = 5.057.883.720,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02,Tunjangan Keluarga,476519378," Tunjangan Keluarga1 th x 476.519.378,00 = 476.519.378,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03,Tunjangan Jabatan,191709000," Tunjangan Jabatan1 th x 191.709.000,00 = 191.709.000,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04,Tunjangan Fungsional,487950000," Tunjangan Fungsional1 th x 487.950.000,00 = 487.950.000,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05,Tunjangan Fungsional Umum,63189000," Tunjganan Fungsional Umum1 th x 63.189.000,00 = 63.189.000,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06,Tunjangan Beras,250635480," Tunjangan Beras1 th x 250.635.480,00 = 250.635.480,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07,Tunjangan PPh/Tunjangan Khusus,99031011," Tunjjangan PPh/Tunjangan Khusus1 th x 99.031.011,00 = 99.031.011,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08,Pembulatan Gaji,71711," Pembulatan Gaji1 th x 71.711,00 = 71.711,00"
1.12 . 1.12.01 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,5231820550,
1.12 . 1.12.01 . 01,Program Pelayanan Administrasi Perkantoran,217624350,
1.12 . 1.12.01 . 01 . 01,Penyediaan jasa surat menyurat,2390000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Materai dan jasa paket pengiriman
Target : 450 lembar"
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,2390000,
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,2250000,
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",2250000,"APBD Pembelian MeteraiPembelian Meterai 6.000300 lbr x 6.000,00 = 1.800.000,00
Pembelian Meterai 3.000150 lbr x 3.000,00 = 450.000,00"
1.12 . 1.12.01 . 01 . 01 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,140000,
