"Judul","Ringkasan Anggaran Pendapatan dan Belanja Daerah Berdasarkan Rincian Obyek Pendapatan, Belanja, dan Pembiayaan",,,,
"Daerah","Kabupaten Bantul",,,,
"Tahun",2014,,,,
"Kode Organisasi",0,,,,
"Nama Organisasi","Kabupaten Bantul",,,,
"Kolom",4,,,,
"Kode Rekening","Uraian","Sebelum Perubahan","Sesudah Perubahan","Selisih","Prosentase"
4,"PENDAPATAN ","1,68799E+017","1,73325E+017",45261686696,"2.68"
"4 . 1 ","PENDAPATAN ASLI DAERAH ","2,65128E+016","2,88039E+016",22910464378,"8.64"
"4 . 1 . 1 ","Pajak Daerah ",70946200000,77892200000,6946000000,"9.79"
"4 . 1 . 2 ","Retribusi Daerah ",20725748717,26470454741,5744706024,"27.72"
"4 . 1 . 3 ","Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan ",9809855547,12638557151,2828701604,"28.84"
"4 . 1 . 4 ","Lain-lain Pendapatan Asli Daerah yang Sah ","1,63646E+016","1,71038E+016",7391056750,"4.52"
"4 . 2 ","DANA PERIMBANGAN ","1,04247E+017","1,04258E+017",109392318,"0.01"
"4 . 2 . 1 ","Bagi Hasil Pajak/Bagi Hasil Bukan Pajak ",32302650676,32412042994,109392318,"0.34"
"4 . 2 . 2 ","Dana Alokasi Umum ","9,49252E+016","9,49252E+016",0,0
"4 . 2 . 3 ","Dana Alokasi Khusus ",60914370000,60914370000,0,0
"4 . 3 ","LAIN-LAIN PENDAPATAN DAERAH YANG SAH ","3,80388E+016",4026300000000000,22241830000,"5.85"
"4 . 3 . 1 ","Pendapatan Hibah ",0,1877580000,1877580000,0
"4 . 3 . 3 ","Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah Lainnya ",77287001711,83287001711,6000000000,"7.76"
"4 . 3 . 4 ","Dana Penyesuaian dan Otonomi Khusus ","2,71483E+016","2,85847E+016",14364250000,"5.29"
"4 . 3 . 5 ","Bantuan Keuangan Dari Provinsi/Kabupaten/Kota Lainnya ",31617962800,31617962800,0,0
5,"BELANJA ","1,73433E+017","1,90136E+017","1,67029E+016","9.63"
"5 . 1 ","BELANJA TIDAK LANGSUNG ","1,03522E+017","1,1037E+016",68473765530,"6.61"
"5 . 1 . 1 ","Belanja Pegawai ","9,55321E+016","1,0089E+016",53574144338,"5.61"
"5 . 1 . 2 ","Belanja Bunga ",10500000,10500000,0,0
"5 . 1 . 4 ","Belanja Hibah ",5952744000,8952744000,3000000000,"50.4"
"5 . 1 . 5 ","Belanja Bantuan Sosial ",11583475000,12969925000,1386450000,"11.97"
"5 . 1 . 7 ","Belanja Bantuan Keuangan Kepada Provinsi/Kabupaten/Kota dan Pemerintahan Desa ",55239725100,59939587100,4699862000,"8.51"
"5 . 1 . 8 ","Belanja Tidak Terduga ",7115760364,12929069556,5813309192,"81.7"
"5 . 2 ","BELANJA LANGSUNG ","6,99104E+016","7,97659E+016",98554954012,"14.1"
"5 . 2 . 1 ","Belanja Pegawai ","1,23625E+016","1,19077E+016",-4548475451,"-3.68"
"5 . 2 . 2 ","Belanja Barang dan Jasa ","2,85591E+016","3,48816E+016",63225093823,"22.14"
"5 . 2 . 3 ","Belanja Modal ","2,89888E+016","3,29766E+016",39878335640,"13.76"
,"SURPLUS / (DEFISIT) ",-46341649168,"-1,68109E+016","-1,21767E+016","262.76"
6,"PEMBIAYAAN DAERAH",46341649168,"1,68109E+016","1,21767E+016","262.76"
"6 . 1 ","PENERIMAAN PEMBIAYAAN DAERAH ",88690880168,"2,11629E+016","1,22938E+016","138.61"
"6 . 1 . 1 ","Sisa Lebih Perhitungan Anggaran Tahun Anggaran Sebelumnya ",81456880168,"2,04395E+016","1,22938E+016","150.92"
"6 . 1 . 6 ","Penerimaan Kembali Investasi Dana Bergulir ",7234000000,7234000000,0,0
"6 . 2 ","PENGELUARAN PEMBIAYAAN DAERAH ",42349231000,43520281000,1171050000,"2.77"
"6 . 2 . 2 ","Penyertaan Modal (Investasi) Pemerintah Daerah ",35000000000,35000000000,0,0
"6 . 2 . 3 ","Pembayaran Pokok Utang ",115231000,115281000,50000,"0.04"
"6 . 2 . 4 ","Dana Bergulir ",7234000000,8405000000,1171000000,"16.19"
,"PEMBIAYAAN NETTO ",46341649168,"1,68109E+016","1,21767E+016","262.76"
