Judul,"Ringkasan Anggaran Pendapatan dan Belanja Daerah Berdasarkan Rincian Obyek Pendapatan, Belanja, dan Pembiayaan",,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,0,,
Nama Organisasi,Kabupaten Bantul,,
Kolom,4,,
NO URUT,URAIAN,JUMLAH,DASAR HUKUM
4,PENDAPATAN,1857098630926.18,
4 . 1,PENDAPATAN ASLI DAERAH,312419913746.54,
4 . 1 . 1,Pendapatan Pajak Daerah,85000100000.00,
4 . 1 . 1 . 01,Pajak Hotel,1001000000.00,
4 . 1 . 1 . 01 . 03,Hotel Bintang Empat,588400000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 01 . 07,Hotel Melati Tiga,412600000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 02,Pajak Restoran,3027200000.00,
4 . 1 . 1 . 02 . 01,Restoran,1500165000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 02 . 02,Rumah Makan,44457000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 02 . 05,Katering,1472178000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 02 . 06,Warung,10400000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 03,Pajak Hiburan,484000000.00,
4 . 1 . 1 . 03 . 05,Pameran,292215000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 03 . 15,Permainan Ketangkasan,159500000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 03 . 16,Panti Pijat/Refleksi,1650000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 03 . 19,Pajak HIburan / Pertandingan Olahraga,30635000.00,Perda Kab. Bantul No. 08 Tahun 2010
4 . 1 . 1 . 04,Pajak Reklame,2310000000.00,
