Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Bantul,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.01.01,,,,,
Organisasi,Pendidikan Menengah dan Formal,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.01 . 1.01.01 . 00.00 . 5 ,BELANJA ,5.35993E+11,5.74067E+11,38073548660,7.1,
1.01 . 1.01.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,4.84643E+11,5.09078E+11,24435180206,5.04,
1.01 . 1.01.01 . 00.00 ,Non Kegiatan ,4.84643E+11,5.09078E+11,24435180206,5.04,Sumber Dana : 
1.01 . 1.01.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,4.84643E+11,5.09078E+11,24435180206,5.04,
1.01 . 1.01.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,3.0933E+11,2.99453E+11,-9876740640,-3.19,
1.01 . 1.01.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,2.42893E+11,2.35469E+11,-7423432372,-3.06,"Gaji Pokok1 th x 235.469.466.468,00 = 235.469.466.468,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,20961327928,20303464577,-657863351,-3.14,"Tunjangan Keluarga1 th x 20.303.464.577,00 = 20.303.464.577,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,340378000,333985000,-6393000,-1.88,"Tunjangan jabatan1 th x 333.985.000,00 = 333.985.000,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.01.04 ,Tunjangan Fungsional ,24927298000,23834214500,-1093083500,-4.39,"Tunjangan Fungsional1 th x 23.834.214.500,00 = 23.834.214.500,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,917409000,847259000,-70150000,-7.65,"Tunjangan Fungsional Umum1 th x 847.259.000,00 = 847.259.000,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,12658845880,10825557990,-1833287890,-14.48,"Tunjangan Beras1 th x 10.825.557.990,00 = 10.825.557.990,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,6628245294,7835804687,1207559393,18.22,"Tunjangan PPh/Tunjangan Khusus1 th x 7.835.804.687,00 = 7.835.804.687,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,3509090,3419170,-89920,-2.56,"Pembulatan Gaji1 th x 3.419.170,00 = 3.419.170,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.01.09 ,Iuran Asuransi Kesehatan ,0,0,0,0,"Iuran Asuransi Kesehatan1 th x 0,00 = 0,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.07 ,Tambahan Penghasilan Guru ,1.75313E+11,2.09625E+11,34311920846,19.57,
1.01 . 1.01.01 . 00.00 . 5.1.1.07.01 ,Tunjangan Profesi Guru ,1.7183E+11,2.07865E+11,36034776846,20.97,"Tunjangan Profesi Guru1 th x 207.864.776.846,00 = 207.864.776.846,00"
1.01 . 1.01.01 . 00.00 . 5.1.1.07.02 ,Tambahan Penghasilan Guru ,3482939000,1760083000,-1722856000,-49.47,"Tambahan Penghasilan Guru1 th x 1.760.083.000,00 = 1.760.083.000,00"
1.01 . 1.01.01 . 01.01 . 5.2 ,BELANJA LANGSUNG ,51350430512,64988798966,13638368454,26.56,
1.01 . 1.01.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,659035000,802225000,143190000,21.73,
1.01 . 1.01.01 . 01.01 ,Pelayanan Jasa Surat Menyurat ,4000000,4000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : bantul"
1.01 . 1.01.01 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,4000000,4000000,0,0,
1.01 . 1.01.01 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,4000000,4000000,0,0,
1.01 . 1.01.01 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya ",4000000,4000000,0,0,"Belanja Perangko, Materai dan Benda Pos Lainnya
Belanja Perangko, Materai, dan Benda POs Lainnya1 tahun x 4.000.000,00 = 4.000.000,00"
1.01 . 1.01.01 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",80600000,71250000,-9350000,-11.6,"Sumber Dana :
 Lokasi Kegiatan : bantul"
1.01 . 1.01.01 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,80600000,71250000,-9350000,-11.6,
1.01 . 1.01.01 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,80600000,71250000,-9350000,-11.6,
1.01 . 1.01.01 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,50500000,48400000,-2100000,-4.16,"Dinas
Belanja Telepon Dinas3 Telepon x 4.800.000,00 = 14.400.000,00
UPTD PPDTelepon UPTD17 UPTD x 2.000.000,00 = 34.000.000,00"
1.01 . 1.01.01 . 01.02 . 5.2.2.03.02 ,Belanja Air ,4600000,1600000,-3000000,-65.22,"Belanja Air
Belanja air UPTD1 Tahun x 1.600.000,00 = 1.600.000,00"
