Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,,
Daerah,Kabupaten Bantul,,,,
Tahun,2015,,,,
Kode Organisasi,1.21.01,,,,
Organisasi,Badan Ketahanan Pangan,,,,
Kolom,4,,,,
No. Rekening,Uraian,Jumlah,Keterangan,,
1.21 . 1.21.01 . 00 . 00 . 5 , BELANJA ,10795210000,,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 , BELANJA TIDAK LANGSUNG ,7388660000,,,
1.21 . 1.21.01 . 00 . 00 , Non Kegiatan ,7388660000, Sumber Dana : ,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 , Belanja Pegawai ,7388660000,,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 , Belanja Gaji dan Tunjangan ,7388660000,,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 , Gaji Pokok PNS/Uang Representasi ,5467096700," Gaji Pokok PNSGaji Pokok1 th x 5.467.096.700,00 = 5.467.096.700,00",,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 , Tunjangan Keluarga ,468976612," Tunjangan Keluarga1 th x 468.976.612,00 = 468.976.612,00",,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 , Tunjangan Jabatan ,127881000," Tunjangan Jabatan1 th x 127.881.000,00 = 127.881.000,00",,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 , Tunjangan Fungsional ,810550000," Tunjangan Fungsional1 th x 810.550.000,00 = 810.550.000,00",,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 , Tunjangan Fungsional Umum ,59211425," Tunjangan Fungsional Umum1 th x 59.211.425,00 = 59.211.425,00",,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 , Tunjangan Beras ,252525000," Tunjangan Beras1 th x 252.525.000,00 = 252.525.000,00",,
