Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Humas,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,6500000,
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,6500000,
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2 . 03 . 01,Belanja Telepon,6500000,"APBD  
 Belanja Telpon1 TH x 6.500.000,00 = 6.500.000,00"
1.20 . 1.20.03 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,1500000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :   Tercapainya permeliharaan 7 sepeda motor dan 1 unit mobil
Target     :  100 %"
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,1500000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,1500000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 . 05,Belanja Pajak Kendaraan Bermotor,1500000,"APBD  
 Belanja STNK
Perpanjangan STNK Roda 41 unit/thn x 600.000,00 = 600.000,00
Benja STNK Roda 26 UNIT/THN x 150.000,00 = 900.000,00"
1.20 . 1.20.03 . 01 . 07,Penyediaan jasa administrasi keuangan,12070000,"Sumber Dana : APBD
Lokasi Kegiatan : BANTUL
Keluaran :  Terlaksananya adm keuangan kantor
Target     :  100 PERSEN"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1,Belanja Pegawai,10680000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,10680000,
