Judul,IDEA,,,,,,,,,,,,,,
Daerah,IDEA,,,,,,,,,,,,,,
Tahun,2015,,,,,,,,,,,,,,
Kode Organisasi,1.13,,,,,,,,,,,,,,
Kolom,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
No. Rekening,Uraian,Jumlah,Keterangan,,,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 ,BELANJA ,8123301550,,,,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,2338926000,,,,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 ,Non Kegiatan ,2338926000,Sumber Dana : ,,,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,2338926000,,,,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,2338926000,,,,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,1797318900,Gaji Pokok PNS,,,,,,,,,,,,
,,,Gaji Pokok,,,,,,,,,,,,
,,,1 th x 1.797.318.900,00 = 1.797.318.900,0,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,162828770,Tunjangan Keluarga,,,,,,,,,,,,
,,,1 th x 162.828.770,00 = 162.828.770,0,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,161499000,Tunjangan Jabatan,,,,,,,,,,,,
,,,1 th x 161.499.000,00 = 161.499.000,0,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,0,Tunjangan Fungsional,,,,,,,,,,,,
,,,1 th x 0,00 = 0,0,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,57587075,Tunjangan Fungsional Umum,,,,,,,,,,,,
,,,1 th x 57.587.075,00 = 57.587.075,0,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,105377220,Tunjangan Beras,,,,,,,,,,,,
,,,1 th x 105.377.220,00 = 105.377.220,0,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,54288100,Tunjangan PPh/Tunjangan Khusus,,,,,,,,,,,,
,,,1 th x 54.288.100,00 = 54.288.100,0,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,26935,Pembulatan Gaji,,,,,,,,,,,,
,,,1 th x 26.935,00 = 26.935,0,,,,,,,,,,
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 09 ,Iuran Asuransi Kesehatan ,0,Iuran Asuransi Kesehatan,,,,,,,,,,,,
,,,Iurang Asuransi Kesehatan BPJS,,,,,,,,,,,,
,,,1 th x 0,00 = 0,0,,,,,,,,,,
,,,Iuran Asuransi Jaminan Kecelakaan Kerja BPJS,,,,,,,,,,,,
,,,1 th x 0,00 = 0,0,,,,,,,,,,
