Judul,APBD Kab Bantul 2015,,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,Dinas Sosial,,
Organisasi,1.12.01,,
Kolom,4,,
,,,
,,,
,,,
No. Rekening,Uraian,Jumlah,Keterangan
1.13 . 1.13.01 . 00 . 00 . 5 ,BELANJA ,"8,123,301,550",
1.13 . 1.13.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,"2,338,926,000",
1.13 . 1.13.01 . 00 . 00 ,Non Kegiatan ,"2,338,926,000",Sumber Dana : 
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,"2,338,926,000",
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,"2,338,926,000",
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,"1,797,318,900","Gaji Pokok PNSGaji Pokok1 th x 1.797.318.900,00 = 1.797.318.900,00"
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,"162,828,770","Tunjangan Keluarga1 th x 162.828.770,00 = 162.828.770,00"
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,"161,499,000","Tunjangan Jabatan1 th x 161.499.000,00 = 161.499.000,00"
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,0,"Tunjangan Fungsional1 th x 0,00 = 0,00"
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,"57,587,075","Tunjangan Fungsional Umum1 th x 57.587.075,00 = 57.587.075,00"
1.13 . 1.13.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,"105,377,220","Tunjangan Beras1 th x 105.377.220,00 = 105.377.220,00"
