Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,,,,,,,,,,,
Daerah,Kabupaten Gunungkidul,,,,,,,,,,,,,,,,
tahun ,2016,,,,,,,,,,,,,,,,
Kode Organisasi,2.01,,,,,,,,,,,,,,,,
Nama Organisasi,Dinas Tanaman Pangan dan Holtikultural,,,,,,,,,,,,,,,,
Kolom,4,,,,,,,,,,,,,,,,
Kode Rekening,URAIAN,jumlah,Penjelasan,,,,,,,,,,,,,,
2.01.2.01.01.00.00.4. ,PENDAPATAN ,63000000,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.8. ,PENDAPATAN - LO ,63000000,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.4.1. ,PENDAPATAN ASLI DAERAH ,63000000,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.4.1.2. ,HASIL RETRIBUSI DAERAH ,63000000,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.4.1.2.02. ,Retribusi Jasa Usaha ,63000000,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.4.1.2.02.06. ,Retribusi Penjualan Produksi Usaha Daerah ,63000000,Dasar Hukum: Berdasarkan Perda No 17 Tahun 2011 LD Tahun 2011 No 8 Seri C.tentang Retribusi  Penjualan Produksi Usaha Daerah Penjualan hasil usaha UPT Perbenihan 63000000.00 Pendapatan dari penanaman kebun Karangmojo (2 kali musim tanam) 19580000.00 Hasil pembelian calon benih (10000 kg) 39000000.00 Pendapatan sewa kebun (Siraman. Karangrejek. Baleharjo) 4420000.00 ,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5. ,BELANJA DAERAH ,9888581123.14,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.9. ,BEBAN ,9888581123.14,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,3651675923.14,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1. ,BELANJA PEGAWAI ,3651675923.14,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,3648525923.14,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.01.001. ,Gaji Pokok/Uang Representasi ,2827122908.4, Gaji Pokok 2827122908.40 Golongan I : 2 orang 56262880.80 Golongan II : 12 orang 458956234.80 Golongan III: 36 orang 1799381354.40 Golongan IV : 9 orang 512522438.40,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.01.002. ,Tunjangan Keluarga ,277402228.74, Tunjangan Keluarga 277402228.74 Tunjangan istri/suami : 46 orang 218279218.50 Tunjangan anak : 62 orang 59123010.24,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.01.003. ,Tunjangan Jabatan ,1984500, Tunjangan Jabatan 198450000.00 Tunjangan struktural 198450000.00 Eselon IIb : 1 orang 28350000.00 Eselon IIIa : 1 orang 17640000.00 Eselon IIIb : 4 orang 54880000.00 Eselon IVa : 12 orang 90720000.00 Eselon IVb : 1 orang 6860000.00,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.01.004. ,Tunjangan Fungsional ,9100000, Tunjangan Fungsional 9100000.00 Tunjangan fungsional : 1 orang 9100000.00,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.01.005. ,Tunjangan Fungsional Umum ,99890000, Tunjangan umum 99890000.00 Golongan I : 2 orang 4900000.00 Golongan II : 12 orang 30240000.00 Golongan III : 25 orang 64750000.00,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.01.006. ,Tunjangan Beras ,169317960, Tunjangan beras 169317960.00 Tunjangan beras 169317960.00,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.01.007. ,Tunjangan PPh/Tunjangan Khusus ,67200560, Tunjangan PPh/Tunjangan Khusus 67200560.00 Tunjangan Khusus 67200560.00,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.01.008. ,Pembulatan Gaji ,42266, Pembulatan Gaji 42266.00 Pembulatan Gaji 42266.00,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.06. ,Insentif Pemungutan Retribusi Daerah ,3150000,,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.1.1.06.001. ,Insentif  Pemungutan Retribusi Daerah ,3150000, Insentif Pemungutan Retribusi Daerah 3150000.00 Insentif Pemungutan Retribusi Daerah 3150000.00,,,,,,,,,,,,,,
2.01.2.01.01.00.00.5.2. ,BELANJA LANGSUNG ,6236905200,,,,,,,,,,,,,,,
2.01.2.01.01.01. ,PROGRAM PELAYANAN ADMINISTRASI ,241160000, PERKANTORAN,,,,,,,,,,,,,,
2.01.2.01.01.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,1000000,Lokasi Kegiatan: -,,,,,,,,,,,,,,
2.01.2.01.01.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,1000000,,,,,,,,,,,,,,,
2.01.2.01.01.01.01.5.2.2.03. ,Belanja Jasa Kantor ,1000000,,,,,,,,,,,,,,,
2.01.2.01.01.01.01.5.2.2.03.007. ,Belanja paket/pengiriman ,1000000, Belanja jasa pengiriman surat 1000000.00,,,,,,,,,,,,,,
2.01.2.01.01.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER DAYA ,36000000,Lokasi Kegiatan: - AIR DAN LISTRIK,,,,,,,,,,,,,,
2.01.2.01.01.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,36000000,,,,,,,,,,,,,,,
2.01.2.01.01.01.02.5.2.2.03. ,Belanja Jasa Kantor ,36000000,,,,,,,,,,,,,,,
2.01.2.01.01.01.02.5.2.2.03.001. ,Belanja telephon/kawat/faximile/internet ,16000000, Belanja telepon (3 rek x 12 bulan) 10000000.00 Belanja internet 6000000.00,,,,,,,,,,,,,,
2.01.2.01.01.01.02.5.2.2.03.002. ,Belanja air ,5000000, Belanja air Dinas dan Kebun Dinas (2 rek x 12 bulan) 5000000.00,,,,,,,,,,,,,,
2.01.2.01.01.01.02.5.2.2.03.003. ,Belanja listrik ,15000000, Belanja listrik gedung Dinas dan kebun Dinas (3 rek x 12 bulan) 15000000.00,,,,,,,,,,,,,,
2.01.2.01.01.01.04. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,15000000,Lokasi Kegiatan: - PERIZINAN KENDARAAN DINAS/OPERASIONAL,,,,,,,,,,,,,,
2.01.2.01.01.01.04.5.2.2. ,BELANJA BARANG DAN JASA ,15000000,,,,,,,,,,,,,,,
2.01.2.01.01.01.04.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,15000000,,,,,,,,,,,,,,,
2.01.2.01.01.01.04.5.2.2.05.005. ,Belanja Surat Tanda Nomor Kendaraan ,15000000, Biaya pengurusan surat-surat kendaraan 15000000.00,,,,,,,,,,,,,,
2.01.2.01.01.01.07. ,PENYEDIAAN JASA PERBAIKAN PERALATAN KERJA ,10000000,Lokasi Kegiatan: -,,,,,,,,,,,,,,
2.01.2.01.01.01.07.5.2.2. ,BELANJA BARANG DAN JASA ,10000000,,,,,,,,,,,,,,,
2.01.2.01.01.01.07.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,10000000, kantor,,,,,,,,,,,,,,
2.01.2.01.01.01.07.5.2.2.18.001. ,Belanja pemeliharaan perlatan kantor ,10000000, Belanja pemeliharaan peralatan kantor 10000000.00 Pemeliharaan komputer 3400000.00 Pemeliharaan printer 4000000.00 pemeliharaan mesin ketik 600000.00 Pemeliharaan AC 2000000.00,,,,,,,,,,,,,,
2.01.2.01.01.01.08. ,PENYEDIAAN ALAT TULIS KANTOR ,5000000,Lokasi Kegiatan: -,,,,,,,,,,,,,,
2.01.2.01.01.01.08.5.2.2. ,BELANJA BARANG DAN JASA ,5000000,,,,,,,,,,,,,,,
2.01.2.01.01.01.08.5.2.2.01. ,Belanja Bahan Pakai Habis ,5000000,,,,,,,,,,,,,,,
2.01.2.01.01.01.08.5.2.2.01.001. ,Belanja alat tulis kantor ,5000000, Pembelian alat tulis kantor dan refill printer (kertas. tinta. map. bolpoin. odner. 5000000.00 stapler. karbon. spring file. dll),,,,,,,,,,,,,,
2.01.2.01.01.01.09. ,PENYEDIAAN BARANG CETAKAN DAN ,8280000,Lokasi Kegiatan: - PENGGANDAAN,,,,,,,,,,,,,,
2.01.2.01.01.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,8280000,,,,,,,,,,,,,,,
2.01.2.01.01.01.09.5.2.2.06. ,Belanja Cetak dan Penggandaan ,8280000,,,,,,,,,,,,,,,
