Judul ,Anggaran Pendapatan dan Belanja Daerah,,,,
Daerah,Kabupaten Gunungkidul,,,,
tahun ,2014,,,,
Kode Organisasi,1.02,,,,
Nama Organisasi,Dinas Kesehatan,,,,
Kolom,4,,,,
Nomer Rekening,Uraian, Jumlah,Keterangan,,
1.02.1.02.01.00.00.4. ,PENDAPATAN ,1304217130000,,,
1.02.1.02.01.00.00.4.1. ,PENDAPATAN ASLI DAERAH ,1304217130000,,,
1.02.1.02.01.00.00.4.1.2. ,HASIL RETRIBUSI DAERAH ,799080175000,,,
1.02.1.02.01.00.00.4.1.2.01. ,Retribusi Jasa Umum ,798190175000,,,
1.02.1.02.01.00.00.4.1.2.01.01. ,Retribusi Pelayanan Kesehatan ,798190175000,Retribusi Pelayanan Kesehatan 7981901750.00 Rawat Inap 518823750.00 Rawat Jalan 4210498000.00 UGD 251390000.00 PHN 7981000.00 Tindakan medis 1779963000.00 Pelayanan Penunjang Medis 582678000.00 Pelayanan Non medik 111746000.00 Ambulance 23945000.00 Askes 494877000.00 (Berdasarkan Perda No 16 Tahun 2011 LD Tahun 2011 No 7 Seri C. tentang Retribusi Pelayanan Kesehatan pada unit Pelaksana Teknis Pusat Kesehatan Masyarakat),,
1.02.1.02.01.00.00.4.1.2.02. ,Retribusi Jasa Usaha ,890000000,,,
1.02.1.02.01.00.00.4.1.2.02.01. ,Retribusi Pemakaian Kekayaan Daerah ,890000000,Retribusi Pemakaian Kekayaan Daerah 8900000.00 Retribusi pemakaian alat laborat 8900000.00 Retribusi pemakaian alat laborat 8900000.00 (Berdasarkan Perda No 9 Tahun 2011 LD Tahun 2011 No 3 Seri C. tentang Retribusi Pemakaian Kekayaan Daerah) (Berdasarkan Perda No 9 Tahun 2011 LD Tahun 2011 No 3 Seri C. tentang Retribusi Pemakaian Kekayaan Daerah),,
1.02.1.02.01.00.00.4.1.4. ,LAIN-LAIN PENDAPATAN ASLI DAERAH YANG ,505136955000, SAH,,
1.02.1.02.01.00.00.4.1.4.18. ,Pendapatan BLUD ,505136955000,,,
1.02.1.02.01.00.00.4.1.4.18.02. ,Pendapatan BLUD Pusekesmas ,505136955000,Pendapatan BLUD Pusekesmas 5051369550.00 Pendapatan BLUD Puskesmas 5051369550.00 (Berdasarkan Peraturan Bupati No 46 Tahun 2013. tentang Petunjuk Teknis Pengelolaan Keuangan BLUD pada UPT Puskesmas) JUMLAH PENDAPATAN  13.042.171.300.00  ,,
1.02.1.02.01.00.00.5. ,BELANJA DAERAH ,87847127321.84,,,
1.02.1.02.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,49499523103.84,,,
1.02.1.02.01.00.00.5.1.1. ,BELANJA PEGAWAI ,49499523103.84,,,
1.02.1.02.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,48847414603.84,,,
1.02.1.02.01.00.00.5.1.1.01.01. ,Gaji Pokok ,38094430140,Gaji Pokok 38094430140.00 Golongan I = 28 orang 657253116.00 Golongan II =270 orang 8426834676.00 Golongan III = 670 orang 28054927368.00 Golongan IV = 18 orang 955414980.00,,
1.02.1.02.01.00.00.5.1.1.01.02. ,Tunjangan Keluarga ,,Tunjangan Keluarga 3464109333.36 Istri/Suami= 685 orang 2651429008.80 Tunjangan anak = 1034 anak 812680324.56,,
1.02.1.02.01.00.00.5.1.1.01.03. ,Tunjangan Jabatan ,,Tunjangan Jabatan 576225000.00 Tunjangan structural Gol I.II.III.IV 576225000.00,,
1.02.1.02.01.00.00.5.1.1.01.04. ,Tunjangan Fungsional ,,Tunjangan Fungsional 2787005000.00 Tunjangan fungsional untuk Gol I.II.III.IV 2787005000.00,,
1.02.1.02.01.00.00.5.1.1.01.05. ,Tunjangan Fungsional Umum ,,Tunjangan Fungsional Umum 828295000.00 Tunjangan fungsional umum Gol III.II.I 828295000.00,,
1.02.1.02.01.00.00.5.1.1.01.06. ,Tunjangan Beras ,,Tunjangan Beras 2454924160.00 Tunjangan beras 2707jiwa 2454924160.00,,
1.02.1.02.01.00.00.5.1.1.01.07. ,Tunjangan PPh/Tunjangan Khusus ,,Tunjangan PPh/Tunjangan Khusus 641855643.00 Tunjangan PPH 641855643.00,,
1.02.1.02.01.00.00.5.1.1.01.08. ,Pembulatan Gaji ,,Pembulatan Gaji 570327.48 Tunjangan pembulatan 570327.48,,
1.02.1.02.01.00.00.5.1.1.06. ,Insentif Pemungutan Retribusi Daerah ,65210850000,,,
1.02.1.02.01.00.00.5.1.1.06.01. ,Insentif  Pemungutan Retribusi Daerah ,65210850000,Insentif Pemungutan Retribusi Daerah 652108500.00 ,,
1.02.1.02.01.00.00.5.2. ,BELANJA LANGSUNG ,3834760421800,,,
1.02.1.02.01.01. ,PROGRAM PELAYANAN ADMINISTRASI ,318120300000, PERKANTORAN,,
1.02.1.02.01.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,2505100000,,,
1.02.1.02.01.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,2505100000,,,
1.02.1.02.01.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,2505100000,,,
1.02.1.02.01.01.01.5.2.2.01.04. ,Belanja perangko. meterai. dan benda pos lainnya ,2505100000,Belanja perangko. meterai. dan benda pos lainnya 25051000.00 DINAS KESEHATAN 5400000.00 Belanja materai 5000000.00 belanja materai upt labkes 400000.00 PUSKESMAS NGLIPAR I 1000000.00 Belanja materai 100 x 6000 belanja meterai 100 x 3000 belanja perangko 50 x 2000 (sumber Dana DAU) 1000000 PUSKESMAS NGLIPAR II 600000.00 Belanja perangko materai 600000.00 PUSKESMAS GEDANGSARI I 600000.00 Belanja materai 600000.00 PUSKESMAS GEDANGSARI II 435000.00 belanja materai. dan benda pos lainnya 435000.00 PUSKESMAS PATUK I 900000.00 Belanj Metere 900000.00 PUSKESMAS PATUK II 600000.00 Belanja Meterai 600000.00 PUSKESMAS RONGKOP 690000.00 Belanja materei 690000.00 PUSKESMAS GIRISUBO 585000.00 Belanja perangko materai 585000.00 PUSKESMAS PONJONG I 1000000.00 belanja perangko meterai dan benda pos lainnya 100000000 PUSKESMAS PONJONG II 60000000 Belanja perangko materai dan benda pos lainnya 60000000 PUSKESMAS WONOSARI I 63000000 Belanja  Perangko dan Materai 63000000 PUSKESMAS WONOSARI II 63000000 Belanja materai dan benda pos lainnya 63000000 PUSKESMAS KARANGMOJO I 40000000 Belanja materai 40000000 PUSKESMAS KARANGMOJO II 60000000 Belanja materei 60000000 PUSKESMAS PANGGANG I 60000000 belanja metarai perangko dan benda pos lainnya 60000000 PUSKESMAS PANGGANG II 60000000 Belanja materai 60000000 PUSKESMAS PURWOSARI 48000000 Belanja perangko materai dan bendapos lainnya 48000000 PUSKESMAS TEPUS I 66000000 Belanja perangko meterai dan benda pos lainnya 66000000 PUSKESMAS TEPUS II 75000000 Belanja materai 75000000 PUSKESMAS TANJUNGSARI 79200000 Belanja Materai 79200000 PUSKESMAS PALIYAN 90000000 Belanja perangko meterai dan benda pos lainnya 90000000 PUSKESMAS SAPTOSARI 66600000 Belanja meterai 66600000 PUSKESMAS NGAWEN I 60000000 belanja materai 60000000 PUSKESMAS NGAWEN II 58500000  Belanja Perangko Metrei dan benda Pos lainnya 585000.00 PUSKESMAS SEMANU I 600000.00 Belanja prangko meterai dan benda [pos lainnya 600000.00 PUSKESMAS SEMANU II 550000.00 Belanja prangko materai dan benda pos 550000.00 PUSKESMAS SEMIN I 828000.00 Belanja materai 828000.00 PUSKESMAS SEMIN II 600000.00 Belanja. perangko. meterai. dan benda pos lainnya 600000.00 PUSKESMAS PLAYEN I 640000.00 Belanja perangko meterai dan benda pos lainnya 640000.00 PUSKESMAS PLAYEN II 530000.00 Belanja perangko. materai dan benda pos lainnya 530000.00,,
1.02.1.02.01.01.02. ,PENYEDIAAN JASA KOMUNIKASI.SUMBER ,51298500000, DAYA AIR DAN LISTRIK,,
1.02.1.02.01.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,51298500000,,,
1.02.1.02.01.01.02.5.2.2.03. ,Belanja Jasa Kantor ,51298500000,,,
