Judul,Penjabaran Anggaran Pendapatan Belanja Daerah,,,,,,,,,
Daerah,Kabupaten Gunungkidul,,,,,,,,,
tahun ,2015,,,,,,,,,
Kode Organisasi,1.01,,,,,,,,,
Nama Organisasi,Dinas Pendidikan Pemuda dan Olahraga,,,,,,,,,
Kolom,4,,,,,,,,,
Kode Rekening,Uraian,jumlah,Penjelasan,,,,,,,
1.01.1.01.01.00.00.4. ,PENDAPATAN,,,,,,,,,
1.01.1.01.01.00.00.5. ,BELANJA DAERAH ,817984536030.78,,,,,,,,
1.01.1.01.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,693711649730.78,,,,,,,,
1.01.1.01.01.00.00.5.1.1. ,BELANJA PEGAWAI ,693711649730.78,,,,,,,,
1.01.1.01.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,693531649730.78,,,,,,,,
1.01.1.01.01.00.00.5.1.1.01.001. ,Gaji Pokok ,334569141088.95, DINAS PENDIDIKAN. PEMUDA. DAN OLAHRAGA 334569141088.95 Golongan I 5559775974.51 Golongan II 54897575083.60 Golongan III 87772651421.15 Golongan IV 186339138609.69,,,,,,,
1.01.1.01.01.00.00.5.1.1.01.002. ,Tunjangan Keluarga ,32843110624.33, DINAS PENDIDIKAN. PEMUDA DAN OLAHRAGA 32843110624.33 Istri / Suami 25439822893.50 Anak 7403287730.83,,,,,,,
1.01.1.01.01.00.00.5.1.1.01.003. ,Tunjangan Jabatan ,1178250000, DINAS PENDIDIKAN. PEMUDA. DAN OLAHRAGA 1178250000.00 Eselon IIb 50625000.00 Eselon IIIa 47250000.00 Eselon IIIb 49000000.00 Eselon IVa 553500000.00 Eselon IVb 189875000.00 Eselon Va 288000000.00,,,,,,,
1.01.1.01.01.00.00.5.1.1.01.004. ,Tunjangan Fungsional ,297263608525, DINAS PENDIDIKAN. PEMUDA. DAN OLAHRAGA 297263608525.00 Tunjangan Fungsional 31431010525.00 Sertifikasi 263258598000.00 Tunjangan penghasilan bagi guru PNSD 2574000000.00,,,,,,,
1.01.1.01.01.00.00.5.1.1.01.005. ,Tunjangan Fungsional Umum ,1938500000, DINAS PENDIDIKAN. PEMUDA. DAN OLAHRAGA 1938500000.00 Golongan I 422187500.00 Golongan II 1187812500.00 Golongan III 323750000.00 Golongan IV 4750000.00,,,,,,,
1.01.1.01.01.00.00.5.1.1.01.006. ,Tunjangan Beras ,18594161760, DINAS PENDIDIKAN. PEMUDA. DAN OLAHRAGA 18594161760.00 Tunjangan Beras 18594161760.00,,,,,,,
1.01.1.01.01.00.00.5.1.1.01.007. ,Tunjangan PPh/Tunjanga  Khusus ,7139960625, DINAS PENDIDIKAN. PEMUDA. DAN OLAHRAGA 7139960625.00 Tunjangan PPh 7139960625.00,,,,,,,
1.01.1.01.01.00.00.5.1.1.01.008. ,Pembulatan Gaji ,4917107.5, DINAS PENDIDIKAN. PEMUDA. DAN OLAHRAGA 4917107.50 Tunjangan Pembulatan 4917107.50,,,,,,,
1.01.1.01.01.00.00.5.1.1.02. ,Tambahan Penghasilan PNS ,180000000,,,,,,,,
1.01.1.01.01.00.00.5.1.1.02.002. ,Tambahan Penghasilan berdasarkan tempat tugas ,180000000, DINAS PENDIDIKAN. PEMUDA. DAN OLAHRAGA 180000000.00 Tambahan Penghasilan Guru Daerah Sulit SD 180000000.00,,,,,,,
1.01.1.01.01.00.00.5.2. ,BELANJA LANGSUNG ,124272886300,,,,,,,,
1.01.1.01.01.01. ,PROGRAM PELAYANAN ADMINISTRASI ,17045511835, PERKANTORAN,,,,,,,
1.01.1.01.01.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,118579000,Lokasi Kegiatan: Wonosari Sumber Dana: PAD.DAU.,,,,,,,
1.01.1.01.01.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,118579000,,,,,,,,
1.01.1.01.01.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,118007000,,,,,,,,
