Judul ,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Gunungkidul,,
tahun ,2015,,
Kode Organisasi,1.13,,
Nama Organisasi,Dinas Sosial Tenaga Kerja dan transmigrasi,,
Kolom,4,,
Kode Rekening,Uraian,jumlah,Penjelasan
1.13.1.13.01.00.00.4. ,PENDAPATAN,,
1.13.1.13.01.00.00.5. ,BELANJA DAERAH ,14935197614.66,
1.13.1.13.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,4977493114.66,
1.13.1.13.01.00.00.5.1.1. ,BELANJA PEGAWAI ,4977493114.66,
1.13.1.13.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,4977493114.66,
1.13.1.13.01.00.00.5.1.1.01.001. ,Gaji Pokok ,3968135927.34, Golongan I = 2 orang 50032607.82 Golongan II =12 orang 385477146.60 Golongan III = 43 orang 2748193832.28 Golongan IV = 15 orang 784432340.64
1.13.1.13.01.00.00.5.1.1.01.002. ,Tunjangan Keluarga ,352469458.32, Isteri/Suami = 64 orang 274638641.00 Anak = 93 orang 77830817.31
1.13.1.13.01.00.00.5.1.1.01.003. ,Tunjangan Jabatan ,198315000, Eselon IIb = 1 orang 26325000.00 Eselon IIIa = 1 orang 16380000.00 Eselon IIIb = 4 orang 50960000.00 Eselon IVa = 14 orang 98280000.00 Eselon IVb = 1 orang 6370000.00
1.13.1.13.01.00.00.5.1.1.01.004. ,Tunjangan Fungsional ,45240000, 19 orang 45240000.00
1.13.1.13.01.00.00.5.1.1.01.005. ,Tunjangan Fungsional Umum ,78325000, Golongan I = 2 orang 4550000.00 Golongan II = 12 orang 28080000.00 Golongan III = 18 orang 45695000.00
1.13.1.13.01.00.00.5.1.1.01.006. ,Tunjangan Beras ,298203204, Tunjangan beras = 231 orang 298203204.00
1.13.1.13.01.00.00.5.1.1.01.007. ,Tunjangan PPh/Tunjangan Khusus ,36699660, Tunjangan PPh 36699660.00
1.13.1.13.01.00.00.5.1.1.01.008. ,Pembulatan Gaji ,104865, Tunjangan pembulatan 104865.00
1.13.1.13.01.00.00.5.2. ,BELANJA LANGSUNG ,9957704500,
1.13.1.13.01.01. ,PROGRAM PELAYANAN ADMINISTRASI ,306820000, PERKANTORAN
1.13.1.13.01.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,4000000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: PAD.DAU.
1.13.1.13.01.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,4000000,
1.13.1.13.01.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,4000000,
1.13.1.13.01.01.01.5.2.2.01.004. ,Belanja perangko^ meterai^ dan benda pos ,4000000, Dinas 3000000.00 Materai 6000 1800000.00 Materai 3000 900000.00 Perangko 300000.00 UPT - BLK 1000000.00 Materai 6000 600000.00 Materai 3000 300000.00 Perangko 100000.00
1.13.1.13.01.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER DAYA ,79500000,Lokasi Kegiatan: Kab Gunungkidul AIR DAN LISTRIK Sumber Dana: PAD.DAU.
1.13.1.13.01.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,79500000,
1.13.1.13.01.01.02.5.2.2.03. ,Belanja Jasa Kantor ,79500000,
1.13.1.13.01.01.02.5.2.2.03.001. ,Belanja telephon ,27700000, Dinas dan UPT - BLK 3 jaringan 19200000.00 Biaya Langganan Internet untuk BKOL 8500000.00
1.13.1.13.01.01.02.5.2.2.03.002. ,Belanja air ,15000000, Dinas dan UPT-BLK 15000000.00
1.13.1.13.01.01.02.5.2.2.03.003. ,Belanja listrik ,36800000, Dinas dan UPT-BLK 5 (lima) Rekening 33800000.00 Tambah Daya 3000000.00
1.13.1.13.01.01.06. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,16430000,Lokasi Kegiatan: Kab Gunungkidul PERIZINAN KENDARAAN DINAS/OPERASIONAL Sumber Dana: PAD.DAU.
1.13.1.13.01.01.06.5.2.2. ,BELANJA BARANG DAN JASA ,16430000,
1.13.1.13.01.01.06.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,16430000,
1.13.1.13.01.01.06.5.2.2.05.004. ,Belanja Jasa Kir ,1650000, jasa Kir 1650000.00
