Judul ,Penjabarn Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Gunungkidul,,
tahun ,2016,,
Kode Organisasi,1.15,,
Nama Organisasi,Dinas Perindustrian Perdagangan Koperasi Energi dan Sumber Daya Mineral,,
Kolom,4,,
Kode Rekening,URAIAN,jumlah,Penjelasan
1.15.1.15.01.00.00.5. ,BELANJA DAERAH ,8639466049.85,
1.15.1.15.01.00.00.9. ,BEBAN ,8639466049.85,
1.15.1.15.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,3181600349.85,
1.15.1.15.01.00.00.5.1.1. ,BELANJA PEGAWAI ,3181600349.85,
1.15.1.15.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,3181600349.85,
1.15.1.15.01.00.00.5.1.1.01.001. ,Gaji Pokok/Uang Representasi ,2686727685.6, Golongan II = 8 orang 284392659.60 Golongan III = 41 orang 2098319554.80 Golongan IV = 5 orang 304015471.20
1.15.1.15.01.00.00.5.1.1.01.002. ,Tunjangan Keluarga ,253996722.25, Isteri/suami = 40 orang 197852387.04 Anak = 58 orang 56144335.21
1.15.1.15.01.00.00.5.1.1.01.003. ,Tunjangan Jabatan ,38920000, Eselon III a = 1 orang 17640000.00 Eselon III b = 4 orang 13720000.00 Eselon 1V a = 12 orang 7560000.00
1.15.1.15.01.00.00.5.1.1.01.005. ,Tunjangan Fungsional Umum ,5110000, Golongan II = 7 orang 2520000.00 Golongan III = 41 orang 2590000.00
1.15.1.15.01.00.00.5.1.1.01.006. ,Tunjangan Beras ,132094080, Tunjangan beras 132094080.00
1.15.1.15.01.00.00.5.1.1.01.007. ,Tunjangan PPh/Tunjangan Khusus ,64709204, Tunjangan PPh 64709204.00
1.15.1.15.01.00.00.5.1.1.01.008. ,Pembulatan Gaji ,42658, Tunjangan pembulatan 42658.00
1.15.1.15.01.00.00.5.2. ,BELANJA LANGSUNG ,5457865700,
1.15.1.15.01.01. ,PROGRAM PELAYANAN ADMINISTRASI ,378674200, PERKANTORAN
1.15.1.15.01.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,545000,Lokasi Kegiatan: Disperindagkop Sumber Dana: PAD.  DAU.  Bagi Hasil Pajak Prov.
1.15.1.15.01.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,545000,
1.15.1.15.01.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,545000,
1.15.1.15.01.01.01.5.2.2.01.004. ,Belanja perangko/meterai ,545000, Perangko 55000.00 Perangko 90000.00 Pengiriman 400000.00
1.15.1.15.01.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER DAYA ,21400000,Lokasi Kegiatan: Disperindagkop AIR DAN LISTRIK Sumber Dana: PAD.  DAU.
1.15.1.15.01.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,21400000,
1.15.1.15.01.01.02.5.2.2.03. ,Belanja Jasa Kantor ,21400000,
1.15.1.15.01.01.02.5.2.2.03.001. ,Belanja telephon/kawat/faximile/internet ,21400000, 2 telepon (24 rekening telp) 12000000.00 Paket internet 7000000.00 Telp Dekranas 2400000.00
1.15.1.15.01.01.04. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,10000000,Lokasi Kegiatan: Disperindagkop PERIZINAN KENDARAAN DINAS/OPERASIONAL Sumber Dana: PAD.  DAU.
1.15.1.15.01.01.04.5.2.2. ,BELANJA BARANG DAN JASA ,10000000,
1.15.1.15.01.01.04.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,10000000,
1.15.1.15.01.01.04.5.2.2.05.005. ,Belanja Surat Tanda Nomor Kendaraan ,10000000, Roda empat (4) 6000000.00 Roda dua (2) 4000000.00
1.15.1.15.01.01.07. ,PENYEDIAAN JASA PERBAIKAN PERALATAN KERJA ,20000000,Lokasi Kegiatan: Disperindagkop Sumber Dana: PAD.  DAU.
1.15.1.15.01.01.07.5.2.2. ,BELANJA BARANG DAN JASA ,20000000,
1.15.1.15.01.01.07.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,20000000, kantor
1.15.1.15.01.01.07.5.2.2.18.001. ,Belanja pemeliharaan perlatan kantor ,20000000, Komputer 8400000.00 Printer 5000000.00 Laptop 3500000.00 LCD 450000.00 Mesin Ketik 2400000.00 AC 250000.00
1.15.1.15.01.01.08. ,PENYEDIAAN ALAT TULIS KANTOR ,14986000,Lokasi Kegiatan: Disperindagkop Sumber Dana: DAU.  Bagi Hasil Pajak Prov.
1.15.1.15.01.01.08.5.2.2. ,BELANJA BARANG DAN JASA ,14986000,
1.15.1.15.01.01.08.5.2.2.01. ,Belanja Bahan Pakai Habis ,14986000,
1.15.1.15.01.01.08.5.2.2.01.001. ,Belanja alat tulis kantor ,14986000, Buku 480000.00 Kertas HVS 2850000.00 Kertas fek 765000.00 Map 2750000.00 Stapler dan Isi 225000.00 Bolpoin 306000.00 Pensil 240000.00 Spidol 340000.00 Amplop 195000.00 Odner 1530000.00 Penghapus 80000.00 Trigonal dan binder 1750000.00 Perforator 180000.00 Kater 55000.00 Gunting 60000.00 Penggaris 10000.00 Lem 12500.00 Flesdisk 2250000.00 Pita Tik 247500.00 Data prin 660000.00
1.15.1.15.01.01.09. ,PENYEDIAAN BARANG CETAKAN DAN ,25295000,Lokasi Kegiatan: Disperindagkop PENGGANDAAN Sumber Dana: PAD.  DAU.
1.15.1.15.01.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,25295000,
1.15.1.15.01.01.09.5.2.2.06. ,Belanja Cetak dan Penggandaan ,25295000,
1.15.1.15.01.01.09.5.2.2.06.001. ,Belanja Cetak ,16325000, Disposisi 375000.00 SPT 3600000.00 SPPD 1 3600000.00 SPPD II 3600000.00 BKP 1050000.00 Amplop 1000000.00 SSP 1600000.00 SSPD 1200000.00 Jilid 300000.00
1.15.1.15.01.01.09.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,8970000, Fotocopy 7330000.00 Fotocopy A3 1000000.00 Jilid 450000.00 Jilid 190000.00
1.15.1.15.01.01.10. ,PENYEDIAAN KOMPONEN INSTALASI ,5000000,Lokasi Kegiatan: Disperindagkop LISTRIK/PENERANGAN BANGUNAN KANTOR Sumber Dana: DAU.
1.15.1.15.01.01.10.5.2.2. ,BELANJA BARANG DAN JASA ,5000000,
1.15.1.15.01.01.10.5.2.2.01. ,Belanja Bahan Pakai Habis ,5000000,
1.15.1.15.01.01.10.5.2.2.01.003. ,Belanja alat listrik dan elektronika (lampu pijar^ batery ,5000000, keri Lampu bolam 25 w 175000.00 Lampu jari 1680000.00 Stop kontak 21000.00 Jek 40000.00 Rol Kabel 2895000.00 Lampu TL 40 W 64000.00 Baterai 125000.00
1.15.1.15.01.01.11. ,PENYEDIAAN PERALATAN DAN PERLENGKAPAN ,72250000,Lokasi Kegiatan: Disperindagkop KANTOR Sumber Dana: DAU.
1.15.1.15.01.01.11.5.2.3. ,BELANJA  MODAL ,72250000,
1.15.1.15.01.01.11.5.2.3.11. ,Belanja Modal Pengadaan Perlengkapan Kantor ,6750000,
1.15.1.15.01.01.11.5.2.3.11.004. ,Belanja modal pengadaan filling kabinet ,6750000, Almari arsip 6750000.00
1.15.1.15.01.01.11.5.2.3.12. ,Belanja Modal Pengadaan Komputer ,61500000,
1.15.1.15.01.01.11.5.2.3.12.002. ,Belanja modal pengadaan komputer /PC ,20000000, Komputer 20000000.00
1.15.1.15.01.01.11.5.2.3.12.003. ,Belanja modal pengadaan printer ,17500000, Printer 17500000.00
1.15.1.15.01.01.11.5.2.3.12.009. ,Belanja modal pengadaan kelengkapan komputer ,24000000, LCD 24000000.00
1.15.1.15.01.01.11.5.2.3.17. ,Belanja Modal Pengadaan Alat-alat Komunikasi ,4000000,
1.15.1.15.01.01.11.5.2.3.17.008. ,Belanja modal pengadaan sound sistem ,4000000, Werles 4000000.00
1.15.1.15.01.01.12. ,PENYEDIAAN PERALATAN RUMAH TANGGA ,7500000,Lokasi Kegiatan: Disperindagkop Sumber Dana: PAD.  DAU.  Bagi Hasil Pajak Prov.
1.15.1.15.01.01.12.5.2.2. ,BELANJA BARANG DAN JASA ,7500000,
1.15.1.15.01.01.12.5.2.2.01. ,Belanja Bahan Pakai Habis ,7500000,
1.15.1.15.01.01.12.5.2.2.01.005. ,Belanja peralatan kebersihan dan bahan pembersih ,7500000, Pembersih lantai 420000.00 Kain pel 375000.00 Pengharum Ruangan 1300000.00 Pembersih porselin 504000.00 Pembersih kaca 480000.00 Tisu 1104000.00 Sapu ijuk 120000.00 Sulak 120000.00 Kain pembersih 900000.00 Sikat Kamar mandi 144000.00 Sorok Air 384000.00 Serok/ikrak 120000.00 Gayung 329000.00 Serbet 150000.00 Stela gantung 630000.00 pembersih kamar mandi 420000.00
