Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,
Daerah,Kabupaten Gunungkidul,,,,,,
tahun ,2015,,,,,,
Kode Organisasi,2.06,,,,,,
Nama Organisasi,Kantor Pengelolaan Pasar,,,,,,
Kolom,4,,,,,,
Kode Rekening,Uraian,jumlah,Penjelasan,,,,
2.06.2.06.02.00.00.4. ,PENDAPATAN ,1869747679.76,,,,,
2.06.2.06.02.00.00.4.1. ,PENDAPATAN ASLI DAERAH ,1869747679.76,,,,,
2.06.2.06.02.00.00.4.1.2. ,HASIL RETRIBUSI DAERAH ,1815991200,,,,,
2.06.2.06.02.00.00.4.1.2.01. ,Retribusi Jasa Umum ,1323943200,,,,,
2.06.2.06.02.00.00.4.1.2.01.02. ,Retribusi Pelayanan Persampahan/Kebersihan ,157687200,Dasar Hukum: Berdasarkan Perda No13Tahun 2012 LD Tahun 2012No 5Seri C Retribusi Pelayanan  Persampahan/Kebersihan Kemantren Pasar Wonosari 4124990000 Kemantren Pasar Playen 2031920000 Kemantren Pasar Paliyan Panggang 1285240000 Kemantren Pasar Semin-Ngawen 1967570000 Kemantren Pasar Semanu-Karangmojo 2049760000 Kemantren Pasar Ponjong 1447550000 Kemantren Pasar Rongkop 1399750000 Kemantren Pasar Tepus 380930000 Kemantren Pasar Nglipar 1081010000,,,,
2.06.2.06.02.00.00.4.1.2.01.06. ,Retribusi Pelayanan Pasar ,1166256000,Dasar Hukum: Berdasarkan Perda No 8 Tahun 2011 LD Tahun 2011 No 2 Seri C tentang Retribusi  Pelayanan Pasar Kemantren Pasar Wonosari 32435700000 Kemantren Pasar Playen 23533200000 Kemantren Pasar Paliyan-Panggang 6400100000 Kemantren Pasar Semin-Ngawen 10620000000 Kemantren Pasar Semanu-Karangmojo 19680900000 Kemantren Pasar Ponjong 7383000000 Kemantren Pasar Rongkop 7895700000 Kemantren Pasar Tepus 2623700000 Kemantren Pasar Nglipar 6053300000,,,,
2.06.2.06.02.00.00.4.1.2.02. ,Retribusi Jasa Usaha ,492048000,,,,,
2.06.2.06.02.00.00.4.1.2.02.01. ,Retribusi Pemakaian Kekayaan Daerah ,161280000,Dasar Hukum: Berdasarkan Perda No 9 Tahun 2011 LD Tahun 2011 No 3 Seri C tentang Retribusi  Pemakaian Kekayaan  Daerah Retribusi MCK 16128000000 Retribusi MCK 16128000000 Pasar Argosari dan Taman parkir Wno 10145000000 Pasar Argosari dan Taman parkir Wno 10145000000 Pasar Baran Rongkop 216000000 Pasar Baran Rongkop 216000000 Pasar Ponjong 275000000 Pasar Ponjong 275000000 Pasar Bedoyo 50400000 Pasar Bedoyo 50400000 Pasar Umum Mlambang Semin 980000000 Pasar Umum Mlambang Semin 980000000 Gudang garam Wno 835000000 Gudang garam Wno 835000000 Pasar Ngawu Playen 575000000 Pasar Ngawu Playen 575000000 Pasar Umum Munggi Semanu 920000000 Pasar Umum Munggi Semanu 920000000 Pasar Unggas Kepek 75000000 Pasar Unggas Kepek 75000000 Pasar Tengeran Karangmojo 250000000 Pasar Tengeran Karangmojo 250000000 Pasar Kampung Ngawen 210000000 Pasar Kampung Ngawen 210000000 Pasar Hewan Munggi Semanu 220000000 Pasar Hewan Munggi Semanu 220000000 Pasar Nglipar 75000000 Pasar Nglipar 75000000 Pasar Gedangsari 150000000 Pasar Gedangsari 150000000 Pasar Wotgaleh 50000000 Pasar Wotgaleh 50000000 Pasar Ngalang 90000000 Pasar Ngalang 90000000 Pasar Hewan Siyono Playen 951600000 Pasar Hewan Siyono Playen 951600000 Pasar Wonontoro Karangmojo 60000000 Pasar Wonontoro Karangmojo 60000000,,,,
2.06.2.06.02.00.00.4.1.2.02.05. ,Retribusi Tempat Khusus Parkir ,330768000,Dasar Hukum:Berdasarkan Perda No 11 Tahun 2011 LD Tahun 2011No 5 Seri C tentang Retribusi 11Tahun 2011LD Tahun 2011 No 5Seri C tentang Retribusi  Tempat Khusus  Pasar Argosari (sebelah selatan) 3290000000 Pasar Argosari (sebelah barat) 3675000000 Pasar Argosari (sebelah timur) 8100000000 Pasar Unggas Kepek 300000000 Pasar Hewan Siyonoharjo I (roda 4) 1600000000 Pasar Hewan Siyonoharjo II ( roda 4) 1600000000 Pasar Hewan Siyonoharjo ( roda 2 ) 850000000 Pasar Hewan Ngawu Playen 210000000 Pasar Paliyan 200000000 Pasar Trowono 750000000 Pasar Semin (roda 4) 360000000 Pasar Semin (roda 2 sebelah barat) 850000000 Pasar Semin (roda 2 sebelah timur) 850000000 Pasar Ngawen (roda 2 dan 4) 795000000 Pasar Munggi (umum) 2106800000 Pasar Munggi (utara terminal) 828000000 Pasar Hewan Munggi 900000000 Pasar  Karangmojo 1264000000 Pasar Ponjong 850000000 Pasar Jimbaran 430000000 Pasar Baran 575000000 Pasar Ngrancah 194500000 Pasar menthel tepus Ngeplang 400000000 Pasar Nglipar (roda 4) 625000000 Pasar Nglipar wotgaleh (roda 2) 625000000 Pasar Wotgaleh (roda 4) 170000000 Pasar Gedangsari 225000000 Pasar Klampok 288000000 Pasar Wonontoro 165500000,,,,
2.06.2.06.02.00.00.4.1.4. ,LAIN-LAIN PENDAPATAN ASLI DAERAH YANG SAH ,53756479.76,,,,,
2.06.2.06.02.00.00.4.1.4.23. ,Penerimaan Penempatan/Perpanjangan Kios dan ,53756479.76, Los,,,,
2.06.2.06.02.00.00.4.1.4.23.01. ,Penempatan/Perpanjangan Kios dan Los ,53756479.76,Dasar Hukum: Berdasarkan Perbup No 21Tahun 2012 BD Tahun 2012 No 21 Seri E tentang Tata Cara Penentuan Nilai Sewa Penempatan dan Perpanjangan Kios dan Los Milik Pemerintah Kab Gunungkidul Kemantren Pasar Wonosari 1582721341 Kemantren Pasar Playen 1017826814 Kemantren Pasar Paliyan-Panggang 322046906 Kemantren Pasar Semin-Ngawen 444001880 Kemantren Pasar Semanu-Karangmojo 904498709 Kemantren Pasar Ponjong 365386036 Kemantren Pasar Rongkop 142306623 Kemantren Pasar Nglipar 314214911 Kemantren Pasar Tepus 282644756 JUMLAH PENDAPATAN  1.869.747.679^76 ,,,,
2.06.2.06.02.00.00.5. ,BELANJA DAERAH ,15041802080.73,,,,,
2.06.2.06.02.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,3880902880.73,,,,,
2.06.2.06.02.00.00.5.1.1. ,BELANJA PEGAWAI ,3880902880.73,,,,,
2.06.2.06.02.00.00.5.1.1.01. ,Gaji dan Tunjangan ,3806638460.73,,,,,
2.06.2.06.02.00.00.5.1.1.01.001. ,Gaji Pokok ,2938688054.58, Gol IV 5569295700 Gol III 52472073420 Gol II 185933295912 Gol I 49894140426,,,,
2.06.2.06.02.00.00.5.1.1.01.002. ,Tunjangan Keluarga ,340150046.15, Tunjangan Istri 26076126968 Tunjangan anak 7938877647,,,,
2.06.2.06.02.00.00.5.1.1.01.003. ,Tunjangan Jabatan ,44460000, Tunjangan struktural 4446000000,,,,
2.06.2.06.02.00.00.5.1.1.01.005. ,Tunjangan Fungsional Umum ,207480000, Tunjangan umum 20748000000,,,,
2.06.2.06.02.00.00.5.1.1.01.006. ,Tunjangan Beras ,251973120, Tunjangan beras 25197312000,,,,
2.06.2.06.02.00.00.5.1.1.01.007. ,Tunjangan PPh/Tunjangan Khusus ,23829767, Tunjangan PPH/Tunjangan khusus 2382976700,,,,
2.06.2.06.02.00.00.5.1.1.01.008. ,Pembulatan Gaji ,57473, Pembulatan gaji 5747300,,,,
2.06.2.06.02.00.00.5.1.1.06. ,Insentif Pemungutan Retribusi Daerah ,74264420,,,,,
2.06.2.06.02.00.00.5.1.1.06.001. ,Insentif  Pemungutan Retribusi Daerah ,74264420, Insentif pemungutan retribusi Triwulan IV tahun 2014 2229239000 Insentif pemungutan retribusi tahun 2015 5197203000,,,,
2.06.2.06.02.00.00.5.2. ,BELANJA LANGSUNG ,11160899200,,,,,
2.06.2.06.02.01. ,PROGRAM PELAYANAN ADMINISTRASI ,592137000, PERKANTORAN,,,,
2.06.2.06.02.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,1992000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: PADDAU,,,,
2.06.2.06.02.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,1992000,,,,,
2.06.2.06.02.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,1992000,,,,,
2.06.2.06.02.01.01.5.2.2.01.004. ,Belanja perangko^ meterai^ dan benda pos ,1992000, Materai 6000 120000000 Materai 3000 60000000 Perangko 19200000,,,,
2.06.2.06.02.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER DAYA ,144000000,Lokasi Kegiatan: Kab Gunungkidul AIR DAN LISTRIK Sumber Dana: PAD^DAU^,,,,
2.06.2.06.02.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,144000000,,,,,
2.06.2.06.02.01.02.5.2.2.03. ,Belanja Jasa Kantor ,144000000,,,,,
2.06.2.06.02.01.02.5.2.2.03.001. ,Belanja telephon ,6000000, Belanja telepon 600000000,,,,
2.06.2.06.02.01.02.5.2.2.03.002. ,Belanja air ,6000000, Belanja air 600000000,,,,
2.06.2.06.02.01.02.5.2.2.03.003. ,Belanja listrik ,132000000, Belanja listrik 13200000000,,,,
2.06.2.06.02.01.03. ,PENYEDIAAN JASA PERALATAN DAN ,20910000,Lokasi Kegiatan: Kab Gunungkidul PERLENGKAPAN KANTOR Sumber Dana: DAU^,,,,
2.06.2.06.02.01.03.5.2.2. ,BELANJA BARANG DAN JASA ,20910000,,,,,
2.06.2.06.02.01.03.5.2.2.07. ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,20910000,,,,,
2.06.2.06.02.01.03.5.2.2.07.005. ,Belanja Sewa Tanah ,20910000, Pasar Ngeplang 90000000 Pasar Wiladeg 60000000 Pasar Hewan Ngawu 225000000 Pasar Pakel 216000000 Pasar Bambu Kepek 400000000 Pasar Jepitu 200000000 Pasar Kasihan 60000000 Pasar Ngrancah 200000000 Pasar Trowono 270000000 Pasar Hewan Semin 270000000 Pasar Hewan Rongkop 100000000,,,,
2.06.2.06.02.01.06. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,10600000,Lokasi Kegiatan: Kab Gunungkidul PERIZINAN KENDARAAN DINAS/OPERASIONAL Sumber Dana: DAU^,,,,
2.06.2.06.02.01.06.5.2.2. ,BELANJA BARANG DAN JASA ,10600000,,,,,
2.06.2.06.02.01.06.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,10600000,,,,,
2.06.2.06.02.01.06.5.2.2.05.005. ,Belanja Surat Tanda Nomor Kendaraan ,10600000, STNK/Pajak roda 4 110000000 STNK/Pajak roda 2 510000000 STNK/Pajak Pick Up armada sampah 140000000 STNK/Pajak Dump truk armada sampah 280000000 STNK/Pajak Viar 20000000,,,,
2.06.2.06.02.01.07. ,PENYEDIAAN JASA ADMINISTRASI KEUANGAN ,25500000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: DAU,,,,
2.06.2.06.02.01.07.5.2.1. ,BELANJA PEGAWAI ,25500000,,,,,
2.06.2.06.02.01.07.5.2.1.01. ,Honorarium PNS ,25500000,,,,,
2.06.2.06.02.01.07.5.2.1.01.003. ,Honorarium Bendahara^ Pembantu Bendaraha ,25500000, Bendahara pengeluaran 330000000 Pembantu bendahara pengeluaran ( 2 x 12 ob) 540000000 Bendahara penerimaan 270000000 Pembantu bendahara penerimaan 180000000 Pengurus barang 360000000 Penyimpan barang 270000000 Pejabat penatausahaan keuangan 330000000 Pembantu pejabat penatausahaan keuangan 270000000,,,,
2.06.2.06.02.01.09. ,PENYEDIAAN JASA PERBAIKAN PERALATAN KERJA ,5200000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: DAU,,,,
2.06.2.06.02.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,5200000,,,,,
2.06.2.06.02.01.09.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,5200000, kantor,,,,
2.06.2.06.02.01.09.5.2.2.18.001. ,Belanja pemeliharaan perlatan kantor ,5200000, Biaya perawatan 8 komputer/printer 2 laptop 400000000 Biaya perawatan mesin tik 120000000,,,,
2.06.2.06.02.01.10. ,PENYEDIAAN ALAT TULIS KANTOR ,15000000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: DAU,,,,
2.06.2.06.02.01.10.5.2.2. ,BELANJA BARANG DAN JASA ,15000000,,,,,
2.06.2.06.02.01.10.5.2.2.01. ,Belanja Bahan Pakai Habis ,15000000,,,,,
2.06.2.06.02.01.10.5.2.2.01.001. ,Belanja alat tulis kantor ,15000000, Belanja ATK kantor dan 9 kemantren 1500000000,,,,
2.06.2.06.02.01.11. ,PENYEDIAAN BARANG CETAKAN DAN ,25000000,Lokasi Kegiatan: Kab Gunungkidul PENGGANDAAN Sumber Dana: DAU^,,,,
2.06.2.06.02.01.11.5.2.2. ,BELANJA BARANG DAN JASA ,25000000,,,,,
2.06.2.06.02.01.11.5.2.2.06. ,Belanja Cetak dan Penggandaan ,25000000,,,,,
2.06.2.06.02.01.11.5.2.2.06.001. ,Belanja Cetak ,17500000, Belanja cetak 1750000000,,,,
2.06.2.06.02.01.11.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,7500000, Belanja penggandaan 750000000,,,,
2.06.2.06.02.01.12. ,PENYEDIAAN KOMPONEN INSTALASI ,211450000,Lokasi Kegiatan: Kab Gunungkidul LISTRIK/PENERANGAN BANGUNAN KANTOR Sumber Dana: DAU^,,,,
2.06.2.06.02.01.12.5.2.1. ,BELANJA PEGAWAI ,1450000,,,,,
2.06.2.06.02.01.12.5.2.1.01. ,Honorarium PNS ,250000,,,,,
2.06.2.06.02.01.12.5.2.1.01.002. ,Honorarium Panitia Pengadaan Barang dan Jasa ,250000, Honor pejabat pengadaan 25000000,,,,
2.06.2.06.02.01.12.5.2.1.02. ,Honorarium Non PNS ,1200000,,,,,
2.06.2.06.02.01.12.5.2.1.02.004. ,Upah/ongkos tenaga ,1200000, Upah tenaga/tukang 120000000,,,,
2.06.2.06.02.01.12.5.2.2. ,BELANJA BARANG DAN JASA ,10000000,,,,,
2.06.2.06.02.01.12.5.2.2.01. ,Belanja Bahan Pakai Habis ,10000000,,,,,
2.06.2.06.02.01.12.5.2.2.01.003. ,Belanja alat listrik dan elektronika (lampu pijar^ batery ,10000000, keri Belanja alat listrik dan elektronika 10000000^00,,,,
2.06.2.06.02.01.12.5.2.3. ,BELANJA  MODAL ,200000000,,,,,
2.06.2.06.02.01.12.5.2.3.25. ,Belanja Modal Pengadaan Instlasi Listrik dan ,200000000, Telepon,,,,
2.06.2.06.02.01.12.5.2.3.25.001. ,Belanja Modal Pengadaan Instlasi Listrik ,200000000, Pengadaan meteran listrik pasar 20000000000,,,,
2.06.2.06.02.01.13. ,PENYEDIAAN PERALATAN DAN PERLENGKAPAN ,9000000,Lokasi Kegiatan: Kab Gunungkidul KANTOR Sumber Dana: PAD^DAU^,,,,
2.06.2.06.02.01.13.5.2.3. ,BELANJA  MODAL ,9000000,,,,,
2.06.2.06.02.01.13.5.2.3.12. ,Belanja Modal Pengadaan Komputer ,9000000,,,,,
2.06.2.06.02.01.13.5.2.3.12.003. ,Belanja modal pengadaan printer ,1500000, Pengadaan printer 150000000,,,,
2.06.2.06.02.01.13.5.2.3.12.004. ,Belanja modal pengadaan note book ,7500000, Belanja laptop/notebook 750000000,,,,
2.06.2.06.02.01.14. ,PENYEDIAAN PERALATAN RUMAH TANGGA ,4000000,Lokasi Kegiatan: Kantor Pengelolaan Pasar Sumber Dana: PADDAU,,,,
2.06.2.06.02.01.14.5.2.2. ,BELANJA BARANG DAN JASA ,4000000,,,,,
2.06.2.06.02.01.14.5.2.2.01. ,Belanja Bahan Pakai Habis ,3000000,,,,,
2.06.2.06.02.01.14.5.2.2.01.005. ,Belanja peralatan kebersihan dan bahan pembersih ,3000000, Belanja peralatan kebersihan dan bahan pembersih kantor 300000000,,,,
2.06.2.06.02.01.14.5.2.2.24. ,Belanja Peralatan Boga ,1000000,,,,,
2.06.2.06.02.01.14.5.2.2.24.001. ,Belanja Piring/Mangkok/Gelas/Cangkir/Sendok/Garpu ,1000000, Belanja gelas bunga taplak dll 100000000,,,,
2.06.2.06.02.01.15. ,PENYEDIAAN BAHAN BACAAN DAN PERATURAN ,1860000,Lokasi Kegiatan: Kab Gunungkidul PERUNDANG-UNDANGAN Sumber Dana: DAU^,,,,
2.06.2.06.02.01.15.5.2.2. ,BELANJA BARANG DAN JASA ,1860000,,,,,
2.06.2.06.02.01.15.5.2.2.03. ,Belanja Jasa Kantor ,1860000,,,,,
2.06.2.06.02.01.15.5.2.2.03.005. ,Belanja surat kabar/majalah ,1860000, Belanja surat kabar/majalah 186000000,,,,
2.06.2.06.02.01.17. ,PENYEDIAAN MAKANAN DAN MINUMAN ,8625000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: DAU,,,,
2.06.2.06.02.01.17.5.2.2. ,BELANJA BARANG DAN JASA ,8625000,,,,,
2.06.2.06.02.01.17.5.2.2.11. ,Belanja Makanan dan Minuman ,8625000,,,,,
2.06.2.06.02.01.17.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,6125000, Makan rapat 440000000 Minum snack rapat 172500000,,,,
2.06.2.06.02.01.17.5.2.2.11.003. ,Belanja makanan dan minuman tamu ,2500000, Belanja minum snack tamu 90000000 Belanja makan tamu 160000000,,,,
2.06.2.06.02.01.18. ,RAPAT-RAPAT KOORDINASI DAN KONSULTASI KE ,38800000,Lokasi Kegiatan: Kab Gunungkidul LUAR DAERAH Sumber Dana: PAD^DAU^,,,,
2.06.2.06.02.01.18.5.2.2. ,BELANJA BARANG DAN JASA ,38800000,,,,,
2.06.2.06.02.01.18.5.2.2.15. ,Belanja Perjalanan Dinas ,38800000,,,,,
2.06.2.06.02.01.18.5.2.2.15.001. ,Belanja perjalanan dinas dalam daerah ,33680000, Gol IV 360000000 Gol III 1800000000 Gol II 800000000 Gol I 84000000 Ke propinsi DIY Gol IV 56000000 Gol III 168000000 Gol II 100000000,,,,
2.06.2.06.02.01.18.5.2.2.15.002. ,Belanja perjalanan dinas luar daerah ,5120000, Gol III/IV 212000000 Tiket 300000000,,,,
2.06.2.06.02.01.19. ,PENYEDIAAN JASA TENAGA ,70200000,Lokasi Kegiatan: Kab Gunungkidul ADMINISTRASI/TEKNIK PERKANTORAN Sumber Dana: DAU^,,,,
2.06.2.06.02.01.19.5.2.1. ,BELANJA PEGAWAI ,70200000,,,,,
2.06.2.06.02.01.19.5.2.1.02. ,Honorarium Non PNS ,70200000,,,,,
2.06.2.06.02.01.19.5.2.1.02.002. ,Honorarium Pegawai Honorer/Tidak Tetap ,70200000, Petugas pungut 1 x 13 bulan 1170000000 Petugas Satpam 2 x 13 bulan 2340000000 Petugas ME 3 x 13 bulan 3510000000,,,,
2.06.2.06.02.02. ,PROGRAM PENINGKATAN SARANA DAN ,169400000, PRASARANA APARATUR,,,,
2.06.2.06.02.02.22. ,PEMELIHARAAN RUTIN/BERKALA GEDUNG KANTOR ,119000000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: DAU,,,,
2.06.2.06.02.02.22.5.2.1. ,BELANJA PEGAWAI ,24000000,,,,,
2.06.2.06.02.02.22.5.2.1.02. ,Honorarium Non PNS ,24000000,,,,,
2.06.2.06.02.02.22.5.2.1.02.004. ,Upah/ongkos tenaga ,24000000, Upah tenaga rehab 2400000000,,,,
2.06.2.06.02.02.22.5.2.2. ,BELANJA BARANG DAN JASA ,95000000,,,,,
2.06.2.06.02.02.22.5.2.2.02. ,Belanja Bahan/Material ,95000000,,,,,
2.06.2.06.02.02.22.5.2.2.02.001. ,Belanja bahan baku bangunan ,75000000, Kemantren Pasar Tepus 1000000000 kemantren Pasar Ponjong 1000000000 Kemanten Pasar Semin 500000000 Kemantren Pasar Paliyan Panggang 1000000000 Kemantren Pasar Nglipar 1000000000 Kemantren Pasar Semanu 500000000 Kematren Pasar Playen 500000000 Kemantren Pasar Wonosari 1000000000 Kemantren Pasar Rongkop 1000000000,,,,
2.06.2.06.02.02.22.5.2.2.02.010. ,Belanja papan nama ,20000000, Belanja papan nama pasar 2000000000,,,,
2.06.2.06.02.02.24. ,PEMELIHARAAN RUTIN/BERKALA KENDARAAN ,45400000,Lokasi Kegiatan: Kab Gunungkidul DINAS/OPERASIONAL Sumber Dana: DAU^,,,,
2.06.2.06.02.02.24.5.2.2. ,BELANJA BARANG DAN JASA ,45400000,,,,,
2.06.2.06.02.02.24.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,45400000,,,,,
2.06.2.06.02.02.24.5.2.2.05.001. ,Belanja pemeliharaan kendaraan ,18650000, Belanja servis suku cadang aki ban roda 4 590000000 Belanja servis suku cadang aki ban roda 2 1275000000,,,,
2.06.2.06.02.02.24.5.2.2.05.003. ,Belanja Bahan Bakar Minyak/Gas dan Pelumas ,26750000, Roda 4 1400000000 Roda 2 1275000000,,,,
