Judul,Penjabaran Anggaran Pendapatan Belanja Daerah,,
Daerah,Kabupaten Gunungkidul,,
tahun ,2014,,
Kode Organisasi,1.06,,
Nama Organisasi,Badan Perencanaan Pembangunan Daerah,,
Kolom,4,,
Nomer Rekening,Uraian, Jumlah,Keterangan
1.06.1.06.01.00.00.4. ,PENDAPATAN,, 
1.06.1.06.01.00.00.5. ,BELANJA DAERAH ,6822684389.52,
1.06.1.06.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,2540197389.52,
1.06.1.06.01.00.00.5.1.1. ,BELANJA PEGAWAI ,2540197389.52,
1.06.1.06.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,2540197389.52,
1.06.1.06.01.00.00.5.1.1.01.01. ,Gaji Pokok ,1931944716,Gaji Pokok 1931944716.00  Gaji Pokok 1931944716.00 Gol IV (7 orang) 335449296.00 Gol III (31 orang) 1251034200.00 Gol II (10 orang) 300192048.00 Gol I (2 orang) 45269172.00
1.06.1.06.01.00.00.5.1.1.01.02. ,Tunjangan Keluarga ,184816073.52,Tunjangan Keluarga 184816073.52  Tunjangan keluarga 184816073.52 Tunjangan isteri/suami 141173323.20 Tunjangan anak 43642750.32
1.06.1.06.01.00.00.5.1.1.01.03. ,Tunjangan Jabatan ,197665000,Tunjangan Jabatan 197665000.00  Tunjangan jabatan 197665000.00 Eselon IIB 26325000.00 Eselon IIIA 16380000.00 Eselon IIIB 63700000.00 Eselon IVA 91260000.00
1.06.1.06.01.00.00.5.1.1.01.05. ,Tunjangan Fungsional Umum ,73645000,Tunjangan Fungsional Umum 73645000.00  Tunjangan fungsional umum 73645000.00 Gol III 45695000.00 Gol II 23400000.00 Gol I 4550000.00
1.06.1.06.01.00.00.5.1.1.01.06. ,Tunjangan Beras ,118871040,Tunjangan Beras 118871040.00  Tunjangan beras 118871040.00
1.06.1.06.01.00.00.5.1.1.01.07. ,Tunjangan PPh/Tunjangan Khusus ,33228572,Tunjangan PPh/Tunjangan Khusus33228572.00  Gol IV 9902217.00 Gol III 21487284.00 Gol II 1839071.00
1.06.1.06.01.00.00.5.1.1.01.08. ,Pembulatan Gaji ,26988,Pembulatan Gaji 26988.00  Gol IV 1742.00 Gol III 18616.00 Gol II 5915.00 Gol I 715.00
1.06.1.06.01.00.00.5.2. ,BELANJA LANGSUNG ,4282487000,
1.06.1.06.01.01. ,PROGRAM PELAYANAN ADMINISTRASI ,437900000, PERKANTORAN
1.06.1.06.01.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,3500000,
1.06.1.06.01.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,3500000,
1.06.1.06.01.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,2500000,
1.06.1.06.01.01.01.5.2.2.01.04. ,Belanja perangko^ meterai^ dan benda pos lainnya ,2500000,Belanja perangko. meterai. dan benda pos lainnya2500000.00  Belanja perangko dan materai2500000.00
1.06.1.06.01.01.01.5.2.2.03. ,Belanja Jasa Kantor ,1000000,
1.06.1.06.01.01.01.5.2.2.03.07. ,Belanja paket/pengiriman ,1000000,Belanja paket/pengiriman 1000000.00  Belanja paket/pengiriman 1000000.00
1.06.1.06.01.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER ,93000000, DAYA AIR DAN LISTRIK
1.06.1.06.01.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,93000000,
1.06.1.06.01.01.02.5.2.2.03. ,Belanja Jasa Kantor ,93000000,
1.06.1.06.01.01.02.5.2.2.03.01. ,Belanja telephon ,9600000,Belanja telephon 9600000.00  Belanja telepon 9600000.00
1.06.1.06.01.01.02.5.2.2.03.02. ,Belanja air ,3600000,Belanja air 3600000.00  Belanja air 3600000.00
1.06.1.06.01.01.02.5.2.2.03.03. ,Belanja listrik ,37800000,Belanja listrik 37800000.00  Belanja listrik37800000.00
1.06.1.06.01.01.02.5.2.2.03.06. ,Belanja kawat/faksimili/internet ,42000000,Belanja kawat/faksimili/internet42000000.00  Belanja internet42000000.00
1.06.1.06.01.01.06. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,6150000, PERIZINAN KENDARAAN DINAS/OPERASIONAL
1.06.1.06.01.01.06.5.2.2. ,BELANJA BARANG DAN JASA ,6150000,
1.06.1.06.01.01.06.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,6150000,
1.06.1.06.01.01.06.5.2.2.05.05. ,Belanja Surat Tanda Nomor Kendaraan ,6150000,Belanja Surat Tanda Nomor Kendaraan6150000.00  Roda 4 AB 89 D 800000.00 Roda 4 AB 1079 CD 450000.00 Roda 4 AB 1593 BD 1200000.00 Roda 4 AB 19 D 900000.00 Ganti Plat AB 19 D 200000.00 Roda 2 2600000.00
1.06.1.06.01.01.07. ,PENYEDIAAN JASA ADMINISTRASI ,26400000, KEUANGAN
1.06.1.06.01.01.07.5.2.1. ,BELANJA PEGAWAI ,26400000,
1.06.1.06.01.01.07.5.2.1.01. ,Honorarium PNS ,26400000,
1.06.1.06.01.01.07.5.2.1.01.03. ,Honorarium Bendahara^ Pembantu Bendaraha ,26400000,Honorarium Bendahara. Pembantu Bendaraha 26400000.00  Honorarium bendahara pengeluaran3000000.00 Honorarium pembantu bendahara pengeluaran (3 orang) 7200000.00 Honorarium pengurus barang 2700000.00 Honorarium penyimpan barang 2700000.00 Honorarium pembantu penyimpan barang 2100000.00 Honorarium PPK SKPD 3300000.00 Honorarium Pembantu PPK SKPD (2 orang)5400000.00
1.06.1.06.01.01.08. ,PENYEDIAAN JASA KEBERSIHAN KANTOR ,60750000,
1.06.1.06.01.01.08.5.2.1. ,BELANJA PEGAWAI ,750000,
1.06.1.06.01.01.08.5.2.1.01. ,Honorarium PNS ,750000,
1.06.1.06.01.01.08.5.2.1.01.02. ,Honorarium Panitia Pengadaan Barang dan Jasa ,750000,Honorarium Panitia Pengadaan Barang dan Jasa 750000.00  Pejabat Pengadaan 250000.00 Pejabat Pemeriksa 250000.00 PPK/PPTK 250000.00
1.06.1.06.01.01.08.5.2.2. ,BELANJA BARANG DAN JASA ,60000000,
1.06.1.06.01.01.08.5.2.2.03. ,Belanja Jasa Kantor ,60000000,
1.06.1.06.01.01.08.5.2.2.03.20. ,Belanja Cleaning servis ,60000000,Belanja Cleaning servis 60000000.00  Belanja jasa cleaning service Gedung BAPPEDA 60000000.00
1.06.1.06.01.01.09. ,PENYEDIAAN JASA PERBAIKAN PERALATAN ,11600000, KERJA
1.06.1.06.01.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,11600000,
1.06.1.06.01.01.09.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,11600000, kantor
1.06.1.06.01.01.09.5.2.2.18.01. ,Belanja pemeliharaan perlatan kantor ,7100000,Belanja pemeliharaan perlatan kantor 7100000.00  Komputer/Notebook 4500000.00 Mesin tik 600000.00 printer 2000000.00
1.06.1.06.01.01.09.5.2.2.18.02. ,Belanja pemeliharaan perlengkapan kantor ,4500000,Belanja pemeliharaan perlengkapan kantor 4500000.00  AC 4500000.00
1.06.1.06.01.01.10. ,PENYEDIAAN ALAT TULIS KANTOR ,11000000,
1.06.1.06.01.01.10.5.2.2. ,BELANJA BARANG DAN JASA ,11000000,
1.06.1.06.01.01.10.5.2.2.01. ,Belanja Bahan Pakai Habis ,11000000,
1.06.1.06.01.01.10.5.2.2.01.01. ,Belanja alat tulis kantor ,11000000,Belanja alat tulis kantor11000000.00  Belanja alat tulis kantor11000000.00
1.06.1.06.01.01.11. ,PENYEDIAAN BARANG CETAKAN DAN ,10500000, PENGGANDAAN
1.06.1.06.01.01.11.5.2.2. ,BELANJA BARANG DAN JASA ,10500000,
1.06.1.06.01.01.11.5.2.2.06. ,Belanja Cetak dan Penggandaan ,10500000,
1.06.1.06.01.01.11.5.2.2.06.01. ,Belanja Cetak ,6000000,Belanja Cetak6000000.00  Belanja cetak administrasi perkantoran6000000.00
1.06.1.06.01.01.11.5.2.2.06.02. ,Belanja Penggandaan/Foto copy ,4500000,Belanja Penggandaan/Foto copy4500000.00  Belanja penggandaan/fotocopy4500000.00
1.06.1.06.01.01.12. ,PENYEDIAAN KOMPONEN INSTALASI ,3500000, LISTRIK/PENERANGAN BANGUNAN KANTOR
1.06.1.06.01.01.12.5.2.2. ,BELANJA BARANG DAN JASA ,3500000,
1.06.1.06.01.01.12.5.2.2.01. ,Belanja Bahan Pakai Habis ,3500000,
1.06.1.06.01.01.12.5.2.2.01.03. ,Belanja alat listrik dan elektronika (lampu pijar^ ,3500000,Belanja alat listrik dan elektronika (lampu pijar. batery keri3500000.00  batery keri Belanja alat listrik dan elektronik3500000.00
1.06.1.06.01.01.13. ,PENYEDIAAN PERALATAN DAN ,112100000, PERLENGKAPAN KANTOR
1.06.1.06.01.01.13.5.2.3. ,BELANJA  MODAL ,112100000,
1.06.1.06.01.01.13.5.2.3.11. ,Belanja Modal Pengadaan Perlengkapan ,2000000, Kantor
1.06.1.06.01.01.13.5.2.3.11.05. ,Belanja modal pengadaan white board ,2000000,Belanja modal pengadaan white board 2000000.00  Pembelian whiteboard 2000000.00 Harga beli 2000000.00
1.06.1.06.01.01.13.5.2.3.12. ,Belanja Modal Pengadaan Komputer ,95600000,
1.06.1.06.01.01.13.5.2.3.12.01. ,Belanja modal pengadaan komputer ,85600000,Belanja modal pengadaan komputer mainframe/server85600000.00  mainframe/server Server85000000.00 Pejabat pengadaan 300000.00 Pejabat penerima 300000.00
