Judul,Realisasi Anggaran Pendapatan Belanja Daerah,,,,,
Daerah,Kabupaten Sleman,,,,,
Tahun,2015,,,,,
Kode Organisasi,1.06.01,,,,,
Nama Organisasi,Badan Perencanaan Pembangunan Daerah,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
,Jumlah Pendapatan,0.00,0.00,0.00,0.00,
,BELANJA DAERAH,13083830564.00,12625069150.00,-458761414.00,-351.00,
1,URUSAN WAJIB,4093805000.00,4093805000.00,0.00,0.00,
1.06,Perencanaan Pembangunan,4093805000.00,4093805000.00,0.00,0.00,
1.06.1.06.01.00.00.002,Belanja Tidak Langsung,4093805000.00,4093805000.00,0.00,0.00,Peraturan Pemerintah Nomor 30 Tahun 2015 Tentang Perubahan Ketujuh Belas atas Peraturan Pemerintah Nomor 7 Tahun 1977 Tentang Peraturan Gaji PNS.
1.06.1.06.01.00.00.002.511,Belanja Pegawai,4093805000.00,4093805000.00,0.00,0.00,
,Belanja Langsung,8990025564.00,8531264150.00,-458761414.00,-51.00,
1.06.1.06.01.00.01,Program Pelayanan Administrasi Perkantoran,976698189.00,960552325.00,-16145864.00,-165.00,
1.06.1.06.01.00.02,Program peningkatan sarana dan prasarana aparatur,662176000.00,760601000.00,98425000.00,1486.00,
1.06.1.06.01.00.05,Program peningkatan kapasitas sumber daya aparatur,50216500.00,39295000.00,-10921500.00,-2175.00,
1.06.1.06.01.00.06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,267936400.00,267936400.00,0.00,0.00,
1.06.1.06.01.00.15,Program Pengembangan data/informasi,368651000.00,252440000.00,-116211000.00,-3152.00,
1.06.1.06.01.00.15.002,Penyusunan dan pengumpulan data informasi kebutuhan penyusunan dokumen perencanaan,162827000.00,80955000.00,-81872000.00,-5028.00,
1.06.1.06.01.00.15.009,Penyusunan Indikator Kinerja,205824000.00,171485000.00,-34339000.00,-1668.00,
1.06.1.06.01.00.16,Program Kerjasama Pembangunan,350302500.00,357095000.00,6792500.00,194.00,
1.06.1.06.01.00.16.002,Koordinasi kerjasama pembangunan antar daerah,350302500.00,357095000.00,6792500.00,194.00,
1.06.1.06.01.00.21,Program perencanaan pembangunan daerah,2354095100.00,2267347450.00,-86747650.00,-368.00,
1.06.1.06.01.00.21.005,Penyusunan rancangan RPJMD,255402925.00,232377425.00,-23025500.00,-902.00,
1.06.1.06.01.00.21.006,Penyelenggaraan musrenbang RPJMD,128534850.00,0.00,-128534850.00,-100.00,
1.06.1.06.01.00.21.008,Penyusunan RKPD,249420500.00,305758200.00,56337700.00,2259.00,
1.06.1.06.01.00.21.009,Penyelenggaraan musrenbang RKPD,368283000.00,368283000.00,0.00,0.00,
1.06.1.06.01.00.21.014,"Monitoring, evaluasi dan pelaporan pelaksanaan capaian sasaran program",76579750.00,85064750.00,8485000.00,1108.00,
1.06.1.06.01.00.21.015,Penyusunan KUA dan PPAS,566630600.00,566630600.00,0.00,0.00,
1.06.1.06.01.00.21.016,Perencanaan dan Monitoring DAK,110119500.00,110119500.00,0.00,0.00,
1.06.1.06.01.00.21.017,Perencanaan dan Monitoring Dana Tugas Pembantuan dan Dekonsentrasi,85850000.00,85850000.00,0.00,0.00,
1.06.1.06.01.00.21.018,Penyusunan Renstra SKPD,67858000.00,67858000.00,0.00,0.00,
1.06.1.06.01.00.21.033,Analisis dan evaluasi pelaporan pelaksanaan pembangunan,140856000.00,140856000.00,0.00,0.00,
1.06.1.06.01.00.21.036,Evaluasi Millenium Development Goals,114884000.00,114884000.00,0.00,0.00,
1.06.1.06.01.00.21.039,Penyusunan rencana pembangunan wilayah terpadu,189675975.00,189665975.00,-10.00,-1.00,
1.06.1.06.01.00.22,Program perencanaan pembangunan ekonomi,986414000.00,959029000.00,-27385000.00,-278.00,
1.06.1.06.01.00.22.004,Koordinasi perencanaan pembangunan bidang ekonomi,267561000.00,236947000.00,-30614000.00,-1144.00,
1.06.1.06.01.00.22.006,Penyusunan masterplan penanggulangan kemiskinan,162699000.00,162699000.00,0.00,0.00,
1.06.1.06.01.00.22.022,Perencanaan Pembangunan Pariwisata,118612000.00,115586000.00,-3026000.00,-255.00,
1.06.1.06.01.00.22.023,"Perencanaan Pengembangan Perindustrian, Perdagangan dan Koperasi",83014000.00,82623000.00,-391.00,-47.00,
1.06.1.06.01.00.22.024,Perencanaan Pengembangan Pertanian,109202000.00,108743000.00,-459.00,-42.00,
1.06.1.06.01.00.22.025,Perencanaan Pengembangan Investasi,128149000.00,114356000.00,-13793000.00,-1076.00,
1.06.1.06.01.00.22.026,Perencanaan Pengembangan Tenaga Kerja,117177000.00,138075000.00,20898000.00,1783.00,
1.06.1.06.01.00.23,Program perencanaan sosial budaya,340405000.00,329750000.00,-10655000.00,-313.00,
1.06.1.06.01.00.23.006,Perencanaan pengembangan pendidikan,103230500.00,103230500.00,0.00,0.00,
1.06.1.06.01.00.23.008,Perencanaan pengembangan sosial,96768500.00,96768500.00,0.00,0.00,
