"Judul","Penjabaran Anggaran Pendapatan dan Belanja ",,
"Daerah","Kabupaten Sleman",,
"Tahun ",2016,,
"Kode Organisasi","1.02.05.00",,
"Nama Organisasi","Dinas Kesehatan",,
"Kolom",4,,
"Kode Rekening","URAIAN","JUMLAH","Keterangan"
1,"URUSAN WAJIB",42131954200,
"1.02","Kesehatan",42131954200,
"1.02.1.02.05.00.00.001","Pendapatan",42131954200,"Peraturan Bupati Nomor 74 Tahun 2011 Tentang Tarif Pelayanan Laboratorium Kesehatan Peraturan Bupati Nomor 59 Tahun 2012 Tentang Tarif Pelayanan Kesehatan pada Puskesmas Peraturan Bupati Nomor 80 Tahun 2011 sebagaimana diubah dengan Peraturan Bupati Nomor 15 Tahun 2012 Tentang Tarif Pelayanan Kesehatan pada Rumah Sakit Umum Daerah"
"1.02.1.02.05.00.00.001.41","Pendapatan Asli Daerah",42131954200,
"1.02.1.02.05.00.00.001.414","Lain-lain Pendapatan Asli Daerah yang Sah",42131954200,
,"Jumlah Pendapatan",42131954200,
,"BELANJA DAERAH",203605560850,
1,"URUSAN WAJIB",56718869000,
"1.02","Kesehatan",56718869000,
"1.02.1.02.05.00.00.002","Belanja Tidak Langsung",56718869000,"Peraturan Pemerintah Nomor 30 Tahun 2015 Tentang Perubahan Ketujuh Belas atas Peraturan Pemerintah Nomor 7 Tahun 1977 Tentang Peraturan Gaji PNS"
"1.02.1.02.05.00.00.002.511","Belanja Pegawai",56718869000,
,"Belanja Langsung",146886691850,
1,"URUSAN WAJIB",146886691850,
"1.02","Kesehatan",145495755850,
"1.02.1.02.05.00.01","Program Pelayanan Administrasi Perkantoran",2100385025,
"1.02.1.02.05.00.01.007","Penyediaan jasa administrasi keuangan",265000000,
"1.02.1.02.05.00.01.007.521","Belanja Pegawai",265000000,
"1.02.1.02.05.00.01.017","Penyediaan makanan dan minuman rapat",60000000,
"1.02.1.02.05.00.01.017.522","Belanja Barang Dan Jasa",60000000,
"1.02.1.02.05.00.01.018","Rapat-rapat Koordinasi dan konsultasi",90000000,
"1.02.1.02.05.00.01.018.522","Belanja Barang Dan Jasa",90000000,
"1.02.1.02.05.00.01.020","Penyediaan bahan dan jasa administrasi perkantoran",761631525,
"1.02.1.02.05.00.01.020.521","Belanja Pegawai",7390500,
"1.02.1.02.05.00.01.020.522","Belanja Barang Dan Jasa",754241025,
"1.02.1.02.05.00.01.023","Penyediaan jasa langganan",300890000,
"1.02.1.02.05.00.01.023.522","Belanja Barang Dan Jasa",300890000,
"1.02.1.02.05.00.01.024","Penyediaan jasa keamanan dan kebersihan kantor",622863500,
"1.02.1.02.05.00.01.024.521","Belanja Pegawai",395894000,
"1.02.1.02.05.00.01.024.522","Belanja Barang Dan Jasa",226969500,
