Judul,Penjabaran Anggaran Pendapatan dan Belanja,,
Daerah,Kabupaten Sleman,,
Tahun,2016,,
Kode Organisasi,1.06.01.00,,
Nama Organisasi,Dinas Pendidikan Pemuda dan Olahraga,,
Kolom,4,,
Kode Rekening,URAIAN,JUMLAH,Keterangan
1.01.1.01.06.00.00.002.5,BELANJA DAERAH,844488091984.22,
1,URUSAN WAJIB,747558976879.22,
1.01,Pendidikan,747558976879.22,
1.01.1.01.06.00.00.002.5.1,Belanja Tidak Langsung,747558976879.22,"Peraturan Pemerintah Nomor 30 Tahun 2015 Tentang Perubahan Ketujuh Belas atas Peraturan Pemerintah Nomor 7 Tahun 1977 Tentang Peraturan Gaji PNS, Lembaran Negara RI Tahun 2015 Nomor 123"
1.01.1.01.06.00.00.002.5.1.1,Belanja Pegawai,747558976879.22,
1.01.1.01.06.00.00.002.5.2,Belanja Langsung,96929115105,
1,URUSAN WAJIB,96929115105,
1.01,Pendidikan,92783227405,
1.01.1.01.06.00.01,Program Pelayanan Administrasi Perkantoran,7459108050,
1.01.1.01.06.00.01.007,Penyediaan jasa administrasi keuangan,1578900000,
1.01.1.01.06.00.01.007.5.2.1,Belanja Pegawai,1578900000,
1.01.1.01.06.00.01.017,Penyediaan makanan dan minuman rapat,250000000,
1.01.1.01.06.00.01.017.5.2.2,Belanja Barang Dan Jasa,250000000,
1.01.1.01.06.00.01.018,Rapat-rapat Koordinasi dan konsultasi,295000000,
1.01.1.01.06.00.01.018.5.2.2,Belanja Barang Dan Jasa,295000000,
1.01.1.01.06.00.01.020,Penyediaan bahan dan jasa administrasi perkantoran,3630708050,
1.01.1.01.06.00.01.020.5.2.2,Belanja Barang Dan Jasa,3630708050,
1.01.1.01.06.00.01.023,Penyediaan jasa langganan,1304500000,
1.01.1.01.06.00.01.023.5.2.2,Belanja Barang Dan Jasa,1304500000,
1.01.1.01.06.00.01.024,Penyediaan jasa keamanan dan kebersihan kantor,400000000,
1.01.1.01.06.00.01.024.5.2.1,Belanja Pegawai,54548000,
1.01.1.01.06.00.01.024.5.2.2,Belanja Barang Dan Jasa,345452000,
1.01.1.01.06.00.02,Program peningkatan sarana dan prasarana aparatur,1798010000,
1.01.1.01.06.00.02.022,Pemeliharaan rutin/berkala gedung kantor dan rumah dinas,1078000000,
1.01.1.01.06.00.02.022.5.2.2,Belanja Barang Dan Jasa,1078000000,
1.01.1.01.06.00.02.024,Pemeliharaan rutin/berkala kendaraan dinas/operasional,572010000,
1.01.1.01.06.00.02.024.5.2.2,Belanja Barang Dan Jasa,572010000,
1.01.1.01.06.00.02.033,Pengadaan perlengkapan dan peralatan gedung kantor dan rumah dinas,148000000,
1.01.1.01.06.00.02.033.5.2.2,Belanja Barang Dan Jasa,148000000,
