JUDUL,ANGGARAN PENDAPATAN DAN BELANJA DAERAH,,
DAERAH,KOTA YOGYAKARTA,,
TAHUN,2016,,
KODE ORGANISASI,1.13.01,,
NAMA ORGANISASI,DINAS SOSIAL, TENAGA KERJA DAN TRANSMIGRASI,,
KOLOM,4,,
,,,
KODE REKENING , URAIAN  ,ANGGARAN,KETERANGAN
,,,
1.13.1.13.01.000.000.4 ,PENDAPATAN DAERAH ,,
"1.13.1.13.01.000.000.5 ,BELANJA DAERAH ,"" 23,308,998,703 "","
"1.13.1.13.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1 ,BELANJA PEGAWAI ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,"" 5,079,904,126 "",Gaji Pokok PNS/Uang Representasi (DAU) 5079904126"
"1.13.1.13.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,"" 457,114,629 "",Tunjangan Keluarga (DAU) 457114629"
"1.13.1.13.01.000.000.5.1.1.01.03 ,Tunjangan Jabatan Struktural (DAU) ,"" 232,972,250 "",Tunjangan Jabatan Struktural (DAU) 232972250"
"1.13.1.13.01.000.000.5.1.1.01.04 ,Tunjangan Jabatan Fungsional (DAU) ,"" 455,302,500 "",Tunjangan Jabatan Fungsional (DAU) 455302500"
"1.13.1.13.01.000.000.5.1.1.01.05 ,Tunjangan Fungsional Umum (DAU) ,"" 188,872,750 "",Tunjangan Fungsional Umum (DAU) 188872750"
"1.13.1.13.01.000.000.5.1.1.01.06 ,Tunjangan Beras (DAU) ,"" 274,454,732 "",Tunjangan Beras (DAU) 274454732"
"1.13.1.13.01.000.000.5.1.1.01.07 ,Tunjangan  PPh/Tunjangan Khusus (DAU) ,"" 140,010,625 "",Tunjangan  PPh/Tunjangan Khusus (DAU) 140010625"
"1.13.1.13.01.000.000.5.1.1.01.08 ,Pembulatan Gaji (DAU) ,"" 82,697 "",Pembulatan Gaji (DAU) 82697"
"1.13.1.13.01.000.000.5.1.1.01.09 ,Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) ,"" 142,844,166 "",Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) 142844166"
"1.13.1.13.01.000.000.5.2 ,BELANJA LANGSUNG ,"" 16,337,440,228 "","
"1.13.1.13.01.001 ,Program Pelayanan Administrasi Perkantoran ,"" 1,342,436,824 "","
"1.13.1.13.01.001.001 ,Penyediaan Jasa Surat Menyurat ,"" 7,060,000 "","
"1.13.1.13.01.001.001.5.2.2 ,BELANJA BARANG DAN JASA ,"" 7,060,000 "","
"1.13.1.13.01.001.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 7,060,000 "","
"1.13.1.13.01.001.001.5.2.2.01.04 ,""Belanja Perangko, Materai, dan Benda Pos "","" 7,060,000 "",""Belanja Perangko, Materai, dan Benda Pos 7060000"""
,,,
"1.13.1.13.01.001.002 ,""Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik "","" 4,200,000 "","
"1.13.1.13.01.001.002.5.2.2 ,BELANJA BARANG DAN JASA ,"" 4,200,000 "","
"1.13.1.13.01.001.002.5.2.2.03 ,Belanja Jasa Kantor ,"" 4,200,000 "","
"1.13.1.13.01.001.002.5.2.2.03.01 ,Belanja Telepon ,"" 4,200,000 "",Belanja Telepon 4200000"
,,,
"1.13.1.13.01.001.006 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasinoal ,"" 21,977,000 "","
"1.13.1.13.01.001.006.5.2.2 ,BELANJA BARANG DAN JASA ,"" 21,977,000 "","
"1.13.1.13.01.001.006.5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,"" 21,977,000 "","
"1.13.1.13.01.001.006.5.2.2.05.04 ,Belanja Jasa KIR ,"" 240,000 "",Belanja Jasa KIR 240000"
,,,
"1.13.1.13.01.001.006.5.2.2.05.05 ,Belanja STNK ,"" 21,737,000 "",Belanja STNK 21737000"
,,,
"1.13.1.13.01.001.007 ,Penyediaan Jasa Administrasi Keuangan ,"" 65,100,000 "","
"1.13.1.13.01.001.007.5.2.1 ,BELANJA PEGAWAI ,"" 65,100,000 "","
"1.13.1.13.01.001.007.5.2.1.01 ,Honorarium PNS ,"" 65,100,000 "","
"1.13.1.13.01.001.007.5.2.1.01.04 ,Honorarium Pengelola Keuangan/Barang ,"" 65,100,000 "",Honorarium Pengelola Keuangan/Barang 65100000"
,,,
"1.13.1.13.01.001.008 ,Penyediaan Jasa Kebersihan Kantor ,"" 133,137,791 "","
"1.13.1.13.01.001.008.5.2.1 ,BELANJA PEGAWAI ,"" 695,000 "","
"1.13.1.13.01.001.008.5.2.1.01 ,Honorarium PNS ,"" 695,000 "","
"1.13.1.13.01.001.008.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 370,000 "",Honorarium Panitia Pelaksana Kegiatan 370000"
,,,
"1.13.1.13.01.001.008.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 325,000 "",Honorarium Tim Pengadaan Barang dan Jasa 325000"
,,,
"1.13.1.13.01.001.008.5.2.2 ,BELANJA BARANG DAN JASA ,"" 132,442,791 "","
"1.13.1.13.01.001.008.5.2.2.02 ,Belanja Bahan/Material ,"" 9,537,500 "","
"1.13.1.13.01.001.008.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"" 9,537,500 "",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 9537500"
,,,
"1.13.1.13.01.001.008.5.2.2.03 ,Belanja Jasa Kantor ,"" 18,080,000 "","
