Judul;PENJABARAN ANGGARAN PENDAPATAN BELANJA DAERAH;;
Daerah;KOTA YOGYAKARTA;;
Tahun;2016;;
Kode Organisasi;1.13.01;;
Nama Organisasi; DINAS SOSIAL, TENAGA KERJA DAN TRANSMIGRASI ;;
Kolom;4;;
KODE REKENING ; URAIAN  ;ANGGARAN;KETERANGAN
1.13.1.13.01.000.000.4 ;PENDAPATAN DAERAH ;;
1.13.1.13.01.000.000.5 ;BELANJA DAERAH ;23308998703;
1.13.1.13.01.000.000.5.1 ;BELANJA TIDAK LANGSUNG ;6971558475;
1.13.1.13.01.000.000.5.1.1 ;BELANJA PEGAWAI ;6971558475;
1.13.1.13.01.000.000.5.1.1.01 ;Belanja Gaji Dan Tunjangan ;6971558475;
1.13.1.13.01.000.000.5.1.1.01.01 ;Gaji Pokok PNS/Uang Representasi (DAU) ;5079904126;Gaji Pokok PNS/Uang Representasi (DAU) 5079904126
1.13.1.13.01.000.000.5.1.1.01.02 ;Tunjangan Keluarga (DAU) ;457114629;Tunjangan Keluarga (DAU) 457114629
1.13.1.13.01.000.000.5.1.1.01.03 ;Tunjangan Jabatan Struktural (DAU) ;232972250;Tunjangan Jabatan Struktural (DAU) 232972250
1.13.1.13.01.000.000.5.1.1.01.04 ;Tunjangan Jabatan Fungsional (DAU) ;455302500;Tunjangan Jabatan Fungsional (DAU) 455302500
1.13.1.13.01.000.000.5.1.1.01.05 ;Tunjangan Fungsional Umum (DAU) ;188872750;Tunjangan Fungsional Umum (DAU) 188872750
1.13.1.13.01.000.000.5.1.1.01.06 ;Tunjangan Beras (DAU) ;274454732;Tunjangan Beras (DAU) 274454732
1.13.1.13.01.000.000.5.1.1.01.07 ;Tunjangan  PPh/Tunjangan Khusus (DAU) ;140010625;Tunjangan  PPh/Tunjangan Khusus (DAU) 140010625
1.13.1.13.01.000.000.5.1.1.01.08 ;Pembulatan Gaji (DAU) ;82697;Pembulatan Gaji (DAU) 82697
1.13.1.13.01.000.000.5.1.1.01.09 ;Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) ;142844166;Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) 142844166
1.13.1.13.01.000.000.5.2 ;BELANJA LANGSUNG ;16337440228;
1.13.1.13.01.001 ;Program Pelayanan Administrasi Perkantoran ;1342436824;
1.13.1.13.01.001.001 ;Penyediaan Jasa Surat Menyurat ;7060000;
1.13.1.13.01.001.001.5.2.2 ;BELANJA BARANG DAN JASA ;7060000;
1.13.1.13.01.001.001.5.2.2.01 ;Belanja Bahan Pakai Habis ;7060000;
1.13.1.13.01.001.001.5.2.2.01.04 ;Belanja Perangko, Materai, dan Benda Pos ;7060000;Belanja Perangko, Materai, dan Benda Pos 7060000
1.13.1.13.01.001.002 ;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik ;4200000;
1.13.1.13.01.001.002.5.2.2 ;BELANJA BARANG DAN JASA ;4200000;
1.13.1.13.01.001.002.5.2.2.03 ;Belanja Jasa Kantor ;4200000;
1.13.1.13.01.001.002.5.2.2.03.01 ;Belanja Telepon ;4200000;Belanja Telepon 4200000
1.13.1.13.01.001.006 ;Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasinoal ;21977000;
1.13.1.13.01.001.006.5.2.2 ;BELANJA BARANG DAN JASA ;21977000;
1.13.1.13.01.001.006.5.2.2.05 ;Belanja Perawatan Kendaraan Bermotor ;21977000;
1.13.1.13.01.001.006.5.2.2.05.04 ;Belanja Jasa KIR ;240000;Belanja Jasa KIR 240000
1.13.1.13.01.001.006.5.2.2.05.05 ;Belanja STNK ;21737000;Belanja STNK 21737000
1.13.1.13.01.001.007 ;Penyediaan Jasa Administrasi Keuangan ;65100000;
1.13.1.13.01.001.007.5.2.1 ;BELANJA PEGAWAI ;65100000;
1.13.1.13.01.001.007.5.2.1.01 ;Honorarium PNS ;65100000;
1.13.1.13.01.001.007.5.2.1.01.04 ;Honorarium Pengelola Keuangan/Barang ;65100000;Honorarium Pengelola Keuangan/Barang 65100000
1.13.1.13.01.001.008 ;Penyediaan Jasa Kebersihan Kantor ;133137791;
1.13.1.13.01.001.008.5.2.1 ;BELANJA PEGAWAI ;695000;
1.13.1.13.01.001.008.5.2.1.01 ;Honorarium PNS ;695000;
1.13.1.13.01.001.008.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;370000;Honorarium Panitia Pelaksana Kegiatan 370000
1.13.1.13.01.001.008.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;325000;Honorarium Tim Pengadaan Barang dan Jasa 325000
1.13.1.13.01.001.008.5.2.2 ;BELANJA BARANG DAN JASA ;132442791;
1.13.1.13.01.001.008.5.2.2.02 ;Belanja Bahan/Material ;9537500;
1.13.1.13.01.001.008.5.2.2.02.07 ;Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ;9537500;Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 9537500
1.13.1.13.01.001.008.5.2.2.03 ;Belanja Jasa Kantor ;18080000;
1.13.1.13.01.001.008.5.2.2.03.27 ;Belanja Jasa Penyedia /Tenaga Teknis ;18080000;Belanja Jasa Penyedia /Tenaga Teknis 18080000
1.13.1.13.01.001.008.5.2.2.20 ;Belanja Pemeliharaan ;104825291;
1.13.1.13.01.001.008.5.2.2.20.09 ;Belanja Pemeliharaan Kebersihan ;104825291;Belanja Pemeliharaan Kebersihan 104825291
1.13.1.13.01.001.010 ;Penyediaan Alat Tulis Kantor ;51235400;
1.13.1.13.01.001.010.5.2.2 ;BELANJA BARANG DAN JASA ;51235400;
1.13.1.13.01.001.010.5.2.2.01 ;Belanja Bahan Pakai Habis ;51235400;
1.13.1.13.01.001.010.5.2.2.01.01 ;Belanja  Alat Tulis Kantor ;51235400;Belanja  Alat Tulis Kantor 51235400
1.13.1.13.01.001.011 ;Penyediaan Barang Cetakan dan Penggandaan ;46225000;
1.13.1.13.01.001.011.5.2.2 ;BELANJA BARANG DAN JASA ;46225000;
1.13.1.13.01.001.011.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;46225000;
1.13.1.13.01.001.011.5.2.2.06.02 ;Belanja Penggandaan ;46225000;Belanja Penggandaan 46225000
1.13.1.13.01.001.012 ;Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor ;24593000;
1.13.1.13.01.001.012.5.2.2 ;BELANJA BARANG DAN JASA ;24593000;
1.13.1.13.01.001.012.5.2.2.01 ;Belanja Bahan Pakai Habis ;24593000;
1.13.1.13.01.001.012.5.2.2.01.03 ;Belanja Alat Listrik Dan Elektronik ;24593000;Belanja Alat Listrik Dan Elektronik 24593000
1.13.1.13.01.001.013 ;Penyediaan Peralatan dan Perlengkapan Kantor ;43666290;
1.13.1.13.01.001.013.5.2.2 ;BELANJA BARANG DAN JASA ;43666290;
1.13.1.13.01.001.013.5.2.2.02 ;Belanja Bahan/Material ;35553290;
1.13.1.13.01.001.013.5.2.2.02.06 ;Belanja Bahan Komputer/Printer ;35553290;Belanja Bahan Komputer/Printer 35553290
1.13.1.13.01.001.013.5.2.2.20 ;Belanja Pemeliharaan ;8113000;
1.13.1.13.01.001.013.5.2.2.20.04 ;Belanja Pemeliharaan Peralatan Dan Perlengkapan Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio ;6113000;Belanja Pemeliharaan Peralatan Dan Perlengkapan 6113000Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio
1.13.1.13.01.001.013.5.2.2.20.11 ;Belanja Pemeliharaan Komputer ;2000000;Belanja Pemeliharaan Komputer 2000000
1.13.1.13.01.001.015 ;Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan ;5100000;
1.13.1.13.01.001.015.5.2.2 ;BELANJA BARANG DAN JASA ;5100000;
1.13.1.13.01.001.015.5.2.2.02 ;Belanja Bahan/Material ;300000;
1.13.1.13.01.001.015.5.2.2.02.07 ;Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ;300000;Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 300000
1.13.1.13.01.001.015.5.2.2.03 ;Belanja Jasa Kantor ;4800000;
