Judul;Anggaran Pendapatan Belanja Daerah;;
Daerah; Kota Yogyakarta;;
Tahun;2014;;
Kode Organisasi;1.20.11;;
Nama Organisasi;Badan Penanggulangan Bencana Daerah;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.20.11 ;Badan Penanggulangan Bencana Daerah ;15291318081;
1.20.1.20.11.000.000.4.1 ;PENDAPATAN ASLI DAERAH ;58000000;
1.20.1.20.11.000.000.4.1.2 ;HASIL RETRIBUSI DAERAH ;58000000;
1.20.1.20.11.000.000.4.1.2.02 ;Retribusi Jasa Usaha ;58000000;
1.20.1.20.11.000.000.4.1.2.02.01 ;Retribusi Pemakaian Kekayaan Daerah ;58000000;Retribusi Pemakaian Kekayaan Daerah 58000000 Perda No. 4 Th. 2014
1.20.1.20.11.000.000.5.1 ;BELANJA TIDAK LANGSUNG ;3634148239;
1.20.1.20.11.000.000.5.1.1 ;BELANJA PEGAWAI ;3634148239;
1.20.1.20.11.000.000.5.1.1.01 ;Belanja Gaji Dan Tunjangan ;3634148239;
1.20.1.20.11.000.000.5.1.1.01.01 ;Gaji Pokok PNS/Uang Representasi (DAU) ;2860052983;Gaji Pokok PNS/Uang Representasi (DAU) 2860052983
1.20.1.20.11.000.000.5.1.1.01.02 ;Tunjangan Keluarga (DAU) ;287160904;Tunjangan Keluarga (DAU) 287160904
1.20.1.20.11.000.000.5.1.1.01.03 ;Tunjangan Jabatan Struktural (DAU) ;45571500;Tunjangan Jabatan Struktural (DAU) 45571500
1.20.1.20.11.000.000.5.1.1.01.05 ;Tunjangan Fungsional Umum (DAU) ;173491500;Tunjangan Fungsional Umum (DAU) 173491500
1.20.1.20.11.000.000.5.1.1.01.06 ;Tunjangan Beras (DAU) ;228583987;Tunjangan Beras (DAU) 228583987
1.20.1.20.11.000.000.5.1.1.01.07 ;Tunjangan  PPh/Tunjangan Khusus (DAU) ;39226165;Tunjangan  PPh/Tunjangan Khusus (DAU) 39226165
1.20.1.20.11.000.000.5.1.1.01.08 ;Pembulatan Gaji (DAU) ;61200;Pembulatan Gaji (DAU) 61200
1.20.1.20.11.000.000.5.2 ;BELANJA LANGSUNG ;11657169842;
1.20.1.20.11.001.000.5.2 ;Program Pelayanan Administrasi Perkantoran ;1037518467;
