Judul;Penjabaran Anggaran Pendaptan Belanja Daerah;;
Daerah;Kota Yogyakarta;;
Tahun;2016;;
Kode Organisasi;1.17.01;;
Nama Organisasi;Dinas Pariwisata dan Kebudayaan;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.17.1.17.01.000.000.4 ;PENDAPATAN DAERAH ;3034315000;
1.17.1.17.01.000.000.4.1 ;PENDAPATAN ASLI DAERAH ;3034315000;
1.17.1.17.01.000.000.4.1.2 ;HASIL RETRIBUSI DAERAH ;3034315000;
1.17.1.17.01.000.000.4.1.2.01 ;Retribusi Jasa Umum ;580000000;
1.17.1.17.01.000.000.4.1.2.01.05 ;Retribusi Pelayanan Parkir Di Tepi Jalan Umum ;580000000;Retribusi Pelayanan Parkir Di Tepi Jalan Umum 580000000 Perda No 5 Tahun 2012
1.17.1.17.01.000.000.4.1.2.02 ;Retribusi Jasa Usaha ;2454315000;
1.17.1.17.01.000.000.4.1.2.02.05 ;Retribusi Tempat Khusus Parkir ;2454315000;Retribusi Tempat Khusus Parkir 2454315000 Perda No 4 Tahun 2012
1.17.1.17.01.000.000.5 ;BELANJA DAERAH ;21559071161;215597116#1Error #Error
1.17.1.17.01.000.000.5.1 ;BELANJA TIDAK LANGSUNG ;3349771088;
1.17.1.17.01.000.000.5.1.1 ;BELANJA PEGAWAI ;3349771088;
1.17.1.17.01.000.000.5.1.1.01 ;Belanja Gaji Dan Tunjangan ;3198055338;
1.17.1.17.01.000.000.5.1.1.01.01 ;Gaji Pokok PNS/Uang Representasi (DAU) ;2399242152;Gaji Pokok PNS/Uang Representasi (DAU) 2399242152
1.17.1.17.01.000.000.5.1.1.01.02 ;Tunjangan Keluarga (DAU) ;232680142; Tunjangan Keluarga (DAU) 232680142
1.17.1.17.01.000.000.5.1.1.01.03 ;Tunjangan Jabatan Struktural (DAU) ;203411250; Tunjangan Jabatan Struktural (DAU) 203411250
1.17.1.17.01.000.000.5.1.1.01.04 ;Tunjangan Jabatan Fungsional (DAU) ;4620000; Tunjangan Jabatan Fungsional (DAU) 4620000
1.17.1.17.01.000.000.5.1.1.01.05 ;Tunjangan Fungsional Umum (DAU) ;80964750;Tunjangan Fungsional Umum (DAU) 80964750
1.17.1.17.01.000.000.5.1.1.01.06 ;Tunjangan Beras (DAU) ;141221074; Tunjangan Beras (DAU) 141221074
1.17.1.17.01.000.000.5.1.1.01.07 ;Tunjangan  PPh/Tunjangan Khusus (DAU) ;67279834; Tunjangan  PPh/Tunjangan Khusus (DAU) 67279834
1.17.1.17.01.000.000.5.1.1.01.08 ;Pembulatan Gaji (DAU) ;30749; Pembulatan Gaji (DAU) 30749
1.17.1.17.01.000.000.5.1.1.01.09 ;Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) ;68605387;Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) 68605387
1.17.1.17.01.000.000.5.1.1.06 ;Insentif Pemungutan Retribusi Daerah ;151715750;
1.17.1.17.01.000.000.5.1.1.06.01 ;Insentif Pemungutan Retribusi Daerah ;151715750;Insentif Pemungutan Retribusi Daerah 151715750
1.17.1.17.01.000.000.5.2 ;BELANJA LANGSUNG ;18209300073;
1.17.1.17.01.001 ;Program Pelayanan Administrasi Perkantoran ;544554118;
1.17.1.17.01.001.001 ;Penyediaan Jasa Surat Menyurat ;1920000;
1.17.1.17.01.001.001.5.2.2 ;BELANJA BARANG DAN JASA ;1920000;
1.17.1.17.01.001.001.5.2.2.01 ;Belanja Bahan Pakai Habis ;1920000;
1.17.1.17.01.001.001.5.2.2.01.04 ;Belanja Perangko Materai dan Benda Pos ;1920000;Belanja Perangko Materai dan Benda Pos 1920000
1.17.1.17.01.001.006 ;Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasinoal ;7480000;
1.17.1.17.01.001.006.5.2.2 ;BELANJA BARANG DAN JASA ;7480000;
1.17.1.17.01.001.006.5.2.2.05 ;Belanja Perawatan Kendaraan Bermotor ;7480000;
1.17.1.17.01.001.006.5.2.2.05.05 ;Belanja STNK ;7480000;Belanja STNK 7480000
1.17.1.17.01.001.007 ;Penyediaan Jasa Administrasi Keuangan ;53100000;
1.17.1.17.01.001.007.5.2.1 ;BELANJA PEGAWAI ;53100000;
1.17.1.17.01.001.007.5.2.1.01 ;Honorarium PNS ;53100000;
1.17.1.17.01.001.007.5.2.1.01.04 ;Honorarium Pengelola Keuangan/Barang ;53100000;Honorarium Pengelola Keuangan/Barang 53100000
1.17.1.17.01.001.008 ;Penyediaan Jasa Kebersihan Kantor ;66414750;
1.17.1.17.01.001.008.5.2.1 ;BELANJA PEGAWAI ;1110000;
1.17.1.17.01.001.008.5.2.1.01 ;Honorarium PNS ;1110000;
1.17.1.17.01.001.008.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;600000;Honorarium Panitia Pelaksana Kegiatan 600000
1.17.1.17.01.001.008.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;510000;Honorarium Tim Pengadaan Barang dan Jasa 510000
1.17.1.17.01.001.008.5.2.2 ;BELANJA BARANG DAN JASA ;65304750;
1.17.1.17.01.001.008.5.2.2.01 ;Belanja Bahan Pakai Habis ;4752750;
1.17.1.17.01.001.008.5.2.2.01.05 ;Belanja Peralatan Kebersihan Dan Bahan Pembersih ;4752750;Belanja Peralatan Kebersihan Dan Bahan Pembersih 4752750
1.17.1.17.01.001.008.5.2.2.03 ;Belanja Jasa Kantor ;5796000;
1.17.1.17.01.001.008.5.2.2.03.14 ;Belanja Retribusi/Tiket ;1380000;Belanja Retribusi/Tiket 1380000
1.17.1.17.01.001.008.5.2.2.03.27 ;Belanja Jasa Penyedia /Tenaga Teknis ;4416000;Belanja Jasa Penyedia /Tenaga Teknis 4416000
1.17.1.17.01.001.008.5.2.2.20 ;Belanja Pemeliharaan ;54756000;
1.17.1.17.01.001.008.5.2.2.20.09 ;Belanja Pemeliharaan Kebersihan ;54756000;Belanja Pemeliharaan Kebersihan 54756000
1.17.1.17.01.001.010 ;Penyediaan Alat Tulis Kantor ;30617550;
1.17.1.17.01.001.010.5.2.2 ;BELANJA BARANG DAN JASA ;30617550;
1.17.1.17.01.001.010.5.2.2.01 ;Belanja Bahan Pakai Habis ;30617550;
1.17.1.17.01.001.010.5.2.2.01.01 ;Belanja  Alat Tulis Kantor ;30617550;Belanja  Alat Tulis Kantor 30617550
1.17.1.17.01.001.011 ;Penyediaan Barang Cetakan dan Penggandaan ;36933500;
1.17.1.17.01.001.011.5.2.2 ;BELANJA BARANG DAN JASA ;36933500;
1.17.1.17.01.001.011.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;36933500;
1.17.1.17.01.001.011.5.2.2.06.01 ;Belanja Cetak ;12050000;Belanja Cetak 12050000
1.17.1.17.01.001.011.5.2.2.06.02 ;Belanja Penggandaan ;24883500;Belanja Penggandaan 24883500
1.17.1.17.01.001.012 ;Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor ;5500000;
1.17.1.17.01.001.012.5.2.2 ;BELANJA BARANG DAN JASA ;5500000;
1.17.1.17.01.001.012.5.2.2.01 ;Belanja Bahan Pakai Habis ;5500000;
1.17.1.17.01.001.012.5.2.2.01.03 ;Belanja Alat Listrik Dan Elektronik ;5500000;Belanja Alat Listrik Dan Elektronik 5500000
1.17.1.17.01.001.013 ;Penyediaan Peralatan dan Perlengkapan Kantor ;61732000;
1.17.1.17.01.001.013.5.2.2 ;BELANJA BARANG DAN JASA ;61732000;
1.17.1.17.01.001.013.5.2.2.02 ;Belanja Bahan/Material ;50314000;
1.17.1.17.01.001.013.5.2.2.02.06 ;Belanja Bahan Komputer/Printer ;50314000;Belanja Bahan Komputer/Printer 50314000
1.17.1.17.01.001.013.5.2.2.20 ;Belanja Pemeliharaan ;11418000;
1.17.1.17.01.001.013.5.2.2.20.04 ;Belanja Pemeliharaan Peralatan Dan PerlengkapanKantor/Kerja/Kerumahtanggaan/Komunikasi/Studio  ;7118000;Belanja Pemeliharaan Peralatan Dan Perlengkapan 7118000
1.17.1.17.01.001.013.5.2.2.20.11 ;Belanja Pemeliharaan Komputer ;4300000;Belanja Pemeliharaan Komputer 4300000
