Judul, Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,,,,,
Daerah,Kota Yogyakarta,,,,,,,,,,
Tahun,2016,,,,,,,,,,
Kode Organisasi,1.01.01,,,,,,,,,,
Nama OrganisasiDinas Pendidikan,,,,,,,,,,,
Kolom,4,,,,,,,,,,
KODE REKENING ,URAIAN ,ANGGARAN ,PENJELASAN,,,,,,,,
1.01.1.01.01.000.000.4 ,PENDAPATAN DAERAH ,843600000,,,,,,,,,
1.01.1.01.01.000.000.4.1 ,PENDAPATAN ASLI DAERAH ,843600000,,,,,,,,,
1.01.1.01.01.000.000.4.1.4 ,LAIN-LAIN PENDAPATAN ASLI DAERAH YANG SAH ,843600000,,,,,,,,,
1.01.1.01.01.000.000.4.1.4.15 ,Pendapatan dari Barang Milik Daerah ,843600000,,,,,,,,,
1.01.1.01.01.000.000.4.1.4.15.06 ,Sewa Gedung ,843600000,Sewa Gedung 843600000 Perwal No 85 Tahun 2014,,,,,,,,
1.01.1.01.01.000.000.5 ,BELANJA DAERAH ,626000000000,,,,,,,,,
1.01.1.01.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,473000000000,,,,,,,,,
1.01.1.01.01.000.000.5.1.1 ,BELANJA PEGAWAI ,473000000000,,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,444000000000,,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,218000000000, Gaji Pokok PNS/Uang Representasi (DAU) 218290938258,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,18813121812, Tunjangan Keluarga (DAU) 18813121812,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.03 ,Tunjangan Jabatan Struktural (DAU) ,93880900, Tunjangan Jabatan Struktural (DAU) 493880900,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.04 ,Tunjangan Jabatan Fungsional (DAU) ,18419061420, Tunjangan Jabatan Fungsional (DAU) 18419061420,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.05 ,Tunjangan Fungsional Umum (DAU) ,16893058004, Tunjangan Fungsional Umum (DAU) 1689305800,,,,,,,,
1.01.1.01.01.000.000.5.1.1.01.06 ,Tunjangan Beras (DAU) ,10507762519, Tunjangan Beras (DAU) 10507762519,,,,,,,,
