Judul;Penjabaran Anggaran Pendapatan dan Belanja Daerah;;
Daerah;Kota Yogyakarta;;
Tahun;2014;;
Kode Organisasi;1.01.01;;
Nama Organisasi;Dinas Pendidikan ;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.01.01 ;Dinas Pendidikan ;432882644325;
1.01.1.01.01.00 ;BELANJA TIDAK LANGSUNG ;281805303825;
1.01.1.01.01.00.00.5.1.1 ;BELANJA PEGAWAI ;281805303825;
1.01.1.01.01.00.00.5.1.1.01 ;Belanja Gaji Dan Tunjangan ;262305303825;Belanja Gaji Dan Tunjangan 262.305.303.825
1.01.1.01.01.00.00.5.1.1.01.01 ;Gaji Pokok PNS/Uang Representasi ;205875526115;
1.01.1.01.01.00.00.5.1.1.01.02 ;Tunjangan Keluarga ;18210324466;
1.01.1.01.01.00.00.5.1.1.01.03 ;Tunjangan Jabatan Struktural ;465125375;
1.01.1.01.01.00.00.5.1.1.01.04 ;Tunjangan Jabatan Fungsional ;19154700825;
1.01.1.01.01.00.00.5.1.1.01.05 ;Tunjangan Umum ;1344537750;
1.01.1.01.01.00.00.5.1.1.01.06 ;Tunjangan Beras ;11857141680;
1.01.1.01.01.00.00.5.1.1.01.07 ;Tunjangan  PPh/Tunjangan Khusus ;5399182676;
1.01.1.01.01.00.00.5.1.1.01.08 ;Pembulatan Gaji ;2764938;
1.01.1.01.01.00.00.5.1.1.02 ;Tambahan Penghasilan PNS ;19500000000;Tambahan Penghasilan PNS 19.500.000.000
1.01.1.01.01.00.00.5.1.1.02.01 ;Tambahan Penghasilan Berdasarkan Beban Kerja ;19500000000;
1.01.1.01.01.00 ;BELANJA LANGSUNG ;151077340500;
1.01.1.01.01.01.01.5.2.2 ;BELANJA BARANG DAN JASA ;10276000;
1.01.1.01.01.01.01.5.2.2.01 ;Belanja Bahan Pakai Habis ;9790000;
1.01.1.01.01.01.01.5.2.2.01.04 ;Belanja Perangko, Materai, dan Benda Pos Lainnya ;9790000;
1.01.1.01.01.01.01.5.2.2.03 ;Belanja Jasa Kantor ;486000;
1.01.1.01.01.01.01.5.2.2.03.07 ;Belanja Paket/Pengiriman ;486000;
1.01.1.01.01.01.06.5.2.2 ;BELANJA BARANG DAN JASA ;10975000;
