Judul; Anggaran Pendapatan Belanja Daerah;;
Daerah; Kota Yogyakarta;;
Tahun;;;
Kode Organisasi;1.06.01;;
Nama Organisasi;Badan Perencanaan Pembangunan Daerah;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.06.01 ;Bappeda ;;
1.06.1.06.01.00 ;BELANJA TIDAK LANGSUNG ;2305544989;
1.06.1.06.01.00.00.5.1.1 ;BELANJA PEGAWAI ;2305544989;
1.06.1.06.01.00.00.5.1.1.01 ;Belanja Gaji Dan Tunjangan ;2305544989;Belanja Gaji Dan Tunjangan 2.305.544.989
1.06.1.06.01.00.00.5.1.1.01.01 ;Gaji Pokok PNS/Uang Representasi ;1758879762;
1.06.1.06.01.00.00.5.1.1.01.02 ;Tunjangan Keluarga ;150110685;
1.06.1.06.01.00.00.5.1.1.01.03 ;Tunjangan Jabatan Struktural ;175157125;
1.06.1.06.01.00.00.5.1.1.01.05 ;Tunjangan Umum ;63646375;
1.06.1.06.01.00.00.5.1.1.01.06 ;Tunjangan Beras ;111156300;
1.06.1.06.01.00.00.5.1.1.01.07 ;Tunjangan  PPh/Tunjangan Khusus ;46564890;
1.06.1.06.01.00.00.5.1.1.01.08 ;Pembulatan Gaji ;2985;
1.06.1.06.01.00.00 ;BELANJA LANGSUNG ;6990959650;
1.06.1.06.01.01.00 ;Program Pelayanan Administrasi Perkantoran ;736149500;
1.06.1.06.01.01.01 ;Penyediaan jasa surat menyurat ;4250000;
1.06.1.06.01.01.01.5.2.2 ;BELANJA BARANG DAN JASA ;4250000;
1.06.1.06.01.01.01.5.2.2.01 ;Belanja Bahan Pakai Habis ;3750000;
1.06.1.06.01.01.01.5.2.2.01.04;Belanja Perangko, Materai, dan Benda Pos Lainnya;3750000;Belanja Perangko, Materai, dan Benda Pos Lainnya 3.750.000
1.06.1.06.01.01.01.5.2.2.03 ;Belanja Jasa Kantor ;500000;
1.06.1.06.01.01.01.5.2.2.03.07 ;Belanja Paket/Pengiriman ;500000;Belanja Paket/Pengiriman 500000
1.06.1.06.01.01.06 ;Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasinoal ;2584000;
1.06.1.06.01.01.06.5.2.2 ;BELANJA BARANG DAN JASA ;2584000;
1.06.1.06.01.01.06.5.2.2.05;Belanja Perawatan Kendaraan Bermotor;2584000;
1.06.1.06.01.01.06.5.2.2.05.05;Belanja STNK;2584000;Belanja STNK 2.584.000
1.06.1.06.01.01.07;Penyediaan jasa administrasi keuangan;45900000;
1.06.1.06.01.01.07.5.2.1;BELANJA PEGAWAI;45900000;
1.06.1.06.01.01.07.5.2.1.01;Honorarium PNS;45900000;
1.06.1.06.01.01.07.5.2.1.01.05;Honorarium Pengelola Keuangan/Barang;45900000;Honorarium Pengelola Keuangan/Barang 45.900.000
1.06.1.06.01.01.08;Penyediaan jasa kebersihan kantor;74142000;
1.06.1.06.01.01.08.5.2.1;BELANJA PEGAWAI;550000;
1.06.1.06.01.01.08.5.2.1.01;Honorarium PNS;550000;
1.06.1.06.01.01.08.5.2.1.01.02;Honorarium Tim Pengadaan Barang/Jasa;550000;Honorarium Tim Pengadaan Barang/Jasa 550.000
1.06.1.06.01.01.08.5.2.2;BELANJA BARANG DAN JASA;73592000;
1.06.1.06.01.01.08.5.2.2.01;Belanja Bahan Pakai Habis ;11592000;
1.06.1.06.01.01.08.5.2.2.01.05;Belanja Peralatan Kebersihan Dan Bahan Pembersih;11592000;Belanja Peralatan Kebersihan Dan Bahan Pembersih 11.592.000
1.06.1.06.01.01.08.5.2.2.20;Belanja Pemeliharaan;62000000;
1.06.1.06.01.01.08.5.2.2.20.09;Belanja Pemeliharaan/Kebersihan Kantor;62000000;Belanja Pemeliharaan/Kebersihan Kantor 62.000.000
1.06.1.06.01.01.09;Penyediaan jasa perbaikan peralatan kerja;14025000;
1.06.1.06.01.01.09.5.2.1;BELANJA PEGAWAI;2900000;
1.06.1.06.01.01.09.5.2.1.02;Honorarium Non PNS;2900000;
1.06.1.06.01.01.09.5.2.1.02.03;Honorarium Tenaga Teknis  Harian;2900000;Honorarium Tenaga Teknis  Harian 2.900.000
1.06.1.06.01.01.09.5.2.2;BELANJA BARANG DAN JASA;11125000;
1.06.1.06.01.01.09.5.2.2.20;Belanja Pemeliharaan;11125000;
1.06.1.06.01.01.09.5.2.2.20.04;Belanja Pemeliharaan Peralatan Dan Perlengkapan  Kantor/Kerumahtanggaan/Komunikasi/Studio;11125000;Belanja Pemeliharaan Peralatan Dan Perlengkapan 11.125.000 Kantor/Kerumahtanggaan/Komunikasi/Studio
1.06.1.06.01.01.10;Penyediaan alat tulis kantor;59327500;
1.06.1.06.01.01.10.5.2.1;BELANJA PEGAWAI;2250000;
1.06.1.06.01.01.10.5.2.1.01;Honorarium PNS;2250000;
1.06.1.06.01.01.10.5.2.1.01.01;Honorarium Panitia Pelaksana Kegiatan;2250000;Honorarium Panitia Pelaksana Kegiatan 2.250.000
1.06.1.06.01.01.10.5.2.2;BELANJA BARANG DAN JASA;57077500;
1.06.1.06.01.01.10.5.2.2.01;Belanja Bahan Pakai Habis ;57077500;
1.06.1.06.01.01.10.5.2.2.01.01;Belanja  Alat Tulis Kantor;57077500;Belanja  Alat Tulis Kantor 57.077.500
1.06.1.06.01.01.11;Penyediaan barang cetakan dan penggandaan;71473500;
1.06.1.06.01.01.11.5.2.2;BELANJA BARANG DAN JASA;71473500;
1.06.1.06.01.01.11.5.2.2.06;Belanja Cetak Dan Penggandaan;71473500;
1.06.1.06.01.01.11.5.2.2.06.01;Belanja Cetak;2500000;Belanja Cetak 2.500.000
1.06.1.06.01.01.11.5.2.2.06.02;Belanja Penggandaan;68973500;Belanja Penggandaan 68.973.500
1.06.1.06.01.01.12;Penyediaan komponen instalasi listrik/penerangan bangunan kantor;5405500;
1.06.1.06.01.01.12.5.2.2;BELANJA BARANG DAN JASA;5405500;
1.06.1.06.01.01.12.5.2.2.01;Belanja Bahan Pakai Habis ;5405500;
1.06.1.06.01.01.12.5.2.2.01.03;Belanja Alat Listrik Dan Elektronik;5405500;Belanja Alat Listrik Dan Elektronik 5.405.500
1.06.1.06.01.01.13;Penyediaan peralatan dan perlengkapan kantor;38550000;
1.06.1.06.01.01.13.5.2.1;BELANJA PEGAWAI;2400000;
1.06.1.06.01.01.13.5.2.1.02;Honorarium Non PNS;2400000;
1.06.1.06.01.01.13.5.2.1.02.03;Honorarium Tenaga Teknis  Harian;2400000;Honorarium Tenaga Teknis  Harian 2.400.000
1.06.1.06.01.01.13.5.2.2;BELANJA BARANG DAN JASA;35175000;
1.06.1.06.01.01.13.5.2.2.02;Belanja Bahan/Material;35175000;
