Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,
Daerah,Kota Yogyakarta,,,,,,
Tahun,2016,,,,,,
Kode Organisasi,1.03.01,,,,,,
Nama Organisasi,Dinas Permukiman dan Prasarana Wilayah,,,,,,
Kolom,4,,,,,,
Kode Rekening,Uraian,Jumlah,Keterangan,,,,
1.03.1.03.01.000.000.4 ,PENDAPATAN DAERAH ,"1005820000,00",,,,,
1.03.1.03.01.000.000.4.1 ,PENDAPATAN ASLI DAERAH ,"1005820000,00",,,,,
1.03.1.03.01.000.000.4.1.2 ,HASIL RETRIBUSI DAERAH ,"685000000,00",,,,,
1.03.1.03.01.000.000.4.1.2.01 ,Retribusi Jasa Umum ,"680000000,00",,,,,
1.03.1.03.01.000.000.4.1.2.01.12 ,Retribusi Pengolahan Limbah Cair ,"680000000,00", Retribusi Pengolahan Limbah Cair 680000000 Perda No 5 Tahun 2012,,,,
1.03.1.03.01.000.000.4.1.2.02 ,Retribusi Jasa Usaha ,"5000000,00",,,,,
1.03.1.03.01.000.000.4.1.2.02.01 ,Retribusi Pemakaian Kekayaan Daerah ,"5000000,00", Retribusi Pemakaian Kekayaan Daerah 5000000 Perda No 4 Tahun 2012,,,,
1.03.1.03.01.000.000.4.1.4 ,LAIN-LAIN PENDAPATAN ASLI DAERAH YANG SAH ,"320820000,00",,,,,
1.03.1.03.01.000.000.4.1.4.15 ,Pendapatan dari Barang Milik Daerah ,"320820000,00",,,,,
1.03.1.03.01.000.000.4.1.4.15.06 ,Sewa Gedung ,"320820000,00", Sewa Gedung 320820000 Perwal No 69 Tahun 2014, Perwal No 70 Tahun 2014,,,
1.03.1.03.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,"7818037836,00",,,,,
1.03.1.03.01.000.000.5.1.1 ,BELANJA PEGAWAI ,"7818037836,00",,,,,
1.03.1.03.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,"7818037836,00",,,,,
1.03.1.03.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,"5976141699,00", Gaji Pokok PNS/Uang Representasi (DAU) 5976141699,,,,
1.03.1.03.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,"626054625,00", Tunjangan Keluarga (DAU) 626054625,,,,
1.03.1.03.01.000.000.5.1.1.01.03 ,Tunjangan Jabatan Struktural (DAU) ,"215465250,00", Tunjangan Jabatan Struktural (DAU) 215465250,,,,
1.03.1.03.01.000.000.5.1.1.01.04 ,Tunjangan Jabatan Fungsional (DAU) ,"4620000,00",Tunjangan Jabatan Fungsional (DAU) 4620000,,,,
1.03.1.03.01.000.000.5.1.1.01.05 ,Tunjangan Fungsional Umum (DAU) ,"296952750,00",Tunjangan Fungsional Umum (DAU) 296952750,,,,
1.03.1.03.01.000.000.5.1.1.01.06 ,Tunjangan Beras (DAU) ,"390797462,00",Tunjangan Beras (DAU) 390797462,,,,
1.03.1.03.01.000.000.5.1.1.01.07 ,Tunjangan  PPh/Tunjangan Khusus (DAU) ,"137682449,00",Tunjangan  PPh/Tunjangan Khusus (DAU) 137682449,,,,
1.03.1.03.01.000.000.5.1.1.01.08 ,Pembulatan Gaji (DAU) ,"89155,00",Pembulatan Gaji (DAU) 89155,,,,
1.03.1.03.01.000.000.5.1.1.01.09 ,Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) ,"170234446,00",Iuran Asuransi Kesehatan/BPJS Kesehatan (DAU) 170234446,,,,
1.03.1.03.01.000.000.5.2 ,BELANJA LANGSUNG ,"3900000000000,00",,,,,
1.03.1.03.01.001 ,Program Pelayanan Administrasi Perkantoran ,"1026318757,00",,,,,
1.03.1.03.01.001.001 ,Penyediaan Jasa Surat Menyurat ,"4875000,00",,,,,
1.03.1.03.01.001.001.5.2.1 ,BELANJA PEGAWAI ,"750000,00",,,,,
1.03.1.03.01.001.001.5.2.1.02 ,Honorarium Non PNS ,"750000,00",,,,,
1.03.1.03.01.001.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"750000,00",Honorarium Panitia Pelaksana Kegiatan 750000,,,,
1.03.1.03.01.001.001.5.2.2 ,BELANJA BARANG DAN JASA ,"4125000,00",,,,,
1.03.1.03.01.001.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"4125000,00",,,,,
1.03.1.03.01.001.001.5.2.2.01.04 ,Belanja Perangko  Materai  dan Benda Pos ,"4125000,00",Belanja Perangko  Materai,,,, dan Benda Pos 4125000
1.03.1.03.01.001.002 ,Penyediaan Jasa Komunikasi  Sumber Daya Air dan Listrik ,"136116000,00",,,,,
1.03.1.03.01.001.002.5.2.2 ,BELANJA BARANG DAN JASA ,"136116000,00",,,,,
1.03.1.03.01.001.002.5.2.2.03 ,Belanja Jasa Kantor ,"136116000,00",,,,,
1.03.1.03.01.001.002.5.2.2.03.01 ,Belanja Telepon ,"2400000,00",Belanja Telepon 2400000,,,,
1.03.1.03.01.001.002.5.2.2.03.02 ,Belanja Air ,"1716000,00",Belanja Air 1716000,,,,
1.03.1.03.01.001.002.5.2.2.03.03 ,Belanja Listrik ,"132000000,00",Belanja Listrik 132000000,,,,
1.03.1.03.01.001.006 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasinoal ,"23635000,00",,,,,
1.03.1.03.01.001.006.5.2.2 ,BELANJA BARANG DAN JASA ,"23635000,00",,,,,
