Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kota Yogyakarta,,
Tahun,2015,,
Kode Organisasi,1.22.01,,
Nama Organisasi,Kantor Pemberdayaan Masyarakat dan Perempuan ,,
Kolom,4,,
KODE REKENING ,URAIAN ,ANGGARAN ,PENJELASAN
1.22.01 ,Kantor Pemberdayaan Masyarakat dan Perempuan ,7695841882,
1.22.1.22.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,1150708236,
1.22.1.22.01.000.000.5.1.1 ,BELANJA PEGAWAI ,1150708236,
1.22.1.22.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,1150708236,
1.22.1.22.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,889063387,Gaji Pokok PNS/Uang Representasi (DAU) 889063387
1.22.1.22.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,96036606,Tunjangan Keluarga (DAU) 96036606
1.22.1.22.01.000.000.5.1.1.01.03 ,Tunjangan Jabatan Struktural (DAU) ,45571500,Tunjangan Jabatan Struktura  (DAU) 45571500
1.22.1.22.01.000.000.5.1.1.01.05 ,Tunjangan Fungsional Umum (DAU) ,36777000,Tunjangan Fungsional Umum (DAU) 36777000
1.22.1.22.01.000.000.5.1.1.01.06 ,Tunjangan Beras (DAU) ,63838771,Tunjangan Beras (DAU) 63838771
1.22.1.22.01.000.000.5.1.1.01.07 ,Tunjangan  PPh/Tunjangan Khusus (DAU) ,19405235,Tunjangan  PPh/Tunjangan Khusus (DAU) 19405235
1.22.1.22.01.000.000.5.1.1.01.08 ,Pembulatan Gaji (DAU) ,15737,Pembulatan Gaji (DAU) 15737
1.22.1.22.01.000.000.5.2 ,BELANJA LANGSUNG ,6545133646,
1.22.1.22.01.001.000.5.2 ,Program Pelayanan Administrasi Perkantoran ,333239006,
1.22.1.22.01.001.001.5.2 ,Penyediaan jasa surat menyurat ,3900000,
1.22.1.22.01.001.001.5.2.2 ,BELANJA BARANG DAN JASA ,3900000,
1.22.1.22.01.001.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,3300000,
1.22.1.22.01.001.001.5.2.2.01.04 ,"Belanja Perangko, Materai, dan Benda Pos ",3300000,"Belanja Perangko, Materai, dan Benda Pos 3300000"
1.22.1.22.01.001.001.5.2.2.03 ,Belanja Jasa Kantor ,600000,
1.22.1.22.01.001.001.5.2.2.03.07 ,Belanja Paket/Pengiriman ,600000,Belanja Paket/Pengiriman 600000
1.22.1.22.01.001.006.5.2 ,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasinoal ,2085000,
1.22.1.22.01.001.006.5.2.2 ,BELANJA BARANG DAN JASA ,2085000,
1.22.1.22.01.001.006.5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,2085000,
1.22.1.22.01.001.006.5.2.2.05.05 ,Belanja STNK ,2085000,Belanja STNK 2085000
1.22.1.22.01.001.007.5.2 ,Penyediaan jasa administrasi keuangan ,42600000,
1.22.1.22.01.001.007.5.2.1 ,BELANJA PEGAWAI ,42600000,
1.22.1.22.01.001.007.5.2.1.01 ,Honorarium PNS ,42600000,
1.22.1.22.01.001.007.5.2.1.01.04 ,Honorarium Pengelola Keuangan/Barang ,42600000,Honorarium Pengelola Keuangan/Barang 42600000
1.22.1.22.01.001.008.5.2 ,Penyediaan jasa kebersihan kantor ,33642700,
1.22.1.22.01.001.008.5.2.2 ,BELANJA BARANG DAN JASA ,33642700,
1.22.1.22.01.001.008.5.2.2.01 ,Belanja Bahan Pakai Habis ,33642700,
1.22.1.22.01.001.008.5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,33642700,Belanja Peralatan Kebersihan Dan Bahan Pembersih 33642700
1.22.1.22.01.001.009.5.2 ,Penyediaan jasa perbaikan peralatan kerja ,10260000,
1.22.1.22.01.001.009.5.2.2 ,BELANJA BARANG DAN JASA ,10260000,
1.22.1.22.01.001.009.5.2.2.20 ,Belanja Pemeliharaan ,10260000,
1.22.1.22.01.001.009.5.2.2.20.04 ,Belanja Pemeliharaan Peralatan Dan Perlengkapan  Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio ,10260000,Belanja Pemeliharaan Peralatan Dan Perlengkapan 10260000 Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio
1.22.1.22.01.001.010.5.2 ,Penyediaan alat tulis kantor ,20345000,
1.22.1.22.01.001.010.5.2.2 ,BELANJA BARANG DAN JASA ,20345000,
1.22.1.22.01.001.010.5.2.2.01 ,Belanja Bahan Pakai Habis ,20345000,
1.22.1.22.01.001.010.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,20345000,Belanja  Alat Tulis Kantor 20345000
1.22.1.22.01.001.011.5.2 ,Penyediaan barang cetakan dan penggandaan ,24327600,
1.22.1.22.01.001.011.5.2.2 ,BELANJA BARANG DAN JASA ,24327600,
1.22.1.22.01.001.011.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,24327600,
1.22.1.22.01.001.011.5.2.2.06.02 ,Belanja Penggandaan ,24327600,Belanja Penggandaan 24327600
1.22.1.22.01.001.012.5.2 ,Penyediaan komponen instalasi listrik/penerangan bangunan kantor ,2500000,
1.22.1.22.01.001.012.5.2.2 ,BELANJA BARANG DAN JASA ,2500000,
1.22.1.22.01.001.012.5.2.2.01 ,Belanja Bahan Pakai Habis ,2500000,
1.22.1.22.01.001.012.5.2.2.01.03 ,Belanja Alat Listrik Dan Elektronik ,2500000,Belanja Alat Listrik Dan Elektronik 2500000
1.22.1.22.01.001.013.5.2 ,Penyediaan peralatan dan perlengkapan kantor ,12000000,
