Judul,REALISASIAPBD,,,,,,
Daerah,PROVINSI,,,,,,
Tahun,2014,,,,,,
KodeOrganisasi,1.13.01–DINASSOSIAL,,,,,,
Kolom,8,,,,,,
,,,,,,,
NOREKENING,URAIAN,PEGAWAI,BARANG&JASA,MODAL,JUMLAH,Rp,(%)
,,,,,,,
1,UrusanWajib,216190000,5230609000,235750000,5682549000,,
,,,,,,(2,147,556.00),96.23
,,210165000,5024922744,233453700,5468541444,,
,,,,,,,
,,,,,,,
1.13,Sosial,129975000,2960332000,213300000,3303607000,,
,,,,,,(130,215,326.00),96.06
,,125810000,2836527974,211053700,3173391674,,
,,,,,,,
,,,,,,,
1.13.1.13.01,DinasSosial,129975000,2960332000,213300000,3303607000,,
,,,,,,(130,215,326.00),96.06
,,125810000,2836527974,211053700,3173391674,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01,DinasSosial,129975000,2960332000,213300000,3303607000,,
,,,,,,(130,215,326.00),96.06
,,125810000,2836527974,211053700,3173391674,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.01,ProgramPelayananAdministrasiPerkantoran,26550000,193765000,,220315000,,
,,,,,,(27,783,410.00),87.39
,,25430000,167101590,,192531590,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.01.01,PenyediaanJasaSuratMenyurat,,2300000,,2300000,,
,,,,,,(400,000.00),82.61
,,,1900000,,1900000,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.01.02,PenyediaanJasaKomunikasiSumberDayaAirdanListrik,,10215000,,10215000,,
,,,,,,(6,561,310.00),35.77
,,,3653690,,3653690,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.01.06,PenyediaanJasaPemeliharaandanPerizinanKendaraanDinas/Operasional,,28200000,,28200000,,
,,,,,,(10,510,900.00),62.73
,,,17689100,,17689100,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.01.07,PenyediaanJasaAdministrasiKeuangan,26550000,,,26550000,,
,,,,,,(1,120,000.00),95.78
,,25430000,,,25430000,,
,,,,,,,
