Judul,Penjabaran APBD,,
Daerah,Kabupaten Kulon Progo,,
Tahun,2015,,
Kode Organisasi,1.22.01,,
Nama Organisasi,Badan Pemberdayaan Masyarakat Pemerintahan Desa Perempuan dan Keluarga Berencana,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.22 . 1.22.01 . 00 . 00 . 5 ,BELANJA ,13273123711,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,6049184036,
1.22 . 1.22.01 . 00 . 00 ,Non Kegiatan ,6049184036,Sumber Dana : 
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,6049184036,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,6049184036,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,4604442204,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,403641848,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,204685000,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,386612134,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,79860200,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,228592358,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,141270799,
1.22 . 1.22.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,79493,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,7223939675,
1.22 . 1.22.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,126421000,
1.22 . 1.22.01 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,34321000,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB Kab. Kulon Progo 
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,4550000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,4550000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,4550000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,29771000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,15270000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,13770000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,Belanja Perangko  Materai Dan Benda Pos Lainnya ,1500000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,1770000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,1770000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,12731000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,6680000,
1.22 . 1.22.01 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,6051000,
1.22 . 1.22.01 . 01 . 27 ,Penyediaan Jasa  keuangan ,26100000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,26100000,
1.22 . 1.22.01 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,26100000,
1.22 . 1.22.01 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,26100000,
1.22 . 1.22.01 . 01 . 28 ,Penyediaan Rapat-Rapat   Konsultasi dan Koordinasi ,66000000,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB Kab. Kulon Progo 
1.22 . 1.22.01 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,66000000,
1.22 . 1.22.01 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,14000000,
1.22 . 1.22.01 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,14000000,
1.22 . 1.22.01 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,52000000,
1.22 . 1.22.01 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1975000,
1.22 . 1.22.01 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,50025000,
1.22 . 1.22.01 . 11 ,Program Peningkatan Sarana dan Prasarana Perkantoran ,397305000,
1.22 . 1.22.01 . 11 . 01 ,Pengadaan Sarana dan Prasarana Perkantoran ,53840000,Sumber Dana :  Lokasi Kegiatan : Badan PMPDPKB Kab. Kulon Progo 
1.22 . 1.22.01 . 11 . 01 . 5 . 2 . 3 ,Belanja Modal ,53840000,
