"Judul","Penjabaran Anggaran Pendapatan dan Belanja Daerah",,
"Daerah","Propinsi",,
"Tahun",2015,,
"Kode Organisasi","2.05.01.",,
"Nama Organisasi","Dinas Kelautan Dan Perikanan",,
"Kolom",4,,
"No. Rekening","Uraian","Jumlah","Keterangan"
"2.05.2.05.01.00.00.4.","Pendapatan",918185000,
"2.05.2.05.01.00.00.4.1.","Pendapatan Asli Daerah",918185000,
"2.05.2.05.01.00.00.4.1.2.","Hasil Retribusi Daerah",915635000,
"2.05.2.05.01.00.00.4.1.2.02.","Retribusi Jasa Usaha",914135000,"Retribusi Jasa Usaha914.135.000,00"
"2.05.2.05.01.00.00.4.1.2.03.","Retribusi Perizinan Tertentu",1500000,"Retribusi Perizinan Tertentu 1.500.000,00"
"2.05.2.05.01.00.00.4.1.4.","Lain-Lain Pendapatan Asli Daerah Yang Sah",2550000,
,"JUMLAH PENDAPATAN",918185000,
"2.05.2.05.01.00.00.5.","Belanja",58902405445,
"2.05.2.05.01.00.00.5.1.","Belanja Tidak Langsung",7555718420,
"2.05.2.05.01.00.00.5.1.1.","Belanja Pegawai",7555718420,
"2.05.2.05.01.00.00.5.1.1.01.","Gaji Dan Tunjangan",7528249370,"Gaji Dan Tunjangan 7.528.249.370,00"
"2.05.2.05.01.00.00.5.1.1.05.","Biaya Insentif Retribusi Daerah",27469050,"Biaya Insentif Retribusi Daerah 27.469.050,00"
"2.05.2.05.01.00.00.5.2.","BELANJA LANGSUNG",51346687025,
"2.05.2.05.01.01.","PROGRAM PELAYANAN ADMINISTRASI PERKANTORAN",2565987000,
"2.05.2.05.01.02.","PROGRAM PENINGKATAN SARANA DAN PRASARANA APARATUR",4690250300,
"2.05.2.05.01.06.","PROGRAM PENINGKATAN PENGEMBANGAN SISTEM PELAPORAN CAPAIAN KINERJA DAN KEUANGAN",303000000,
"2.05.2.05.01.17.","PROGRAM PENINGKATAN KESADARAN DAN PENEGAKAN HUKUM DALAM PENYALAHGUNAAN SUMBERDAYA LAUT",439248900,
"2.05.2.05.01.17.002.","Dukungan Perijinan Perikanan Tangkap Dan Budidaya",89249200,"Dukungan Perijinan Perikanan Tangkap Dan Budidaya 89.249.200,00"
"2.05.2.05.01.17.008.","Peningkatan Waspadal SDI di PU dan Lau",200000000,"Peningkatan Waspadal SDI di PU dan Lau 200.000.000,00"
"2.05.2.05.01.17.009.","Pengelolaan Sumber Daya Ikan",149999700,"Pengelolaan Sumber Daya Ikan 149.999.700,00"
"2.05.2.05.01.18.","PROGRAM PENINGKATAN MITIGASI BENCANA ALAM LAUT DAN PRAKIRAAN IKLIM",50000000,
"2.05.2.05.01.18.004.","Mitigasi bencana alam laut dan prakiraan iklim laut",50000000,"Mitigasi bencana alam laut dan prakiraan iklim laut 50.000.000,00"
"2.05.2.05.01.20.","PROGRAM PENGEMBANGAN BUDIDAYA PERIKANAN",8970522500,
"2.05.2.05.01.20.003.","Pembinaan Dan Pengembangan Perikanan",1919300000,"Pembinaan Dan Pengembangan Perikanan 1.919.300.000,00"
"2.05.2.05.01.20.004.","Pengendalian Hama Dan Penyakit Ikan",150000000,"Pengendalian Hama Dan Penyakit Ikan 150.000.000,00"
"2.05.2.05.01.20.015.","Pembinaan Mutu Benih Dan Induk Perikanan",200000000,"Pembinaan Mutu Benih Dan Induk Perikanan 200.000.000,00"
"2.05.2.05.01.20.018.","Pelayanan dan Pengendalian Hama dan Penyakit Ikan",110000000,"Pelayanan dan Pengendalian Hama dan Penyakit Ikan 110.000.000,00"
"2.05.2.05.01.20.019.","Peningkatan induk, bibit unggul budidaya air tawar",587396000,"Peningkatan induk, bibit unggul budidaya air tawar 587.396.000,00"
"2.05.2.05.01.20.021.","Kaji terap teknologi pengelolaan pakan ikan",100000000,"Kaji terap teknologi pengelolaan pakan ikan 100.000.000,00"
"2.05.2.05.01.20.024.","Peningkatan Induk, Bibit Unggul Budidaya Air Payau dan Air Laut",797240000,"Peningkatan Induk, Bibit Unggul Budidaya Air Payau dan Air Laut 797.240.000,00"
"2.05.2.05.01.20.025.","Pengembangan Sarana Prasarana Perbenihan (DAK)",5106586500,"Pengembangan Sarana Prasarana Perbenihan (DAK) 5.106.586.500,00"
"2.05.2.05.01.21.","PROGRAM PENGEMBANAN PERIKANAN TANGKAP",32138215200,
"2.05.2.05.01.21.009.","Pengembangan Pelabuhan Perikanan",30130820000,"Pengembangan Pelabuhan Perikanan 30.130.820.000,00"
"2.05.2.05.01.21.014.","Uji Coba Pengembangan Teknologi Alat Penangkapan Ikan",65000000,"Uji Coba Pengembangan Teknologi Alat Penangkapan Ikan 65.000.000,00"
"2.05.2.05.01.21.017.","Pembinaan dan Pengembangan Perikanan Tangkap",1227620500,"Pembinaan dan Pengembangan Perikanan Tangkap 1.227.620.500,00"
"2.05.2.05.01.21.018.","Pengembangan usaha penangkapan ikan dan pemberdayaan nelayan skala kecil",658524700,"Pengembangan usaha penangkapan ikan dan pemberdayaan nelayan skala kecil 658.524.700,00"
"2.05.2.05.01.21.022.","Peningkatan Pelayanan Pelabuhan",56250000,"Peningkatan Pelayanan Pelabuhan 56.250.000,00"
"2.05.2.05.01.23.","PROGRAM OPTIMALISASI PENGELOLAAN DAN PEMASARAN PRODUKSI PERIKANAN",1339636950,
"2.05.2.05.01.23.003.","Gerakan Memasyarakatkan Makan Ikan (Gemarikan)",350000000,"Gerakan Memasyarakatkan Makan Ikan (Gemarikan) 350.000.000,00"
"2.05.2.05.01.23.005.","Pelatihan Pengolahan Dan Pemasaran Produk Perikanan",156663775,"Pelatihan Pengolahan Dan Pemasaran Produk Perikanan 156.663.775,00"
"2.05.2.05.01.23.007.","Pengawasan Dan Pengujian Mutu Hasil Perikanan",250000000,"Pengawasan Dan Pengujian Mutu Hasil Perikanan 250.000.000,00"
"2.05.2.05.01.23.008.","Pengembangan Pola kemitraan Antar Pelaku Usaha Kelautan Dan Perikanan",101828000,"Pengembangan Pola kemitraan Antar Pelaku Usaha Kelautan Dan Perikanan 101.828.000,00"
"2.05.2.05.01.23.010.","Promosi Perikanan Dan Kelautan/Pameran",250000000,"Promosi Perikanan Dan Kelautan/Pameran 250.000.000,00"
"2.05.2.05.01.23.016.","Optimalisasi Pemasaran Produk Perikanan",106145175,"Optimalisasi Pemasaran Produk Perikanan 106.145.175,00"
"2.05.2.05.01.23.017.","Pengembangan Jaringan Pemasaran Hasil Perikanan",125000000,"Pengembangan Jaringan Pemasaran Hasil Perikanan 125.000.000,00"
"2.05.2.05.01.24.","PROGRAM PENGEMBANGAN KAWASAN BUDIDAYA LAUT, AIR PAYAU DAN AIR TAWAR",374000000,
"2.05.2.05.01.24.004.","Pengembangan Rekayasa Teknologi Budi Daya Alr Laut Sundak",74000000,"Pengembangan Rekayasa Teknologi Budi Daya Alr Laut Sundak 74.000.000,00"
"2.05.2.05.01.24.005.","Pengembangan Rekayasa Teknologi Budi Daya Air Tawar",300000000,"Pengembangan Rekayasa Teknologi Budi Daya Air Tawar 300.000.000,00"
"2.05.2.05.01.25.","PROGRAM REHABILITASI EKOSISTEM DAN CADANGAN SUMBERDAYA ALAM",130335775,
"2.05.2.05.01.25.007.","Peningkatan Stok Sumberdaya Perikanan",52000000,"Peningkatan Stok Sumberdaya Perikanan 52.000.000,00"
"2.05.2.05.01.25.009.","Pengembangan Konservasi Ekosisem Sumberdaya Laut dan Pesisir",78335775,"Pengembangan Konservasi Ekosisem Sumberdaya Laut dan Pesisir 78.335.775,00"
"2.05.2.05.01.26.","PROGRAM PENINGKATAN KUALITAS SDM DAN KELEMBAGAAN PERIKANAN DAN KELAUTAN",343620400,
"2.05.2.05.01.26.001.","Pengembangan Kelembagaan Penyuluh Swadaya",49999925,"Pengembangan Kelembagaan Penyuluh Swadaya 49.999.925,00"
"2.05.2.05.01.26.003.","Pelatihan Kewirausahaan Bagi Penyuluh",51956250,"Pelatihan Kewirausahaan Bagi Penyuluh 51.956.250,00"
"2.05.2.05.01.26.006.","Pengembangan Jiwa Kebaharian pada Generasi Muda",65647925,"Pengembangan Jiwa Kebaharian pada Generasi Muda 65.647.925,00"
"2.05.2.05.01.26.007.","Penyelenggaraan Hari Nusantara",91016300,"Penyelenggaraan Hari Nusantara 91.016.300,00"
"2.05.2.05.01.26.008.","Penguatan Kelembagaan Pembenih Ikan",35000000,"Penguatan Kelembagaan Pembenih Ikan 35.000.000,00"
"2.05.2.05.01.26.009.","Pemberdayaan Ekonomi Masyarakat Pesisir",50000000,"Pemberdayaan Ekonomi Masyarakat Pesisir 50.000.000,00"
,"JUMLAH BELANJA",58902405445,
